label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
全期間 (2016~2026),58697,7.2,3.2,205.6,8.51,0.0,50.5,0.25
2016-2019 (Pre-COVID),18638,-3.2,-7.2,162.2,-2.71,0.0067,47.9,-0.71
2020 (COVID),7738,-10.5,-14.5,228.1,-4.04,0.0001,50.2,-1.01
2021-2022,12032,11.5,7.5,162.9,7.76,0.0,51.4,0.73
2023,5319,11.7,7.7,146.5,5.83,0.0,50.9,0.84
2024,6387,13.5,9.5,292.4,3.69,0.0002,51.0,0.52
2025 (関税ショック含),6095,41.7,37.7,244.9,13.28,0.0,56.2,2.44
2026 (1~5月),2488,9.6,5.6,304.1,1.57,0.1174,51.2,0.29
