date,long,short,ls,long_gated,ls_eq,longg_eq
2021-10-01,-0.001990389380776647,-0.014895500911343618,0.012905111530566971,-0.001990389380776647,1.012905111530567,0.9980096106192233
2021-10-04,0.0022042653697149197,-0.01354902385598955,0.01575328922570447,0.0022042653697149197,1.0288616987107024,1.000209488642554
2021-10-05,0.004851979819324792,0.0011304858363817116,0.0037214939829430804,0.004851979819324792,1.032690601331735,1.0050624848965448
2021-10-06,-0.02764911676784638,0.008236518641464574,-0.03588563540931096,-0.02764911676784638,0.9956318429217221,0.9772733948926584
2021-10-07,0.016186222304491914,0.006561281360860672,0.009624940943631243,0.016186222304491914,1.0052147406114424,0.9930917593146565
2021-10-08,0.021896890285224745,0.02368305575403835,-0.0017861654688136053,0.021896890285224745,1.00341926075302,1.0148373806115305
2021-10-11,0.0010753267695578605,-0.008045284312021273,0.009120611081579133,0.0010753267695578605,1.0125710575821139,1.01592866241365
2021-10-12,-0.0010610523181747266,-0.01795171669830158,0.016890664380126853,-0.0010610523181747266,1.0296740554767634,1.014850708951296
2021-10-13,-0.00955981230157652,0.029656731286145276,-0.039216543587721794,-0.00955981230157652,0.9892937979990126,1.0051489266595997
2021-10-14,0.011122978446047904,0.033870799383871074,-0.02274782093782317,0.011122978446047904,0.9667895198272322,1.0163291765059024
2021-10-15,0.0014327720645950005,0.0027002961277892146,-0.001267524063194214,0.0014327720645950005,0.9655640908468072,1.0177853445584328
2021-10-18,-0.02351232735153306,0.006518674798637614,-0.030031002150170672,-0.02351232735153306,0.9365672335584592,0.9938548423635821
2021-10-19,-0.015007009407600757,-0.012087163617618368,-0.0029198457899823893,-0.015007009407600757,0.9338326016645181,0.9789400533944422
2021-10-20,-0.024172565365296196,-0.01927392723656709,-0.0048986381287291075,-0.024172565365296196,0.929258093676154,0.9552765609650585
2021-10-21,-0.012669558289521498,0.01468608128049922,-0.02735563957002072,-0.012669558289521498,0.9038376441980245,0.943173628893298
2021-10-22,0.016369676202435235,-0.004864486259363643,0.021234162461798878,0.016369676202435235,0.9230298795740149,0.9586130758009571
2021-10-25,0.013220731128083595,0.010937243948268182,0.0022834871798154133,0.013220731128083595,0.9251376064706087,0.9712866415319868
2021-10-26,-0.0035534367036416325,-0.005547071813993232,0.0019936351103515995,-0.0035534367036416325,0.9269819932847752,0.9678352359302103
2021-10-27,-0.014350509706739855,0.020752228898280968,-0.03510273860502082,-0.014350509706739855,0.8944423866829385,0.9539463069824689
2021-10-28,-0.0005705165917786248,0.009857930642704904,-0.010428447234483528,-0.0005705165917786248,0.8851147414491299,0.9534020647866693
2021-10-29,0.022449637412788583,0.011490249220502725,0.010959388192285858,0.022449637412788583,0.8948150574953856,0.974805595449734
2021-11-01,-0.0027996635695740403,-0.012139120568009809,0.00933945699843577,-0.0027996635695740403,0.9031721442464166,0.9720764677367364
2021-11-02,0.014914818277610343,0.014684176098504097,0.0002306421791062451,0.014914818277610343,0.9033804538378737,0.9865748116049713
2021-11-04,0.00044224100973724314,-0.00018949293989980464,0.0006317339496370478,0.00044224100973724314,0.9039511499400017,0.9870111154458369
2021-11-05,-0.002289588498151751,0.005321520535719637,-0.007611109033871388,-0.002289588498151751,0.8970710791765149,0.9847512661483642
2021-11-08,-0.011021173155351893,-0.021952149493232587,0.010930976337880694,-0.011021173155351893,0.9068769419163903,0.973898151929191
2021-11-09,-0.012436290181269193,-0.005665336574414126,-0.006770953606855068,-0.012436290181269193,0.9007365202155478,0.9617864719047978
2021-11-10,0.00543756685823682,-0.0015410856346907754,0.006978652492927595,0.00543756685823682,0.907022447377821,0.967016250149128
