label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,total_net
Baseline (フィルタなし),8337,27.06,23.06,189.15,13.06,0.0,51.1,14.99,192280.3
F1: gap > -200bps,6778,35.81,31.81,195.8,15.05,0.0,54.8,19.97,215584.8
F1strict: gap > -100bps,6221,39.15,35.15,197.52,15.63,0.0,55.0,21.88,218641.4
F2: cum_ret > -100bps,6157,39.72,35.72,195.29,15.96,0.0,54.3,22.49,219903.8
F2strict: cum_ret > -50bps,5405,43.84,39.84,198.04,16.27,0.0,55.2,24.74,215335.3
F3: 動的閾値 (5d rolling 99%ile),7576,25.03,21.03,187.61,11.61,0.0,51.0,13.78,159294.6
F1+F2,5073,46.16,42.16,201.65,16.3,0.0,57.1,25.71,213880.9
F1strict+F2strict,4295,51.57,47.57,203.93,16.57,0.0,57.6,28.69,204329.4
