sector,N,gap_mean,gap_std,react_mean,react_std,drift_mean,react_wr
不動産業,202,1.3433121244781685,5.659892422963972,1.5761853041313705,7.050739010506394,0.9465018536750418,51.48514851485149
精密機器,136,1.2379602599310842,6.772330857943851,1.4503059893186607,6.870170778446118,0.8192282039637755,55.14705882352941
非鉄金属,111,1.127051906096134,6.4716571661888125,2.213938889095524,7.566895333972955,1.7396716888801078,59.45945945945946
その他製品,123,0.6825696904770353,7.209620842644263,0.48825854986006556,8.081202974002995,0.7483974460526708,52.84552845528455
機械,475,0.5444453889627066,7.186766575156019,0.6514970112848218,8.058967427020344,0.7483643268793916,49.26315789473684
建設業,224,0.45731129784477925,6.167385301700229,0.5650349261203703,6.445694660217929,0.9008596241581953,50.89285714285714
サービス業,458,0.4211336658931451,8.45008156578323,0.30735286553657376,9.45056239869972,-0.38831300403267976,48.03493449781659
医薬品,137,0.3575099188352839,6.2877771455803995,0.32585040242223895,7.903991323080624,0.3387235330291626,50.36496350364964
化学,428,0.34211556588457187,6.424994885085272,0.002171977481281686,6.8134154368660615,-0.061571298344366344,46.728971962616825
卸売業,257,0.24137910178965952,5.9647108826510085,0.01191944280740167,6.735706167698778,0.5477286080782439,47.47081712062256
電気機器,721,0.20418629628967136,7.573014200353796,-0.14552515360677923,8.357691503876582,0.7159538968222083,46.87933425797504
情報･通信業,644,0.1318181602848222,6.909189768626146,-0.18300019893384925,8.327000536763927,0.26234801385736883,48.60248447204969
ガラス･土石製品,102,0.06954956495155974,6.616995136349944,-0.3842753081054456,7.514749106172432,1.3394955670290143,43.13725490196079
銀行業,303,0.05293687556557373,3.776945012413139,0.45062110105060516,5.149213322941366,1.1977070922866202,49.504950495049506
小売業,557,-0.03325461021121431,5.438077826019747,-0.11481230950853179,6.492275991291042,0.24106788891469658,46.858168761220824
電気･ガス業,147,-0.054612845407381524,3.9202065483752384,0.20456585861206938,5.412148360685777,0.8059218341482158,54.421768707483
輸送用機器,156,-0.27253933542486813,5.2853571304942095,-0.5744166912854746,6.121295780146143,1.4775692343718851,44.871794871794876
陸運業,220,-0.32471293009342417,3.664227053712972,-0.10066688217097763,4.724569745397514,0.2921937252853128,46.36363636363636
食料品,263,-0.4874354032854872,5.7973174175886975,-0.3176238591770669,6.733613259976097,0.45148398909973814,39.92395437262358
