,0
2016-10,0.07972378052215952
2016-11,0.08671381157237312
2016-12,0.06436410042326046
2017-01,0.0175957852572564
2017-02,0.027205676312044628
2017-03,0.012582247504122682
2017-04,0.008927942001633302
2017-05,0.07044661839271721
2017-06,0.04169289250553087
2017-07,0.0193717835465654
2017-08,0.044281353403948495
2017-09,0.031759557861989786
2017-10,0.06532010901320641
2017-11,0.04337662887864181
2017-12,0.06633882407692998
2018-01,0.045045475903196235
2018-02,-0.04628068499381737
2018-03,0.0051797152444130285
2018-04,-0.0034417588592322605
2018-05,0.014679005550104462
2018-06,0.0005287268510944764
2018-07,0.012615437231770056
2018-08,-0.005493239622672224
2018-09,0.07558789007346114
2018-10,-0.11288993617036966
2018-11,-0.005904147723770512
2018-12,-0.11085110139500202
2019-01,0.02597979371807924
2019-02,0.05313837910423637
2019-03,0.005980946540136363
2019-04,0.03080778891268055
2019-05,-0.06321249346866394
2019-06,0.011030181814780583
2019-07,0.032080424849853975
2019-08,-0.008779289130601628
2019-09,0.049290843277676175
2019-10,0.06140835895514902
2019-11,0.019956269619240925
2019-12,0.028319142301993307
2020-01,-0.022991913440241072
2020-02,-0.16467066479958029
2020-03,-0.05190994465825005
2020-04,0.015664934359465327
2020-05,0.08357977819785972
2020-06,0.03500464612426756
2020-07,-0.07947725353930071
2020-08,0.13225173481421448
2020-09,0.058549452087373416
2020-10,-0.040927168457724844
2020-11,0.08075419931183803
2020-12,0.05063310819310579
2021-01,0.022355760727578354
2021-02,0.05155005095815008
2021-03,0.06392490716395068
2021-04,-0.038034391371226724
2021-05,0.032373065654785815
2021-06,0.020206357875928768
2021-07,-0.0062467534991623675
2021-08,0.04567311153190441
2021-09,0.030055684887292974
2021-10,0.004495072826637465
2021-11,-0.0345375379681986
2021-12,0.03210913634469938
2022-01,-0.041193893778974706
2022-02,0.016191566929302435
2022-03,0.02449305649033224
2022-04,-0.010719892778781064
2022-05,0.0338253744600005
2022-06,-0.03186464175891813
2022-07,0.01707572885094119
2022-08,0.03329409449665783
2022-09,-0.02692537193935045
2022-10,0.06059140131484478
2022-11,0.054516762121702485
2022-12,-0.0013184417791798052
2023-01,0.057498608003265304
2023-02,0.042758127455531064
2023-03,-0.028268926445446003
2023-04,0.0303189286547641
2023-05,0.010033328852782141
2023-06,0.10504439631816467
2023-07,0.017069037103629083
2023-08,0.03117591994331957
2023-09,0.07963666806122163
2023-10,-0.009180670864421207
2023-11,0.03162157064963195
2023-12,-0.00655995766125639
2024-01,0.08304603434286825
2024-02,0.06846505299547512
2024-03,0.05480806043062303
2024-04,-0.01456339807283528
2024-05,0.0630319758603686
2024-06,-0.01890445560473876
2024-07,0.018463743492672623
2024-08,-0.04026653521663166
2024-09,-0.01691092542002942
2024-10,-0.007056195562641247
2024-11,0.003089136449509761
2024-12,0.02462801477823173
2025-01,0.028303164658015172
2025-02,-0.020115535461680663
2025-03,0.012893649251766611
2025-04,0.007052887054692709
2025-05,0.05623684867949136
2025-06,0.03746793130501869
2025-07,0.055100145817007104
2025-08,0.08716755630399692
2025-09,-0.01043124664178269
2025-10,0.03550422294427006
2025-11,0.03459075365502282
2025-12,0.027240678931271422
2026-01,0.1524156277174657
2026-02,0.18135519146698553
2026-03,-0.10667892256388434
2026-04,0.023210457940680013
2026-05,0.06256506429215898
2026-06,0.016622200825751065
2026-07,0.034026880091093024
