,0
2016-10,0.026623491736420493
2016-11,0.031861763504147156
2016-12,0.030895340427888218
2017-01,0.015580784697533809
2017-02,0.01823526879924631
2017-03,0.02738046546519918
2017-04,-0.0037654336429522005
2017-05,0.04657274451884347
2017-06,0.013937962227598792
2017-07,0.015208994291648868
2017-08,0.045022730264340935
2017-09,-0.003692182884017757
2017-10,0.010858249034105052
2017-11,0.02858580688946878
2017-12,0.05212070881421854
2018-01,0.03450937255585145
2018-02,-0.009002072692474154
2018-03,0.03455355589952775
2018-04,-0.03894254543500575
2018-05,0.03143541861988162
2018-06,0.010005392850121555
2018-07,-0.0003258819739563306
2018-08,0.004738952427701621
2018-09,0.028392799745861425
2018-10,-0.018720174167343034
2018-11,-0.018861890780169917
2018-12,-0.006883965948661738
2019-01,-0.023147099574828186
2019-02,0.027511421356499546
2019-03,0.01594574009101157
2019-04,0.01429023469187696
2019-05,0.002086994148229257
2019-06,-0.014666117812272748
2019-07,0.02305480498317526
2019-08,0.025262394041510906
2019-09,-0.0009386753285440946
2019-10,0.011521723358726317
2019-11,0.0005502672557279494
2019-12,0.015373092024241666
2020-01,-0.0015437561692461556
2020-02,-0.061627516928477594
2020-03,0.019459531206648895
2020-04,-0.027804959585112126
2020-05,0.015521063554034098
2020-06,0.038138299644511646
2020-07,-0.03924681543746403
2020-08,0.050623992611361635
2020-09,0.05403203128128267
2020-10,-0.012529577577436363
2020-11,-0.030425858054260346
2020-12,0.02227853932386964
2021-01,0.02008388981417549
2021-02,0.02075028537029517
2021-03,0.015917140965151025
2021-04,-0.009498055649629973
2021-05,0.019339940233342734
2021-06,0.009499018226010555
2021-07,0.015615078078810133
2021-08,0.014311990484920448
2021-09,-0.005370438436009886
2021-10,0.018769809793181932
2021-11,0.0018559898503884703
2021-12,-0.0010694878677103142
2022-01,0.007191664838322613
2022-02,0.020938577631174324
2022-03,-0.0070237459347708905
2022-04,0.013314221483446726
2022-05,0.026955579448366407
2022-06,-0.009984233742898592
2022-07,-0.020068411151838245
2022-08,0.02151762578804945
2022-09,0.03787831191728881
2022-10,0.009669257889678456
2022-11,0.025420085901264385
2022-12,0.04595261892379213
2023-01,0.013326932640762533
2023-02,0.03364038658972543
2023-03,-0.03339615392979346
2023-04,0.0033760786422858957
2023-05,-0.025519872150386803
2023-06,0.03090200650857791
2023-07,0.0022302710457771345
2023-08,0.027111439370158905
2023-09,0.08332877783823714
2023-10,0.02080568527897275
2023-11,-0.022160620571992806
2023-12,-0.0029640622032850467
2024-01,0.004990430659620654
2024-02,0.01961161722267124
2024-03,0.0200923006192818
2024-04,-0.005371092881079212
2024-05,0.05234361166857607
2024-06,-0.032300356040808956
2024-07,0.023934214693506838
2024-08,-0.011053076197070147
2024-09,0.007674071428047935
2024-10,-0.025790558397777434
2024-11,0.008579748615667633
2024-12,-0.014246014863169235
2025-01,0.026960217643379174
2025-02,0.018099951546416297
2025-03,0.021603274954110737
2025-04,0.0038333047729267105
2025-05,0.00589361641003433
2025-06,0.019167478344714328
2025-07,0.023472013850265136
2025-08,0.0422790555208013
2025-09,-0.03072924545811212
2025-10,-0.02639978011539331
2025-11,0.020601444476583276
2025-12,0.018203963760956187
2026-01,0.10625799065993785
2026-02,0.07694504319089157
2026-03,0.005241822457290213
2026-04,-0.04235820404121736
2026-05,0.0008674406004432617
2026-06,0.0071229880044672116
2026-07,0.01654397748868399
