,D_strong,D_freq,B,Combined
2024-11-14,0.0,0.0,80.05449410201005,20.013623525502513
2024-11-18,0.0,0.0,-11.778575477044743,-2.944643869261186
2024-11-19,0.0,0.0,-290.7854365500182,-72.69635913750454
2024-11-21,0.0,0.0,-15.505024094133784,-3.876256023533446
2024-11-26,0.0,0.0,-17.286355250298083,-4.321588812574521
2024-11-27,0.0,0.0,129.97861331493522,32.494653328733804
2024-12-03,0.0,0.0,-95.30038825669196,-23.82509706417299
2024-12-04,0.0,0.0,6.424110858944905,1.6060277147362263
2024-12-05,0.0,0.0,184.54658385093217,46.13664596273304
2024-12-06,0.0,0.0,20.788630701083726,5.197157675270931
2024-12-10,0.0,0.0,88.48518263266625,22.121295658166563
2024-12-12,0.0,0.0,130.68730849862843,32.671827124657106
2024-12-13,0.0,0.0,11.274012206873525,2.8185030517183813
2024-12-16,0.0,0.0,-89.44020574367805,-22.360051435919512
2024-12-23,0.0,0.0,61.0208667736747,15.255216693418674
2024-12-24,0.0,0.0,0.04643155147610637,0.011607887869026593
2024-12-26,0.0,0.0,-89.70676350431228,-22.42669087607807
2024-12-27,0.0,0.0,140.76524843796534,35.191312109491335
2024-12-30,0.0,0.0,97.72139303482552,24.43034825870638
2025-01-06,0.0,0.0,66.87990957897762,16.719977394744404
2025-01-08,0.0,0.0,42.02742444009852,10.50685611002463
2025-01-10,0.0,0.0,101.56913506708501,25.392283766771254
2025-01-14,0.0,0.0,91.31186455996331,22.827966139990828
2025-01-17,0.0,0.0,-54.47348277747376,-13.61837069436844
2025-01-22,0.0,0.0,-67.63339599494623,-16.908348998736557
2025-01-24,0.0,0.0,88.62441962605017,22.156104906512542
2025-01-27,0.0,0.0,-122.5849296888471,-30.646232422211774
2025-01-28,0.0,0.0,-83.36822283651156,-20.84205570912789
2025-01-29,0.0,0.0,163.52658662092702,40.881646655231755
2025-01-30,0.0,0.0,-99.12914708813923,-24.78228677203481
2025-01-31,0.0,0.0,-64.90799873537821,-16.226999683844554
2025-02-04,0.0,0.0,153.40350877192898,38.350877192982246
2025-02-12,0.0,0.0,-141.18908826041098,-35.297272065102746
2025-02-13,0.0,0.0,78.54377176694972,19.63594294173743
2025-02-28,0.0,0.0,122.06161138370942,30.515402845927355
2025-03-05,0.0,0.0,-17.77357875875495,-4.443394689688738
2025-03-06,0.0,0.0,-14.9204152249136,-3.7301038062284
2025-03-10,0.0,0.0,85.24814367121404,21.31203591780351
2025-03-12,0.0,0.0,-156.7758945386064,-39.1939736346516
2025-03-14,0.0,0.0,-243.58082859463815,-60.89520714865954
2025-03-17,0.0,0.0,-7.296445996954105,-1.8241114992385263
2025-03-19,0.0,0.0,-166.91448699762,-41.728621749405
2025-03-25,0.0,0.0,13.299254526092604,3.324813631523151
2025-03-26,109.63876534720718,35.99730781267333,121.31325549207506,94.14702349979069
2025-03-27,85.14897518308842,165.42947476353658,0.0,83.93185628242836
2025-04-02,0.0,0.0,-157.5474222746951,-39.386855568673774
2025-04-03,0.0,0.0,-31.75296912114022,-7.938242280285055
2025-04-04,329.4547198303479,329.95543133265363,-156.11386253182124,208.18775211538207
2025-04-07,0.0,0.0,-40.45813224646714,-10.114533061616784
2025-04-08,0.0,0.0,165.10884515058024,41.27721128764506
2025-04-09,111.47722946979295,19.811758900356118,0.0,60.691554459985504
2025-04-10,-171.56173892226178,-267.12816280451403,-25.593244194229474,-158.96122121081677
2025-04-11,0.0,98.7887240670702,0.0,24.69718101676755
2025-04-15,0.0,0.0,50.13953488372103,12.534883720930258
2025-04-16,0.0,70.5645046953777,0.0,17.641126173844427
2025-04-18,0.0,0.0,13.417862497323803,3.3544656243309507
2025-04-22,0.0,0.0,-28.27027027027062,-7.067567567567655
2025-04-25,0.0,35.1706401299821,0.0,8.792660032495524
2025-04-30,0.0,0.0,-4.151405866102735,-1.0378514665256837
2025-05-01,-114.9743074750368,-79.17783888484067,0.0,-77.28161345872857
2025-05-02,0.0,-130.04375264925983,0.0,-32.51093816231496
2025-05-08,0.0,-26.065892459749083,0.0,-6.516473114937271
2025-05-12,0.0,0.0,-143.76894593927415,-35.94223648481854
2025-05-13,0.0,0.0,393.126871111987,98.28171777799675
2025-05-14,0.0,-168.8083522456457,0.0,-42.20208806141142
2025-05-15,0.0,0.0,-57.92244131196033,-14.480610327990082
2025-05-16,0.0,0.0,98.08598548297098,24.521496370742746
2025-05-19,0.0,0.0,236.53246082314362,59.133115205785906
2025-05-20,0.0,0.0,-99.28585844636974,-24.821464611592436
2025-05-22,0.0,0.0,-349.8940609951848,-87.4735152487962
2025-05-23,0.0,0.0,-7.1408057347355705,-1.7852014336838926
2025-05-29,0.0,0.0,139.20886168197111,34.80221542049278
2025-06-02,0.0,0.0,94.44402165959343,23.611005414898358
2025-06-04,0.0,0.0,146.03201449713188,36.50800362428297
2025-06-06,0.0,0.0,-5.325845701297009,-1.3314614253242523
2025-06-10,0.0,0.0,-101.10746152851324,-25.27686538212831
2025-06-11,0.0,0.0,-31.395233221231713,-7.848808305307928
2025-06-12,0.0,35.45476154176084,0.0,8.86369038544021
2025-06-16,0.0,0.0,100.45126306044062,25.112815765110156
2025-06-19,0.0,0.0,-22.490653528473896,-5.622663382118474
2025-06-26,0.0,0.0,-36.256189451022486,-9.064047362755622
2025-06-27,95.22988955052695,80.89562052768113,0.0,67.83884990718376
2025-07-01,0.0,0.0,-35.798837503159035,-8.949709375789759
2025-07-03,0.0,0.0,8.794961511545914,2.1987403778864785
2025-07-08,0.0,0.0,147.23758099352136,36.80939524838034
2025-07-09,0.0,228.20541972612668,0.0,57.05135493153167
2025-07-10,0.0,0.0,-29.741491018697488,-7.435372754674372
2025-07-11,0.0,0.0,22.605455755157163,5.651363938789291
2025-07-15,0.0,0.0,-112.86302267662894,-28.215755669157236
2025-07-23,0.0,0.0,83.30504118201932,20.82626029550483
2025-07-24,0.0,0.0,-14.211180124223725,-3.5527950310559313
2025-07-25,0.0,0.0,-126.19116135662888,-31.54779033915722
2025-07-29,0.0,0.0,104.51049538203218,26.127623845508044
2025-07-30,0.0,0.0,-44.851264203091596,-11.212816050772899
2025-07-31,0.0,0.0,120.91166594267033,30.22791648566758
2025-08-01,0.0,-57.982615144840146,0.0,-14.495653786210037
2025-08-04,0.0,0.0,-39.7768773181204,-9.9442193295301
2025-08-08,0.0,0.0,-38.948129749143185,-9.737032437285796
2025-08-12,0.0,0.0,83.95660018510021,20.989150046275054
2025-08-13,0.0,79.79127398154145,0.0,19.947818495385363
2025-08-14,0.0,0.0,-63.301755229621996,-15.825438807405499
2025-08-15,0.0,0.0,200.91760990764314,50.229402476910785
2025-08-18,0.0,0.0,-75.3363505905733,-18.834087647643326
2025-08-19,0.0,0.0,24.553706591798292,6.138426647949573
2025-08-20,0.0,0.0,-85.41347905282359,-21.353369763205897
2025-08-21,0.0,0.0,148.37742294412283,37.09435573603071
2025-08-22,0.0,0.0,-27.01140684410607,-6.752851711026517
2025-08-25,0.0,0.0,-34.064291920069316,-8.516072980017329
2025-08-27,0.0,0.0,36.780317120221014,9.195079280055253
2025-08-28,0.0,0.0,-32.4116084004653,-8.102902100116324
2025-08-29,0.0,0.0,-14.46551724137967,-3.6163793103449176
2025-09-01,0.0,0.0,48.01920658511395,12.004801646278487
2025-09-02,0.0,0.0,104.46485473289658,26.116213683224146
2025-09-03,0.0,146.4990249180703,295.2440056417496,110.43575763995497
2025-09-04,0.0,0.0,94.15664018161208,23.53916004540302
2025-09-05,0.0,47.83607870490046,-19.344299489506326,7.122944803848533
2025-09-08,0.0,0.0,-43.12132822477643,-10.780332056194107
2025-09-09,0.0,0.0,16.491049209447443,4.122762302361861
2025-09-10,0.0,0.0,-33.02175805047857,-8.255439512619642
2025-09-11,0.0,237.0786705085825,23.62411841797081,65.17569723163832
2025-09-12,0.0,0.0,3.2415101301876987,0.8103775325469247
2025-09-16,0.0,0.0,35.041606886657924,8.760401721664481
2025-09-17,0.0,0.0,149.43073047858934,37.357682619647335
2025-09-18,0.0,-42.55831094517383,139.9654747225645,24.351790944347666
2025-09-22,0.0,0.0,43.96032120925898,10.990080302314745
2025-09-25,368.4439559085864,272.53445146327266,-151.78730330982137,214.40876499265605
2025-09-26,0.0,0.0,63.5051841258485,15.876296031462125
2025-09-29,0.0,0.0,-19.29408069652615,-4.823520174131538
2025-10-01,0.0,155.40686815815238,0.0,38.851717039538094
2025-10-02,0.0,0.0,55.46967559943684,13.86741889985921
2025-10-03,0.0,41.81840758175807,-300.4420812761108,-64.65591842358818
2025-10-06,0.0,0.0,64.40853658536662,16.102134146341655
2025-10-07,0.0,0.0,57.952331428277,14.48808285706925
