,pnl_bps
2024-11-14,-282.4972869454199
2024-11-18,290.7777274784964
2024-11-19,-338.9919114516813
2024-11-20,-75.09298668623576
2024-11-21,-196.69902505503688
2024-11-22,-72.47521403657119
2024-11-26,298.38778971170177
2024-11-27,-222.18701059419675
2024-11-28,-117.17816436712636
2024-11-29,38.330163374785904
2024-12-02,-116.81089620580708
2024-12-03,-185.89609903753666
2024-12-04,-115.26571359925941
2024-12-05,78.80535424797743
2024-12-06,-199.4847797016922
2024-12-09,323.76441553404936
2024-12-10,269.35260555344144
2024-12-11,138.62283275963307
2024-12-12,-11.471555311657113
2024-12-13,120.13872238437828
2024-12-16,-3.3443767134131406
2024-12-17,559.8966988583489
2024-12-18,138.242777710206
2024-12-19,285.4350089537962
2024-12-20,-44.1668950996169
2024-12-23,-136.5479182585708
2024-12-24,155.50142490687006
2024-12-25,-8.972579716276845
2024-12-26,-153.05382513895216
2024-12-30,-154.04072600347183
2025-01-06,43.518044560672216
2025-01-07,-379.8978959864461
2025-01-08,355.8582005983515
2025-01-09,-132.2917936330229
2025-01-10,195.1260392701434
2025-01-14,-416.9039502225422
2025-01-15,313.1139272001229
2025-01-16,-92.19751720367297
2025-01-20,19.01428946577544
2025-01-21,-3.8986527182869253
2025-01-22,-58.70702061617638
2025-01-23,105.8263968106501
2025-01-24,-38.07126907229485
2025-01-27,-402.90033564608007
2025-01-28,-193.94549927868522
2025-01-29,-8.296384519136161
2025-01-31,39.35223121122122
2025-02-04,-44.046441394583795
2025-02-05,134.6867730817616
2025-02-06,-45.148696095410386
2025-02-10,29.22376689889728
2025-02-14,191.75250538626585
2025-02-19,-172.39935973912188
2025-02-20,214.70190127332887
2025-02-25,-220.33702356504182
2025-02-26,-9.331141176713622
2025-02-27,150.93521534251278
2025-02-28,-106.99376572241047
2025-03-03,136.5286313329208
2025-03-04,358.33624789078056
2025-03-05,91.61827859383376
2025-03-06,192.73974548938668
2025-03-07,-5.224283226747721
2025-03-10,-275.7457341464667
2025-03-11,355.28946979890196
2025-03-12,-148.79436258808474
2025-03-13,58.880864835811565
2025-03-14,426.709334602269
2025-03-17,-72.0874272789993
2025-03-18,-62.49234927416224
2025-03-19,-129.1210188573064
2025-03-21,-77.37264350564963
2025-03-24,-162.4456697626989
2025-03-25,260.4910749771905
2025-03-26,-22.06301980194113
2025-03-27,-57.42763288125551
2025-03-28,-145.14691077307185
2025-03-31,-305.0585980049072
2025-04-01,-53.697829325485486
2025-04-03,-170.20324190439175
2025-04-04,-417.6030442482217
2025-04-07,238.29206392330593
2025-04-08,-52.19013590454201
2025-04-09,-104.00215719475337
2025-04-10,160.76613729209612
2025-04-11,851.000915960674
2025-04-14,76.44767846761692
2025-04-15,54.26461370504022
2025-04-16,309.8113560876539
2025-04-17,290.92637436363145
2025-04-18,-42.22970927098001
2025-04-21,0.013204304245346066
2025-04-22,-61.09071536871568
2025-04-23,93.61314392466747
2025-04-24,11.881723661308689
2025-04-25,-114.95380511886853
2025-04-28,282.1761525863584
2025-04-30,153.68606958620325
2025-05-01,-227.81631373045562
2025-05-02,39.04480234477692
2025-05-07,-16.893369647820624
2025-05-08,-86.81055275975402
2025-05-09,-19.826534570967603
2025-05-12,-313.44306676289136
2025-05-13,281.556966767845
