date,intra,net
2025-04-02,-106.20776651028082,-110.20776651028082
2025-04-09,-174.15458937198093,-178.15458937198093
2025-04-16,-217.0768085391554,-221.0768085391554
2025-04-23,-184.88458730568922,-188.88458730568922
2025-04-30,-156.25341862234004,-160.25341862234004
2025-05-07,-40.762226111568836,-44.762226111568836
2025-05-14,-30.357570844263833,-34.35757084426383
2025-05-21,185.0895255108235,181.0895255108235
2025-05-28,-130.1128785133358,-134.1128785133358
2025-06-04,-32.65604531025571,-36.65604531025571
2025-06-11,87.83727861679358,83.83727861679358
2025-06-18,54.11505930995301,50.11505930995301
2025-06-25,-49.892559414330314,-53.892559414330314
2025-07-02,223.90489409040165,219.90489409040165
2025-07-09,-173.59695236961977,-177.59695236961977
2025-07-16,-8.380212834079673,-12.380212834079673
2025-07-23,40.06427116994245,36.06427116994245
2025-07-30,171.75132742711727,167.75132742711727
2025-08-06,106.95551109488389,102.95551109488389
2025-08-13,29.41667988554256,25.41667988554256
2025-08-20,-106.60625735733065,-110.60625735733065
2025-08-27,166.69705381217923,162.69705381217923
2025-09-03,-9.871752238637493,-13.871752238637493
2025-09-10,144.53239330103267,140.53239330103267
2025-09-17,-225.5926816987967,-229.5926816987967
2025-09-24,59.207283399111965,55.207283399111965
2025-10-01,0.35318052026685604,-3.646819479733144
2025-10-08,531.4321072115491,527.4321072115491
2025-10-15,154.83444168631493,150.83444168631493
2025-10-22,165.53344094932476,161.53344094932476
2025-10-29,-9.416521741638093,-13.416521741638093
2025-11-05,4.3151188916542225,0.31511889165422247
2025-11-12,171.35660249237293,167.35660249237293
2025-11-19,17.186260512821462,13.186260512821462
2025-11-26,114.95579365559338,110.95579365559338
2025-12-03,105.06763125579744,101.06763125579744
2025-12-10,7.466072405556417,3.4660724055564174
2025-12-17,234.9972479074469,230.9972479074469
2025-12-24,183.0766910569896,179.0766910569896
2026-01-07,-52.71157683618929,-56.71157683618929
2026-01-14,348.62012598505663,344.62012598505663
2026-01-21,365.26689142555966,361.26689142555966
2026-01-28,7.685338318485681,3.685338318485681
2026-02-04,335.30447638384493,331.30447638384493
2026-02-18,427.88483661728566,423.88483661728566
2026-02-25,589.4078815127498,585.4078815127498
2026-03-11,-16.736399311646128,-20.736399311646128
2026-03-18,336.8092200041161,332.8092200041161
2026-04-15,-429.12644773437074,-433.12644773437074
2026-04-22,87.35970268545408,83.35970268545408
