date,intra,net
2025-04-14,-193.66548897684152,189.66548897684152
2025-04-21,-33.07585584473157,29.07585584473157
2025-04-28,112.19275215749168,-116.19275215749168
2025-05-12,134.79122078994118,-138.79122078994118
2025-05-19,-205.79983093673408,201.79983093673408
2025-05-26,20.058432339273107,-24.058432339273107
2025-06-02,-147.5454586958014,143.5454586958014
2025-06-09,-130.42729641633557,126.42729641633557
2025-06-16,-76.04296321724064,72.04296321724064
2025-06-23,72.44098297536806,-76.44098297536806
2025-06-30,-72.50901801267196,68.50901801267196
2025-07-07,-134.0043285528958,130.0043285528958
2025-07-14,49.349541408513595,-53.349541408513595
2025-07-28,-83.74502717796754,79.74502717796754
2025-08-04,110.26214324792856,-114.26214324792856
2025-08-18,-121.4880645646795,117.4880645646795
2025-08-25,24.976178200128984,-28.976178200128984
2025-09-01,-14.97358679880952,10.97358679880952
2025-09-08,0.49600467031507617,-4.4960046703150764
2025-09-22,-51.53660800163774,47.53660800163774
2025-09-29,-172.88077693724426,168.88077693724426
2025-10-06,-70.05744026273742,66.05744026273742
2025-10-20,42.61053249999665,-46.61053249999665
2025-10-27,107.78853624244577,-111.78853624244577
2025-11-10,-129.4435546621971,125.4435546621971
2025-11-17,-59.568745409862196,55.568745409862196
2025-12-01,-36.23572726263384,32.23572726263384
2025-12-08,4.7551253908273425,-8.755125390827342
2025-12-15,12.135777329951672,-16.135777329951672
2025-12-22,0.7948311850643677,-4.794831185064368
2025-12-29,92.27101567146123,-96.27101567146123
2026-01-05,-4.557584357113282,0.5575843571132824
2026-01-19,15.035234567838025,-19.035234567838025
2026-01-26,-75.39715615867897,71.39715615867897
2026-02-02,-68.41910956708865,64.41910956708865
2026-02-09,-204.92202896196056,200.92202896196056
2026-02-16,-41.89725150551086,37.89725150551086
2026-03-02,125.5959447063093,-129.5959447063093
2026-03-09,185.40373919510614,-189.40373919510614
2026-03-16,-169.27295134351576,165.27295134351576
2026-03-23,-566.7102440568891,562.7102440568891
2026-03-30,80.27724162133708,-84.27724162133708
2026-04-06,41.16238017474331,-45.16238017474331
2026-04-13,-226.99132542416103,222.99132542416103
2026-04-20,-274.7664394866741,270.7664394866741
