sector,cond,on,lme
CORE5,-1%<LME<+1%,-191.55907516111847,0.3634186128146366
CORE5,-1%<LME<+1%,7.809239894939477,0.7770603042574153
CORE5,-1%<LME<+1%,172.32624041786292,0.1603592046183433
CORE5,LME<=-1%,37.37424885309171,-3.447837823532529
CORE5,LME<=-1%,28.402152690793827,-1.1974789915966344
CORE5,-1%<LME<+1%,-16.16956603645581,-0.3376798794742619
CORE5,-1%<LME<+1%,-39.80718943563488,-0.8180653929588888
CORE5,-1%<LME<+1%,68.44906502679038,-0.3126302626094257
CORE5,-1%<LME<+1%,-25.263688288563735,0.10893811277687959
CORE5,-1%<LME<+1%,18.68677018646947,-0.8020565552699255
CORE5,-1%<LME<+1%,-26.234042633461076,-0.20165460186142292
CORE5,-1%<LME<+1%,48.65689561617393,0.6519039735099375
CORE5,-1%<LME<+1%,50.672820563496984,0.6738408930906159
CORE5,-1%<LME<+1%,-38.25850654799878,0.8014024542950082
CORE5,-1%<LME<+1%,-65.10892732848927,-0.2122702562775025
CORE5,-1%<LME<+1%,91.46678139549435,0.3586583148110778
CORE5,-1%<LME<+1%,-58.04839915451178,-0.7446699989799077
CORE5,-1%<LME<+1%,136.39778362789846,0.4099849499195507
CORE5,-1%<LME<+1%,-75.7150420035686,-0.6402439024390194
CORE5,-1%<LME<+1%,4.621923471887169,0.3768909081522054
CORE5,-1%<LME<+1%,-43.00909934324593,-0.7413801858528357
CORE5,-1%<LME<+1%,77.27228100100447,-0.39446746891695916
CORE5,-1%<LME<+1%,49.60005598283956,0.9630413956537076
CORE5,LME<=-1%,49.416706998974824,-1.4134624888801017
CORE5,LME>=+1%,140.4251733730648,3.267123630359725
CORE5,-1%<LME<+1%,120.8450113164976,0.6216006216006154
CORE5,-1%<LME<+1%,119.67695250506094,-0.2284275791338386
CORE5,-1%<LME<+1%,142.48228195474113,-0.21229419257442483
CORE5,-1%<LME<+1%,-97.2204397442411,0.5850988533949941
CORE5,-1%<LME<+1%,101.927827185754,0.5485289451017783
CORE5,-1%<LME<+1%,72.5657173462385,0.7381961358506217
CORE5,-1%<LME<+1%,37.90098340561809,0.5258302583025731
CORE5,-1%<LME<+1%,143.78689502886786,0.9768180968405371
CORE5,LME>=+1%,51.73187591871326,1.1123932610200837
CORE5,LME>=+1%,39.400944271180904,2.723194257514572
CORE5,-1%<LME<+1%,72.38726748585545,0.780296425457716
CORE5,LME>=+1%,-167.25827084897514,1.0629141922712693
CORE5,-1%<LME<+1%,21.08551764829114,0.6470344255495641
CORE5,LME<=-1%,54.806282178240906,-2.931080010562448
CORE5,-1%<LME<+1%,28.469927480220928,0.24208566108008256
CORE5,-1%<LME<+1%,101.64214312748922,-0.27351228851638654
CORE5,-1%<LME<+1%,149.61247484206018,0.7371007371007376
CORE5,LME<=-1%,34.67704057735865,-2.7591349739000792
CORE5,LME>=+1%,5.486660275772497,1.06106870229008
CORE5,LME>=+1%,109.88827525365987,1.4964267382635121
CORE5,LME>=+1%,74.99886876993618,1.1708980674497882
CORE5,-1%<LME<+1%,178.3166904422262,0.4859423811176766
CORE5,-1%<LME<+1%,-93.06540803177388,-0.3626923223762124
CORE5,LME<=-1%,47.85430551127568,-3.4389671361502394
CORE5,LME>=+1%,141.05354736541022,1.575356626007851
CORE5,-1%<LME<+1%,369.6750778908725,0.726832222895224
CORE5,LME>=+1%,527.562758827157,3.0579551445836906
CORE5,-1%<LME<+1%,171.06014081477937,-0.15042117930204046
CORE5,LME>=+1%,144.0048037870949,1.7025292563231487
NONFER,-1%<LME<+1%,-405.6001647107266,0.3634186128146366
NONFER,-1%<LME<+1%,107.21308667422416,0.7770603042574153
NONFER,-1%<LME<+1%,111.91141389097122,0.1603592046183433
NONFER,LME<=-1%,-76.26053972618026,-3.447837823532529
NONFER,LME<=-1%,-85.04180670911705,-1.1974789915966344
NONFER,-1%<LME<+1%,101.49271590535193,-0.3376798794742619
NONFER,-1%<LME<+1%,-149.80874782526485,-0.8180653929588888
NONFER,-1%<LME<+1%,28.25883593942017,-0.3126302626094257
NONFER,-1%<LME<+1%,-30.33739694325188,0.10893811277687959
NONFER,-1%<LME<+1%,-78.6679920809341,-0.8020565552699255
NONFER,-1%<LME<+1%,-19.48851861811522,-0.20165460186142292
NONFER,-1%<LME<+1%,10.967914898428374,0.6519039735099375
NONFER,-1%<LME<+1%,112.54464910032642,0.6738408930906159
NONFER,-1%<LME<+1%,-38.14185470222645,0.8014024542950082
NONFER,-1%<LME<+1%,-78.91716571154653,-0.2122702562775025
NONFER,-1%<LME<+1%,38.781669765569994,0.3586583148110778
NONFER,-1%<LME<+1%,-205.66983367264962,-0.7446699989799077
NONFER,-1%<LME<+1%,0.42004124320908315,0.4099849499195507
NONFER,-1%<LME<+1%,-81.82433356457666,-0.6402439024390194
NONFER,-1%<LME<+1%,39.1491860144566,0.3768909081522054
NONFER,-1%<LME<+1%,-76.6152074506595,-0.7413801858528357
NONFER,-1%<LME<+1%,43.228762509248675,-0.39446746891695916
NONFER,-1%<LME<+1%,17.901999183442076,0.9630413956537076
NONFER,LME<=-1%,115.09738505596594,-1.4134624888801017
NONFER,LME>=+1%,291.8451441849901,3.267123630359725
NONFER,-1%<LME<+1%,215.06912579537297,0.6216006216006154
NONFER,-1%<LME<+1%,202.21047212703718,-0.2284275791338386
NONFER,-1%<LME<+1%,120.74611041914837,-0.21229419257442483
NONFER,-1%<LME<+1%,-332.5572481594663,0.5850988533949941
NONFER,-1%<LME<+1%,316.6694252171509,0.5485289451017783
NONFER,-1%<LME<+1%,147.7130108202821,0.7381961358506217
NONFER,-1%<LME<+1%,871.4994647660554,0.5258302583025731
NONFER,-1%<LME<+1%,227.9851102651598,0.9768180968405371
NONFER,LME>=+1%,207.14227461068842,1.1123932610200837
NONFER,LME>=+1%,117.21234937503063,2.723194257514572
NONFER,-1%<LME<+1%,60.60777983182867,0.780296425457716
NONFER,LME>=+1%,-108.60579227563153,1.0629141922712693
NONFER,-1%<LME<+1%,83.72288620463353,0.6470344255495641
NONFER,LME<=-1%,7.786140669607811,-2.931080010562448
NONFER,-1%<LME<+1%,-3.44577141139631,0.24208566108008256
NONFER,-1%<LME<+1%,-15.418334538371084,-0.27351228851638654
NONFER,-1%<LME<+1%,161.1967259182105,0.7371007371007376
NONFER,LME<=-1%,-9.472140731443536,-2.7591349739000792
NONFER,LME>=+1%,194.06653647619174,1.06106870229008
NONFER,LME>=+1%,191.02818508577312,1.4964267382635121
NONFER,LME>=+1%,142.2803070723422,1.1708980674497882
NONFER,-1%<LME<+1%,-550.2292621925798,0.4859423811176766
NONFER,-1%<LME<+1%,-111.75794508370696,-0.3626923223762124
NONFER,LME<=-1%,405.5673900836726,-3.4389671361502394
NONFER,LME>=+1%,-25.130455638308074,1.575356626007851
NONFER,-1%<LME<+1%,483.44538081300124,0.726832222895224
NONFER,LME>=+1%,799.8161534725708,3.0579551445836906
NONFER,-1%<LME<+1%,101.95715852906017,-0.15042117930204046
NONFER,LME>=+1%,138.20885914062868,1.7025292563231487
SEMICON,-1%<LME<+1%,-425.6828662646328,0.3634186128146366
SEMICON,-1%<LME<+1%,-150.228296761046,0.7770603042574153
SEMICON,-1%<LME<+1%,285.2278688857979,0.1603592046183433
SEMICON,LME<=-1%,194.34574684651108,-3.447837823532529
SEMICON,LME<=-1%,240.75423034899669,-1.1974789915966344
SEMICON,-1%<LME<+1%,132.6232925978947,-0.3376798794742619
SEMICON,-1%<LME<+1%,-197.8910534138201,-0.8180653929588888
SEMICON,-1%<LME<+1%,184.4967622087168,-0.3126302626094257
SEMICON,-1%<LME<+1%,66.51046634846347,0.10893811277687959
SEMICON,-1%<LME<+1%,-83.9506106825252,-0.8020565552699255
SEMICON,-1%<LME<+1%,43.273867707911414,-0.20165460186142292
SEMICON,-1%<LME<+1%,69.15365296495169,0.6519039735099375
SEMICON,-1%<LME<+1%,71.16751603149041,0.6738408930906159
SEMICON,-1%<LME<+1%,65.02997983664893,0.8014024542950082
SEMICON,-1%<LME<+1%,-94.95019899202673,-0.2122702562775025
SEMICON,-1%<LME<+1%,239.70462382792365,0.3586583148110778
SEMICON,-1%<LME<+1%,6.7113240089242705,-0.7446699989799077
SEMICON,-1%<LME<+1%,-194.8897862711141,0.4099849499195507
