code,name,sig_date,entry,gross_ret,net_ret,reason,exit_day,year
84100,セブン銀行,2024-08-01,271.0,-4.39114391143911,-4.49114391143911,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-08-01,3240.0,-16.20370370370371,-16.30370370370371,TIME,5,2024
85240,北洋銀行,2024-08-01,484.0,-19.628099173553714,-19.728099173553716,TIME,5,2024
58300,いよぎんホールディングス,2024-08-02,1263.0,1.306413301662701,1.206413301662701,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-08-02,1187.5,4.842105263157892,4.742105263157892,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-08-02,1396.0,3.330945558739251,3.230945558739251,TIME,5,2024
58380,楽天銀行,2024-08-02,2800.0,3.499999999999992,3.399999999999992,TIME,5,2024
58440,京都フィナンシャルグループ,2024-08-02,2199.0,5.2296498408367365,5.129649840836737,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-08-02,500.0,4.180000000000006,4.080000000000006,TIME,5,2024
71730,東京きらぼしフィナンシャルグループ,2024-08-02,3805.0,6.570302233902758,6.470302233902759,TIME,5,2024
71800,九州フィナンシャルグループ,2024-08-02,677.5,5.151291512915135,5.051291512915135,TIME,5,2024
71820,ゆうちょ銀行,2024-08-02,1411.0,-1.3111268603827053,-1.4111268603827054,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-02,719.9,6.056396721766921,5.956396721766922,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-08-02,1713.0,-4.319906596614132,-4.4199065966141315,TIME,5,2024
73270,第四北越フィナンシャルグループ,2024-08-02,781.7,6.818472559805544,6.718472559805544,TIME,5,2024
73370,ひろぎんホールディングス,2024-08-02,995.0,5.929648241206031,5.829648241206032,TIME,5,2024
73800,十六フィナンシャルグループ,2024-08-02,879.0,-5.346985210466437,-5.446985210466437,TIME,5,2024
73810,ＣＣＩグループ,2024-08-02,471.0,5.307855626326963,5.207855626326963,TIME,5,2024
83040,あおぞら銀行,2024-08-02,2226.5,6.220525488434769,6.12052548843477,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-08-02,1236.0,14.118122977346271,14.018122977346271,TIME,5,2024
83080,りそなホールディングス,2024-08-02,954.9,-5.351345690648235,-5.4513456906482345,TIME,5,2024
83090,三井住友トラストグループ,2024-08-02,3231.0,2.7545651501083235,2.6545651501083234,TIME,5,2024
83160,三井住友フィナンシャルグループ,2024-08-02,2720.7,9.872459293564173,9.772459293564173,TIME,5,2024
83310,千葉銀行,2024-08-02,994.0,7.947686116700203,7.847686116700204,TIME,5,2024
83340,群馬銀行,2024-08-02,788.9,6.667511725186981,6.567511725186981,TIME,5,2024
83410,七十七銀行,2024-08-02,1233.3,6.356928565636921,6.256928565636922,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-08-02,3707.0,-1.8343674130024246,-1.9343674130024247,TIME,5,2024
83580,スルガ銀行,2024-08-02,998.0,9.218436873747503,9.118436873747504,TIME,5,2024
83590,八十二長野銀行,2024-08-02,871.4,5.6460867569428475,5.546086756942848,TIME,5,2024
83660,滋賀銀行,2024-08-02,673.0,-0.2971768202080227,-0.3971768202080227,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-08-02,1689.5,0.5031074282332071,0.4031074282332071,TIME,5,2024
83810,山陰合同銀行,2024-08-02,1172.0,7.081911262798646,6.981911262798646,TIME,5,2024
84100,セブン銀行,2024-08-02,253.1,0.35559067562227487,0.2555906756222749,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-08-02,2800.0,-0.732142857142859,-0.832142857142859,TIME,5,2024
84180,山口フィナンシャルグループ,2024-08-02,1540.5,0.1622849724115527,0.0622849724115527,TIME,5,2024
85240,北洋銀行,2024-08-02,381.0,5.249343832021003,5.149343832021003,TIME,5,2024
87140,池田泉州ホールディングス,2024-08-02,345.0,2.0289855072463725,1.9289855072463724,TIME,5,2024
58300,いよぎんホールディングス,2024-08-05,1200.0,9.666666666666668,9.566666666666668,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-08-05,1213.5,6.674907292954257,6.574907292954258,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-08-05,1363.5,8.104143747708115,8.004143747708115,TIME,5,2024
58380,楽天銀行,2024-08-05,2758.0,9.680928208846984,9.580928208846984,TIME,5,2024
58440,京都フィナンシャルグループ,2024-08-05,2289.5,3.3631797335662794,3.2631797335662793,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-08-05,480.0,11.416666666666654,11.316666666666654,TIME,5,2024
71730,東京きらぼしフィナンシャルグループ,2024-08-05,3850.0,9.610389610389603,9.510389610389604,TIME,5,2024
71800,九州フィナンシャルグループ,2024-08-05,692.5,6.079422382671473,5.979422382671474,TIME,5,2024
71820,ゆうちょ銀行,2024-08-05,1349.0,2.3721275018532273,2.272127501853227,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-05,743.9,8.253797553434605,8.153797553434606,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-08-05,1544.0,7.577720207253891,7.477720207253891,TIME,5,2024
73270,第四北越フィナンシャルグループ,2024-08-05,778.3,11.358088140819756,11.258088140819757,TIME,5,2024
73370,ひろぎんホールディングス,2024-08-05,954.0,13.10272536687631,13.00272536687631,TIME,5,2024
73800,十六フィナンシャルグループ,2024-08-05,780.0,9.743589743589753,9.643589743589754,TIME,5,2024
73810,ＣＣＩグループ,2024-08-05,452.0,13.053097345132736,12.953097345132736,TIME,5,2024
83040,あおぞら銀行,2024-08-05,2315.0,0.9719222462202914,0.8719222462202915,TIME,5,2024
83080,りそなホールディングス,2024-08-05,879.3,9.075400887069263,8.975400887069263,TIME,5,2024
83090,三井住友トラストグループ,2024-08-05,3306.0,4.597701149425282,4.497701149425282,TIME,5,2024
83310,千葉銀行,2024-08-05,994.0,13.581488933601605,13.481488933601605,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-08-05,3488.0,8.600917431192666,8.500917431192667,TIME,5,2024
83580,スルガ銀行,2024-08-05,992.0,11.491935483870975,11.391935483870975,TIME,5,2024
83590,八十二長野銀行,2024-08-05,867.4,8.911690108369852,8.811690108369852,TIME,5,2024
83660,滋賀銀行,2024-08-05,665.0,3.9097744360902187,3.8097744360902186,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-08-05,1635.0,6.972477064220173,6.872477064220173,TIME,5,2024
83810,山陰合同銀行,2024-08-05,1158.0,12.003454231433498,11.903454231433498,TIME,5,2024
84100,セブン銀行,2024-08-05,253.9,2.520677432059859,2.420677432059859,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-08-05,2750.0,4.163636363636369,4.06363636363637,TIME,5,2024
84180,山口フィナンシャルグループ,2024-08-05,1467.0,10.838445807770958,10.738445807770958,TIME,5,2024
87140,池田泉州ホールディングス,2024-08-05,329.0,10.334346504559267,10.234346504559268,TIME,5,2024
58300,いよぎんホールディングス,2024-08-06,1161.0,15.417743324720078,15.317743324720078,TIME,5,2024
58380,楽天銀行,2024-08-06,2619.0,15.120274914089338,15.020274914089338,TIME,5,2024
58440,京都フィナンシャルグループ,2024-08-06,2160.5,10.437398750289283,10.337398750289283,TIME,5,2024
71800,九州フィナンシャルグループ,2024-08-06,659.9,14.911350204576458,14.811350204576458,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-06,685.6,18.757292882147027,18.657292882147026,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-08-06,1481.0,14.787305874409174,14.687305874409175,TIME,5,2024
83040,あおぞら銀行,2024-08-06,2171.5,8.266175454754787,8.166175454754788,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-08-06,1310.0,11.259541984732824,11.159541984732824,TIME,5,2024
83080,りそなホールディングス,2024-08-06,799.3,20.492931314900552,20.39293131490055,TIME,5,2024
83090,三井住友トラストグループ,2024-08-06,3067.0,13.759373981089018,13.659373981089018,TIME,5,2024
83160,三井住友フィナンシャルグループ,2024-08-06,2645.0,18.4234404536862,18.3234404536862,TIME,5,2024
83340,群馬銀行,2024-08-06,763.9,16.559759130776275,16.459759130776273,TIME,5,2024
83410,七十七銀行,2024-08-06,1173.3,16.764680814795874,16.664680814795872,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-08-06,3300.0,16.939393939393945,16.839393939393943,TIME,5,2024
83590,八十二長野銀行,2024-08-06,827.2,16.706963249516438,16.606963249516436,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-08-06,2546.5,14.824268603966217,14.724268603966218,TIME,5,2024
84180,山口フィナンシャルグループ,2024-08-06,1392.0,18.929597701149415,18.829597701149414,TIME,5,2024
85240,北洋銀行,2024-08-06,359.0,18.941504178272982,18.84150417827298,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-08-08,1255.0,8.605577689243038,8.505577689243038,TIME,5,2024
83160,三井住友フィナンシャルグループ,2024-08-08,2982.3,13.948965563491257,13.848965563491257,TIME,5,2024
83310,千葉銀行,2024-08-08,1078.0,17.578849721706867,17.478849721706865,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-09,791.2,7.406471183013141,7.306471183013142,TIME,5,2024
73370,ひろぎんホールディングス,2024-08-09,1061.0,9.048067860508958,8.948067860508958,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-30,832.1,-1.790650162240115,-1.890650162240115,TIME,5,2024
71800,九州フィナンシャルグループ,2024-09-05,687.8,-1.27944169816806,-1.3794416981680602,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-09-13,1250.0,-1.0399999999999965,-1.1399999999999966,TIME,5,2024
71820,ゆうちょ銀行,2024-09-13,1305.0,0.2681992337164818,0.1681992337164818,TIME,5,2024
73370,ひろぎんホールディングス,2024-09-13,1089.0,-0.5509641873278182,-0.6509641873278181,TIME,5,2024
83090,三井住友トラストグループ,2024-09-13,3465.0,-0.5772005772005762,-0.6772005772005761,TIME,5,2024
83340,群馬銀行,2024-09-13,930.2,-4.278649752741348,-4.378649752741348,TIME,5,2024
83080,りそなホールディングス,2024-09-17,986.3,-3.548616039744501,-3.648616039744501,TIME,5,2024
83340,群馬銀行,2024-09-17,921.3,-6.034950613263856,-6.134950613263856,TIME,5,2024
58440,京都フィナンシャルグループ,2024-09-20,2205.5,-0.045341192473358216,-0.14534119247335822,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-09-20,569.7,0.8425487098472795,0.7425487098472795,TIME,5,2024
71820,ゆうちょ銀行,2024-09-20,1313.0,1.9040365575019091,1.804036557501909,TIME,5,2024
71840,富山第一銀行,2024-09-20,1066.0,-0.46904315196998336,-0.5690431519699833,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-09-20,804.2,-1.5170355632927235,-1.6170355632927236,TIME,5,2024
73370,ひろぎんホールディングス,2024-09-20,1103.5,0.22655188038060992,0.1265518803806099,TIME,5,2024
83040,あおぞら銀行,2024-09-20,2625.0,1.4857142857142902,1.3857142857142901,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-09-20,1500.0,-3.1000000000000028,-3.200000000000003,TIME,5,2024
83310,千葉銀行,2024-09-20,1158.5,-0.517911091929224,-0.617911091929224,TIME,5,2024
83340,群馬銀行,2024-09-20,928.2,-5.42986425339368,-5.529864253393679,TIME,5,2024
83410,七十七銀行,2024-09-20,1301.7,0.2535146347084627,0.1535146347084627,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-09-20,3702.0,-0.8373851971907098,-0.9373851971907098,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-09-20,1600.0,-2.34375,-2.44375,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-09-20,2940.5,-0.15303519809556354,-0.2530351980955635,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-09-24,1230.0,1.3414634146341475,1.2414634146341474,TIME,5,2024
83340,群馬銀行,2024-09-24,890.0,0.23595505617977075,0.13595505617977074,TIME,5,2024
84110,みずほフィナンシャルグループ,2024-09-24,2888.0,3.9127423822714613,3.8127423822714612,TIME,5,2024
58300,いよぎんホールディングス,2024-09-25,1346.0,2.117384843982162,2.017384843982162,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-09-25,1218.5,1.8875666803446878,1.7875666803446877,TIME,5,2024
58380,楽天銀行,2024-09-25,2874.0,8.211551844119702,8.111551844119703,TIME,5,2024
58440,京都フィナンシャルグループ,2024-09-25,2142.0,1.984126984126977,1.884126984126977,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-09-25,1599.0,1.1257035647279645,1.0257035647279644,TIME,5,2024
73370,ひろぎんホールディングス,2024-09-25,1082.0,1.8946395563770757,1.7946395563770756,TIME,5,2024
83080,りそなホールディングス,2024-09-25,958.0,-0.010438413361169019,-0.11043841336116902,TIME,5,2024
83410,七十七銀行,2024-09-25,1270.0,0.0,-0.1,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-09-25,3607.0,-1.2752980316052098,-1.37529803160521,TIME,5,2024
84100,セブン銀行,2024-09-25,278.6,0.7178750897343766,0.6178750897343767,TIME,5,2024
73370,ひろぎんホールディングス,2024-09-27,1090.0,3.7614678899082543,3.6614678899082542,TIME,5,2024
83080,りそなホールディングス,2024-09-27,972.0,-1.213991769547318,-1.313991769547318,TIME,5,2024
71820,ゆうちょ銀行,2024-09-30,1349.5,3.8162282326787755,3.7162282326787754,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-09-30,1462.5,4.683760683760685,4.583760683760685,TIME,5,2024
83090,三井住友トラストグループ,2024-09-30,3423.0,2.0742039146947056,1.9742039146947055,TIME,5,2024
83310,千葉銀行,2024-09-30,1161.0,1.9810508182601216,1.8810508182601215,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-09-30,3681.0,1.4669926650366705,1.3669926650366704,TIME,5,2024
58380,楽天銀行,2024-10-01,3050.0,8.360655737704924,8.260655737704925,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-10-04,1478.0,-2.6387009472259804,-2.7387009472259805,TIME,5,2024
84100,セブン銀行,2024-10-07,298.9,2.509200401472067,2.409200401472067,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-10-08,1610.0,2.049689440993796,1.949689440993796,TIME,5,2024
