sl,tp,label,N,gross_avg,net_avg,wr,std,sharpe,pf,sl_pct,tp_pct,time_pct
,,SL=なし TP=なし（5日保有）,771,1.768030094561229,1.6680300945612292,62.2568093385214,6.438380854811108,1.8392572932670874,2.130446226678014,0.0,0.0,100.0
,7.0,SL=None% TP=7.0,771,1.1849552859295471,1.084955285929547,62.64591439688716,5.249604826145753,1.4672377625119115,1.7364363126566178,0.0,25.94033722438392,74.05966277561609
,5.0,SL=None% TP=5.0,771,1.0405283344922955,0.9405283344922957,64.98054474708171,4.741493020103327,1.408224955691522,1.6860060909047079,0.0,39.429312581063556,60.570687418936444
-3.0,,SL=-3.0% TP=なし,771,1.0301005250333628,0.9301005250333629,44.87678339818418,5.358973521289399,1.2321499012168151,1.6184490632639896,45.39559014267186,0.0,54.60440985732814
-2.0,,SL=-2.0% TP=なし,771,0.8255053179624532,0.725505317962453,36.57587548638132,4.8098803677783675,1.0708326235011347,1.5701975435496436,59.143968871595334,0.0,40.856031128404666
-1.5,,SL=-1.5% TP=なし,771,0.7457864919602496,0.6457864919602494,30.479896238651104,4.483907288246276,1.022462998545838,1.5903101140336486,67.5745784695201,0.0,32.425421530479895
,3.0,SL=None% TP=3.0,771,0.67865370028385,0.5786537002838497,69.90920881971465,4.064145875807872,1.0107987938256484,1.4774471596930983,0.0,57.84695201037614,42.153047989623865
-3.0,7.0,SL=-3.0% TP=7.0,771,0.494634338618433,0.3946343386184331,45.39559014267186,3.9047512238901207,0.7174915169396507,1.2641635099021173,45.13618677042802,18.80674448767834,36.057068741893644
-3.0,5.0,SL=-3.0% TP=5.0,771,0.44599540894204015,0.34599540894204045,48.378728923476004,3.4654974210056544,0.7087939866225454,1.2443498353969986,42.80155642023346,30.090791180285343,27.107652399481193
-1.5,5.0,SL=-1.5% TP=5.0,771,0.3420668708696572,0.24206687086965734,33.72243839169909,2.7209714468598722,0.6315774857084341,1.2319385455059997,64.59143968871595,22.17898832684825,13.229571984435799
-2.0,5.0,SL=-2.0% TP=5.0,771,0.35371402043819467,0.25371402043819485,39.688715953307394,3.004730225737261,0.5994517740646885,1.2093809635975183,56.42023346303502,25.1621271076524,18.417639429312583
-2.0,7.0,SL=-2.0% TP=7.0,771,0.3621230839331355,0.2621230839331355,36.835278858625166,3.3678865650724186,0.5525391835780674,1.2068966050674488,58.884565499351496,15.045395590142672,26.07003891050584
-1.5,7.0,SL=-1.5% TP=7.0,771,0.31824018532525267,0.21824018532525277,30.739299610894943,3.0356376210791884,0.5103875400530731,1.2002519696915932,67.31517509727627,12.840466926070038,19.844357976653697
-1.5,3.0,SL=-1.5% TP=3.0,771,0.227181784538985,0.1271817845389849,39.94811932555123,2.134902492347115,0.42292381239149385,1.1338246142817856,58.884565499351496,35.53826199740597,5.577172503242543
-3.0,3.0,SL=-3.0% TP=3.0,771,0.2624394913266697,0.16243949132666963,54.474708171206224,2.7952644305016623,0.412557029007331,1.1283868340882177,38.52140077821012,46.17380025940337,15.304798962386512
-2.0,3.0,SL=-2.0% TP=3.0,771,0.22541267379077617,0.1254126737907761,45.91439688715953,2.3886143983184724,0.372743989727464,1.1146323965292084,51.10246433203631,39.81841763942931,9.07911802853437
