entry,N,cover,spread,net,med,sharpe_act,残存率%
09:00寄成(元検証),463,36.44492440604752,0.9935079956524135,0.9135079956524135,0.5481047453551576,4.581574125201296,100.0
09:05,281,15.780320366132724,0.6539342802887237,0.5739342802887237,0.2980933122035212,1.7147273418795181,65.82073653662951
09:10,452,27.665226781857452,0.2670369406425513,0.18703694064255133,-0.13264696199858672,0.85959388276498,26.87818737353939
09:20,463,32.904967602591796,0.2032693357161099,0.12326933571610989,-0.13139542280038766,0.6311071056860174,20.459758412173386
09:30,463,33.926565874730024,0.31819287238980054,0.23819287238980055,-0.10419465679025892,1.3952617952329214,32.027208012639164
