label,N,sharpe,ann_pct,mdd,cum,wr,t
ped単独/IS,55,-0.8334770335259044,-15.43994252577851,-60.13134554485053,-54.742858401307174,40.0,-1.784367724102686
ped単独/OOS,62,0.6065664057244357,11.667300755310631,-47.31939091060677,65.97689848947401,62.903225806451616,1.3787438087595827
ped単独/ALL,117,-0.05593144560638722,-1.0754204452013574,-79.31632673064438,-24.88360002950004,52.13675213675214,-0.17464588292970853
gap単独/IS,55,0.9215195740964712,30.316106250976876,-30.02853629352995,214.13693668570687,54.54545454545454,1.9728555425102678
gap単独/OOS,62,2.6874409207132977,112.85590051497265,-25.74995357970148,18053.58343797511,77.41935483870968,6.108634596100486
gap単独/ALL,117,1.866719433133931,74.05514252762421,-30.02853629352995,56927.110910738804,66.66666666666666,5.828829561746396
mom単独/IS,55,-0.042021068737964275,-0.6721071235401129,-23.370299130487048,-8.58915667218355,52.72727272727272,-0.08996173352387091
mom単独/OOS,62,0.0906646901475728,1.8273589749606745,-25.780580362941574,-1.276067871592912,50.0,0.2060835862889202
mom単独/ALL,117,0.035759561506559026,0.6523962790842368,-27.24617860796895,-9.755621075041866,51.28205128205128,0.11165919501603275
ped+gap/IS,55,0.4048083581154343,7.438081862599183,-33.49451734138685,30.372645351567694,58.18181818181818,0.8666429182967195
ped+gap/OOS,62,2.5894382639698756,62.261600635141654,-19.649172894378175,1917.8375111321138,77.41935483870968,5.885871589524799
ped+gap/ALL,117,1.5938902353578406,36.48986104121143,-33.49451734138685,2530.708142159172,68.37606837606837,4.976920664738234
ped+mom/IS,55,-0.6791732720689662,-8.056024824659309,-36.945880545373036,-33.134912596480845,38.18181818181819,-1.4540231068231462
ped+mom/OOS,62,0.4770096720481059,6.747329865135654,-28.368360594136142,34.61916989655079,53.2258064516129,1.0842574297686172
ped+mom/ALL,117,-0.015975105913146062,-0.21151208305856048,-55.274664800392,-9.986774386779407,46.15384615384615,-0.049882252225899794
gap+mom/IS,55,0.8249682873242378,14.82199956371838,-22.890531735197428,83.07341878989747,56.36363636363636,1.7661515867838127
gap+mom/OOS,62,2.404948583106466,57.34162974496666,-11.206796089491755,1490.1148161800922,77.41935483870968,5.466520958052445
gap+mom/ALL,117,1.6925291634056387,37.35376940335422,-22.890531735197428,2811.077556665588,67.52136752136752,5.284920618849565
3本合成/IS,55,0.3639438675232926,4.734685533886084,-28.038201059334998,19.56878151879451,56.36363636363636,0.7791572706525973
3本合成/OOS,62,2.367940353870662,42.116853415081316,-14.113144666295941,688.5775932670398,74.19354838709677,5.382400132285514
3本合成/ALL,117,1.4816721395999748,24.544039453835698,-28.038201059334998,842.8926195996352,65.8119658119658,4.626519773042257
