date,ret,spread,n
2016-07-05,-0.02122906939393174,-0.020429069393931742,23
2016-07-06,0.007671231071841993,0.008471231071841993,203
2016-07-07,0.05378886353807199,0.05458886353807199,26
2016-07-08,0.02073028280866498,0.02153028280866498,29
2016-07-11,-0.0022705150865846035,-0.0014705150865846036,290
2016-07-12,-0.001529926323501077,-0.0007299263235010769,208
2016-07-13,0.006860393938138984,0.007660393938138985,263
2016-07-14,-0.010017721602695451,-0.00921772160269545,26
2016-07-15,-0.037474762898561643,-0.03667476289856164,30
2016-07-19,-0.033864864508006735,-0.03306486450800673,72
2016-07-20,-0.02415743291576346,-0.023357432915763462,26
2016-07-21,-0.007454793436575904,-0.006654793436575904,59
2016-07-22,0.009746416867507513,0.010546416867507513,82
2016-07-25,0.0406069053028985,0.0414069053028985,34
2016-07-26,0.051085989592661134,0.051885989592661136,24
2016-07-27,-0.05100630955886545,-0.050206309558865445,54
2016-07-28,-0.05869423710719055,-0.05789423710719055,41
2016-07-29,0.03390100546031393,0.03470100546031393,43
2016-08-01,0.019006302573791403,0.0198063025737914,153
2016-08-02,-0.005483882791880004,-0.004683882791880004,59
2016-08-03,-0.003269905271937258,-0.002469905271937258,174
2016-08-04,-0.011945190146779885,-0.011145190146779884,35
2016-08-05,-0.010054999252449437,-0.009254999252449436,41
2016-08-08,-0.007842711120967169,-0.0070427111209671696,145
2016-08-09,0.009583571203986844,0.010383571203986844,33
2016-08-10,-0.011246780624475143,-0.010446780624475143,37
2016-08-12,0.01783088253308869,0.01863088253308869,54
2016-08-15,0.03213131108825188,0.03293131108825188,42
2016-08-17,0.04343429527987956,0.044234295279879564,25
2016-08-18,-0.013495774763388818,-0.012695774763388817,24
2016-08-19,-0.014045912444366104,-0.013245912444366103,26
2016-08-23,0.009870978036639883,0.010670978036639883,20
2016-08-24,0.005683872375557781,0.006483872375557781,20
2016-08-26,0.07499415021200809,0.07579415021200808,26
2016-08-29,-0.012444184580334545,-0.011644184580334544,152
2016-08-31,-0.0709350670491529,-0.0701350670491529,22
2016-09-05,-0.024006084725865285,-0.023206084725865286,48
2016-09-07,0.001311192467820362,0.002111192467820362,55
2016-09-08,0.05001071519913352,0.05081071519913352,24
2016-09-12,-0.011702327650576253,-0.010902327650576252,76
2016-09-13,-0.003242344719231682,-0.002442344719231682,29
2016-09-14,-0.019412550024848572,-0.018612550024848573,23
2016-09-15,0.041611612990514295,0.0424116129905143,21
2016-09-23,0.005761780736276595,0.006561780736276595,33
2016-09-27,0.016875037105798126,0.017675037105798125,23
2016-09-28,-0.01584863319636198,-0.015048633196361981,54
2016-09-29,0.03168981101374559,0.032489811013745595,35
2016-09-30,-0.00624635448097167,-0.005446354480971669,90
2016-10-03,-0.07367701970653445,-0.07287701970653446,23
2016-10-11,-0.0203989025613017,-0.0195989025613017,20
2016-10-12,-0.00019843719614987476,0.0006015628038501253,23
2016-10-27,0.05679790879254381,0.05759790879254381,20
2016-10-28,0.007542287374538534,0.008342287374538534,30
2016-10-31,0.015199083896670984,0.015999083896670985,30
2016-11-01,0.00027685168979080276,0.0010768516897908028,38
2016-11-02,-0.05453300562538083,-0.05373300562538083,35
2016-11-04,0.002208253804266693,0.003008253804266693,36
2016-11-07,0.0023922016044079343,0.0031922016044079343,72
