date,mom
2016-12-30,-0.032241951727003844
2017-01-31,0.015430048127773233
2017-02-28,0.013025374822186804
2017-03-31,0.002197308413448238
2017-04-28,-0.03125570736250585
2017-05-31,0.03523860127304626
2017-06-30,0.009219513081299606
2017-07-31,0.0051123439385391
2017-08-31,0.043619565594601444
2017-09-29,-0.022254811684908414
2017-10-31,-0.015248610132915478
2017-11-30,0.02471736536002904
2017-12-29,0.027918586033360664
2018-01-31,0.0356174399678186
2018-02-28,0.0037805366171150983
2018-03-30,-0.006701683373527015
2018-04-27,-0.08948138004997021
2018-05-31,0.06432766618269609
2018-06-29,0.0055191646695743075
2018-07-31,-0.04296373743057797
2018-08-31,0.028417616491015475
2018-09-28,0.053184248796676
2018-10-31,-0.05241602907867907
2018-11-30,-0.00799828646685278
2018-12-28,0.044142547691472
2019-01-31,-0.11800470002412708
2019-02-28,-0.007743278285744745
2019-03-29,0.06621798114843656
2019-04-26,-0.038416111762842466
2019-05-31,-0.003008595881575834
2019-06-28,-0.027069640535893703
2019-07-31,-0.0006178333838512395
2019-08-30,0.010019811184567481
2019-09-30,-0.04333574857349928
2019-10-31,-0.011185924211619331
2019-11-29,-0.006603914232519282
2019-12-30,0.04324918859932431
2020-01-31,0.0009704181600428567
2020-02-28,-0.0037787571483814445
2020-03-31,0.021378326668710004
2020-04-30,-0.04652156644732445
2020-05-29,-0.055129695697189986
2020-06-30,0.10235119438922859
2020-07-31,0.08224322395547026
2020-08-31,-0.14074625292908757
2020-09-30,0.06043609193073248
2020-10-30,-0.012291511758272275
2020-11-30,0.04339171398497562
2020-12-30,-0.03247021848987604
2021-01-29,-0.0885637171441549
2021-02-26,0.009586242079655917
2021-03-31,-0.00600194862834085
2021-04-30,0.02075119146156275
2021-05-31,0.03280991989875923
2021-06-30,0.006373472090201176
2021-07-30,4.4341430611114624e-05
2021-08-31,-0.012591941055198489
2021-09-30,0.013593659355164765
2021-10-29,0.04646982471862676
2021-11-30,0.03531145666956999
2021-12-30,-0.039430276258187215
2022-01-31,-0.05029440920085324
2022-02-28,-0.01543834627854881
2022-03-31,-0.002214447452071657
2022-04-28,0.0005627558765608241
2022-05-31,0.042468893178571554
2022-06-30,0.025134190943365303
2022-07-29,-0.09509889439264799
2022-08-31,0.010264354734794813
2022-09-30,-0.01639428795411926
2022-10-31,-0.03650158391951653
2022-11-30,-0.004492494776823236
2022-12-30,0.001312669655246785
2023-01-31,0.0039490964863485595
2023-02-28,0.025422403917629635
2023-03-31,0.0029398259873153524
2023-04-28,-0.037601991558791854
2023-05-31,0.019646847985648686
2023-06-30,0.06010332211685082
2023-07-31,-0.04571662212170761
2023-08-31,0.02265081338026467
2023-09-29,0.008221846325748088
2023-10-31,0.018762327641325616
2023-11-30,-0.0037134732744550556
2023-12-29,-0.016962292651881792
2024-01-31,0.028883312965650016
2024-02-29,0.08912506874367777
2024-03-29,0.016140260753485233
2024-04-30,-0.03349153404944821
2024-05-31,0.05864636187973385
2024-06-28,-0.01033376165602713
2024-07-31,-0.06572624208182266
2024-08-30,-0.03229331653354971
2024-09-30,0.012367390315555489
2024-10-31,-0.02455446950457677
2024-11-29,0.05472700620715101
2024-12-30,-0.03174391268170983
2025-01-31,-0.006075701852365256
2025-02-28,-0.037494755547451145
2025-03-31,-0.0027563538009640304
2025-04-30,-0.009533718105606472
2025-05-30,-0.005209771801038895
2025-06-30,0.01666297495249267
2025-07-31,-0.009164726701919987
2025-08-29,0.024126627052678495
2025-09-30,-0.046660485200536374
2025-10-31,0.09954545452431152
2025-11-28,-0.06624004877672587
2025-12-30,-0.0008307090828905801
2026-01-30,0.11789411276299819
2026-02-27,0.19263713711811445
2026-03-31,-0.09472298241357363
2026-04-30,0.08375859192686116
2026-05-29,0.03036915859140639
2026-06-30,-0.009040658212611703
2026-07-31,-0.2510346640136695
2026-08-14,0.046030331753165746
