date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2024-05-10,-0.00409718339718814,,-0.01243049007482786,-0.024178004854882636,-0.030581866584126472
2024-05-13,0.03052452207200969,,0.010538089771397497,-9.379373853027437e-05,0.0023426969304194164
2024-05-14,0.019013927705368267,,0.004183326241579169,0.018504483076010304,0.011366947830377063
2024-05-15,0.009603563196520582,,0.007028223225611918,-0.010609210933367684,-0.00849620287627196
2024-05-16,0.009163276890558224,,0.002994911058289753,-0.005024378835093369,-0.014793085253665258
2024-05-21,0.10656439540436172,,0.02065276797443263,0.058766976230520636,0.017929281092464302
2024-05-23,0.09683459187411755,0.07588155031382417,0.07075373291027487,0.07279751839097648,0.07537178687525087
2024-05-24,-0.019338005939795903,-0.01734574954707591,-0.007788738320022383,-0.016738374408699252,-0.022120345363389488
2024-05-27,0.027322392016915508,0.02516744247460118,0.030659615257123202,0.030036701755311753,0.036383557233303485
2024-05-30,-7.123253408102828e-05,0.005488979940906363,-0.01774083538248121,0.011467209241371,0.011132911241123896
2024-05-31,0.025035666751570488,0.018630546600196054,0.01810003212149565,-0.0019770789243459498,0.0033109464451085836
2024-06-03,0.018073774657861575,,0.015081314848759858,0.01460859995861285,0.011024759538439987
2024-06-05,-0.03345638268257419,-0.057477164460036485,-0.023917002672149478,-0.01648141231897213,-0.032814297122164195
2024-06-06,0.007691769162506228,0.03483318323877094,0.005502018031887469,-0.0020952604109157626,-0.002350700474199279
2024-06-07,0.013664937855925036,-0.007297160736257335,0.029169640506531765,-0.0226930846586792,0.017298705303652236
2024-06-10,-0.015327979778246214,-0.0010008170527001418,-0.01922804053198238,-0.018567574970489862,-0.024366944105603392
2024-06-12,0.009593793909708876,-0.041733598055691136,-0.029983199777366108,-0.0020991381656309863,0.0016470279391188843
2024-06-13,0.030012775274313848,0.11365982693709045,0.056171603775152214,0.032977832020747576,0.03038951901901558
2024-06-17,0.03643964280537041,,-0.0001475061950548959,0.036430877074612324,0.020187658429895894
2024-06-18,0.044208339244231946,-0.008726478750348798,0.05200317282501015,0.036306091655828175,0.010766394634164112
2024-06-19,-0.007132326093049179,,0.018302204063833302,0.019236806338700386,-0.041156093267685046
2024-06-20,0.015567387725006899,,0.013474458604118495,0.015259053009897655,0.017502774984221245
2024-06-21,-0.04586151150889454,,,-0.08320122449181994,-0.052836715516904394
2024-06-24,0.04338244112939609,,0.03541106173094124,0.04400528770156689,0.02770799908611364
2024-06-25,0.0030214267367918456,0.016159385603389,-0.009245183351169485,-0.01931492204311293,-0.0107186327567772
2024-06-26,-0.01101729723562026,0.02389062592269908,-0.003612158954693278,0.010533718992322217,0.002606423701771738
2024-07-01,-0.06158185732935079,,-0.07972127376936974,-0.07353386217439237,-0.06808329954068111
2024-07-04,0.044084761622090206,,0.03755659712424118,0.020428088025006615,0.005694557835752701
2024-07-11,-0.0022714919193643902,-0.011167776733648249,0.035170168433318515,0.02459402196258971,-0.007401201758135167
2024-07-12,-0.009557251458153233,0.011031154416533151,-0.019933740621216514,-0.03812951015322542,-0.025639701557815826
2024-07-16,0.0169091590692929,,0.009278286974776557,0.015395174850785615,0.012137784320440754
2024-07-17,-0.014454362849720048,,-0.05100451281089422,-0.028131448361388808,-0.0018660860799480333
2024-07-18,0.006203905440580448,-0.016111952272779846,-0.009348325578389848,-0.013518586028395063,-0.008817687244367902
2024-07-22,0.06791315979562004,,0.040390938276464235,0.0025160136518456223,0.03027921768689175
2024-07-23,0.016017381804677943,,0.0123739880802169,-0.026478951787819924,-0.0055919913543931695
