,ped
2016-05-11,0.0023075196400269126
2016-05-12,-0.009653041301199126
2016-05-16,0.006804746724548593
2016-05-17,0.008725790928681532
2016-05-18,0.009015265709269915
2016-05-19,0.001507693196984583
2016-05-20,0.0029199958771387487
2016-05-23,0.03437382972103342
2016-05-24,-0.006746884479690196
2016-05-25,-0.017405703747019906
2016-05-26,0.005600659280240483
2016-05-27,-0.009860687479604068
2016-05-30,0.016340243924088827
2016-05-31,0.009272259810554772
2016-06-01,-0.003339013452914785
2016-06-02,-0.025391183085919942
2016-06-06,0.022331194295900227
2016-06-07,-0.003932908670131241
2016-06-08,-0.023357550319302377
2016-06-09,0.009400886198466085
2016-06-10,-0.005110732538330498
2016-06-13,-0.007905479452054798
2016-06-15,0.016015339711366906
2016-06-16,-0.03191319610659005
2016-06-17,-0.005604087687489878
2016-06-20,0.049526504226752956
2016-06-24,-0.02585320665083137
2016-06-27,0.08919122851859093
2016-06-28,0.02033622361665708
2016-06-30,-0.03005074626865669
2016-07-01,0.012107692307692352
2016-07-05,-0.009465224354599644
2016-07-06,-0.013988696514237071
2016-07-07,-0.011605470655817685
2016-07-08,-0.01495893950783047
2016-07-12,0.01210521125458417
2016-07-13,-0.004585844765915358
2016-07-19,0.05665618729096986
2016-07-20,0.020432911392405086
2016-07-21,-0.018909626178121385
2016-07-22,0.011560503957282454
2016-07-25,-0.011380143943619657
2016-07-26,-0.002074485061357322
2016-07-27,-0.005820493480957276
2016-07-28,-0.001069093960180991
2016-07-29,0.013065596001780097
2016-08-01,-0.0013226560151042093
2016-08-02,-0.010833613882397486
2016-08-03,-0.021622538829001635
2016-08-04,0.009692476625077388
2016-08-05,-0.0014773850229118138
2016-08-08,0.00012726008493583834
2016-08-09,0.0014456935137735537
2016-08-10,0.0004901824797765728
2016-08-12,0.02617801047120416
2016-08-15,-0.006608429458740083
2016-08-16,0.004812175406416364
2016-08-17,-0.007136859781696092
2016-08-18,-0.01034799154334034
2016-08-24,0.0008830324909747447
2016-08-25,-0.0016424810674359413
2016-08-29,-0.021372638436482093
2016-08-30,-0.0018638935108153064
2016-09-01,0.002746593001841524
2016-09-02,0.0031051781123760725
2016-09-06,0.010388235294117565
2016-09-07,0.002512179167359663
2016-09-08,-0.01774385964912286
2016-09-23,0.018711952089704383
2016-09-26,0.01256953995728053
2016-09-27,0.010600508259212193
2016-09-28,-0.011449999999999983
2016-09-29,-0.017516081954201238
2016-09-30,-0.016723614449950096
2016-10-03,0.021136868305906865
2016-10-04,0.0028549942325256433
2016-10-05,0.010430590983370678
2016-10-06,-0.008627410715183269
2016-10-07,-0.0022544240987667453
2016-10-11,0.010077950753831548
2016-10-12,-0.00848320784103235
2016-10-13,-0.005407063802428303
