,gap,mom,ped,3本合成
2016,0.1938581716284027,-3.2241951727003837,-2.396085511859747,-1.8088075043105722
2017,40.286325304626544,11.001984598285475,-9.274917987854202,13.404732520583584
2018,53.75945350113043,2.3680753612068006,-36.32804193878191,3.2181617431150222
2019,-17.31001883304435,-13.872301243182816,-8.71384801276215,-12.892507877335902
2020,43.27569985429125,-0.5423822971683201,7.40849166211186,19.117159198972168
2021,28.23891012170794,1.0790564836153482,-42.501043842122755,-7.575967572564668
2022,74.79225178929907,-13.845151071497664,-11.213304944372204,11.786395679217975
2023,40.11001638498095,5.446023415771517,17.631329189664925,23.308206987176263
2024,363.98590265696066,5.131346730136377,3.2621252777044862,76.9551664482371
2025,399.290977193603,-5.159000205935238,68.57578397037942,108.69462450841087
2026,206.11738108613892,4.635180747816214,29.981437006898858,68.04755829531686
