label,N,sharpe,ann_pct,mdd,cum,wr,t
#12 GapRev(全営業日)/IS,1257,0.8284750651241841,28.353086168268852,-33.75928760708313,206.86889005494882,31.980906921241047,1.850319860218917
#12 GapRev(全営業日)/OOS,1252,2.7026833685197413,113.58696614565491,-32.63135751868295,18053.58343797514,41.533546325878596,6.024167838491827
#12 GapRev(全営業日)/ALL,2509,1.8458158177945119,70.88509801828374,-33.75928760708313,55607.700001313184,36.74770825029892,5.824228747684735
#12 GapRev(稼働日のみ*誇張)/IS,765,1.0626400002023455,46.588012174528046,-33.75928760708313,206.86889005494882,52.54901960784314,1.8514696908571378
#12 GapRev(稼働日のみ*誇張)/OOS,933,3.1460214694065693,152.42323860060014,-32.63135751868295,18053.58343797514,55.73419078242229,6.05343987975487
#12 GapRev(稼働日のみ*誇張)/ALL,1698,2.2507943457207302,104.74129029910122,-33.75928760708313,55607.700001313184,54.29917550058892,5.842576237545141
#13 6Mモメンタム(月次)/IS,55,-0.042021068737964275,-0.6721071235401129,-23.370299130487048,-8.58915667218355,52.72727272727272,-0.08996173352387091
#13 6Mモメンタム(月次)/OOS,62,0.0906646901475728,1.8273589749606745,-25.780580362941574,-1.276067871592912,50.0,0.2060835862889202
#13 6Mモメンタム(月次)/ALL,117,0.035759561506559026,0.6523962790842368,-27.24617860796895,-9.755621075041866,51.28205128205128,0.11165919501603275
pre_earnings_drift(β)/IS,972,-0.5909278213462908,-14.583199340095563,-64.13700730706384,-49.34753734879933,50.0,-1.1605592021034512
pre_earnings_drift(β)/OOS,961,0.6857093941967074,16.016370073116093,-52.343449269950185,65.97689848947465,53.17377731529657,1.3390645807110138
pre_earnings_drift(β)/ALL,1933,0.026182121705749836,0.6295198560225929,-80.38941233566322,-15.928613482997378,51.57785825142266,0.07251377153629708
