spec,N,IS,OOS,ALL,ann
(元) 存続ADVユニバース × 月末終値→終値,117,0.7252589989900255,0.4498236210740817,0.5671948309854797,9.7044412131531
(A) PITユニバース    × 月末終値→終値,117,0.10207285679267646,0.13394551985458952,0.12051586764897573,2.1832965023457502
(B) 存続ADVユニバース × 寄成→引成,117,0.6113166791647154,0.44620645810915455,0.5175932458279272,8.893693889270976
(A+B) PIT × 寄成→引成 【本分析の正】,117,-0.042021068737964275,0.0906646901475728,0.035759561506559026,0.6523962790842368
