date,gross,net,year
2021-07-01,0.03403625752516512,0.02884578133468893,2021
2021-08-02,0.07660832020717744,0.07141784401670125,2021
2021-08-31,-0.013594051346158723,-0.018784527536634912,2021
2021-09-30,-0.03778994432941393,-0.04298042051989012,2021
2021-10-28,-0.002990734475436796,-0.008181210665912986,2021
2021-11-29,0.03588114507997425,0.030690668889498063,2021
2021-12-27,-0.06637444618218345,-0.07156492237265964,2021
2022-01-27,0.039427368629354975,0.034236892438878785,2022
2022-02-28,0.01622757673576082,0.011037100545284631,2022
2022-03-29,0.060575226096355156,0.055384749905878966,2022
2022-04-26,0.07469151620801666,0.06950104001754047,2022
2022-05-30,0.02781942387281197,0.02262894768233578,2022
2022-06-27,0.016149014489739294,0.010958538299263104,2022
2022-07-26,0.003058340947037358,-0.0021321352434388327,2022
2022-08-24,-0.0031342629609779765,-0.008324739151454166,2022
2022-09-22,-0.040974478215190846,-0.046164954405667036,2022
2022-10-24,0.013921965408631998,0.008731489218155808,2022
2022-11-22,0.04240495264305562,0.03721447645257943,2022
2022-12-21,-0.016347186474614986,-0.021537662665091176,2022
2023-01-23,0.00948801706509711,0.004297540874620919,2023
2023-02-20,0.016915765211711814,0.011725289021235624,2023
2023-03-22,-0.07111778748653241,-0.0763082636770086,2023
2023-04-19,-0.10790535949267142,-0.11309583568314761,2023
2023-05-22,0.03467554413864554,0.029485067948169352,2023
2023-06-19,-0.012194807304119551,-0.01738528349459574,2023
2023-07-18,-0.04436073936872802,-0.049551215559204206,2023
2023-08-16,0.05995430014779893,0.05476382395732274,2023
2023-09-13,-0.0884914495234202,-0.09368192571389639,2023
2023-10-13,0.018503995530689016,0.013313519340212826,2023
2023-11-13,0.0705714132716899,0.06538093708121372,2023
2023-12-12,-0.026988992156884523,-0.03217946834736071,2023
2024-01-15,-0.03601577387961381,-0.04120625007009,2024
2024-02-13,0.051724063188091765,0.046533586997615575,2024
2024-03-13,0.12682074881253233,0.12163027262205614,2024
2024-04-11,-0.018104400166413806,-0.023294876356889996,2024
2024-05-14,-0.018912073882404512,-0.024102550072880702,2024
2024-06-11,0.11365473144050336,0.10846425525002718,2024
2024-07-09,0.05488065224265301,0.04969017605217682,2024
2024-08-07,0.029213589841757065,0.024023113651280875,2024
2024-09-05,0.055065580022492275,0.049875103832016085,2024
2024-10-07,0.08640004442204201,0.08120956823156582,2024
2024-11-06,0.11705702161395463,0.11186654542347844,2024
2024-12-04,-0.03519930851860335,-0.04038978470907954,2024
2025-01-07,-0.00503802759200854,-0.01022850378248473,2025
2025-02-05,-0.06130868237499511,-0.0664991585654713,2025
2025-03-07,-0.03953662704686112,-0.04472710323733731,2025
2025-04-07,-0.1089029143878266,-0.11409339057830278,2025
2025-05-08,-0.03344110896904934,-0.03863158515952553,2025
2025-06-05,0.016653292839764605,0.011462816649288415,2025
2025-07-03,-0.06756950454564109,-0.07275998073611728,2025
2025-08-01,0.10170231799147486,0.09651184180099867,2025
2025-09-01,-0.011000253497808948,-0.016190729688285138,2025
2025-10-01,0.3357867315766474,0.3305962553861712,2025
2025-10-30,-0.13493776563760235,-0.14012824182807854,2025
2025-12-01,-0.023219990186055695,-0.028410466376531884,2025
2025-12-29,0.15035218617336116,0.14516170998288497,2025
2026-01-30,0.3495735233887204,0.3443830471982442,2026
2026-03-03,-0.06074939219871943,-0.06593986838919562,2026
2026-04-01,0.04972123114584047,0.04453075495536428,2026
