quad,N,mean_bps,wr,t_stat
P+O+,6649,47.183883700219106,51.00015039855618,6.743350641209581
P+O-,1327,86.5714476083254,54.935945742275806,5.716849514811827
P-O+,1346,23.838383369060676,52.377414561664196,1.473395648502234
P-O-,6670,64.90148394268914,56.266866566716644,9.072634094134191
