vol_ratio,fwd_1,fwd_5,fwd_10,fwd_1_oc,sym
,0.017305315203955507,0.04573547589616811,0.014833127317676054,0.011056511056511065,5711.T
,-0.004860267314702349,0.020656136087484844,-0.013365735115431376,-0.01680672268907568,5711.T
,0.00366300366300365,0.031746031746031855,0.0073260073260073,0.0024390243902439046,5711.T
,0.01338199513381988,0.010948905109489093,-0.0036496350364964014,0.01338199513381988,5711.T
,0.015606242496998712,-0.020408163265306145,-0.020408163265306145,0.014388489208633004,5711.T
,-0.007092198581560294,-0.029550827423167836,-0.03900709219858156,-0.015240328253223967,5711.T
,0.005952380952380931,-0.033333333333333326,-0.02857142857142858,-0.0011820330969266601,5711.T
,-0.016568047337278125,-0.023668639053254448,-0.023668639053254448,0.0036231884057971175,5711.T
,-0.018050541516245522,-0.014440433212996373,-0.026474127557160054,-0.020408163265306145,5711.T
,0.006127450980392135,0.0,0.006127450980392135,0.004895960832313362,5711.T
0.6600372104959261,-0.010962241169305775,-0.00974421437271622,-0.00487210718635811,-0.006119951040391647,5711.T
0.5783410970281299,0.016009852216748666,0.0049261083743843415,-0.019704433497536922,0.011029411764705843,5711.T
0.7740917355655426,-0.0072727272727273196,0.0,-0.0884848484848485,0.0012224938875304847,5711.T
0.7252169989687177,-0.00366300366300365,-0.012210012210012167,-0.08302808302808307,-0.001223990208078285,5711.T
0.7639523407372738,-0.003676470588235281,0.006127450980392135,-0.08088235294117652,-0.008536585365853666,5711.T
0.7420111149704759,0.0036900369003689537,0.004920049200491938,-0.10332103321033215,-0.0024449877750610804,5711.T
0.6657656912228443,0.011029411764705843,-0.02450980392156865,-0.12377450980392157,0.0060975609756097615,5711.T
1.659381978340115,-0.019393939393939408,-0.0884848484848485,-0.20969696969696972,-0.007361963190184007,5711.T
1.223680401428158,0.014833127317676054,-0.07169344870210137,-0.19530284301606926,0.007361963190184007,5711.T
0.9045779685264664,-0.00487210718635811,-0.08647990255785631,-0.1936662606577345,-0.008495145631068013,5711.T
0.6579316193857676,-0.025703794369645094,-0.10771113831089352,-0.171358629130967,-0.00995024875621886,5711.T
1.0065803532610698,-0.055276381909547756,-0.10175879396984921,-0.15577889447236182,0.016216216216216273,5711.T
2.228197827691659,-0.0013297872340425343,-0.13297872340425532,-0.1063829787234043,-0.03717948717948716,5711.T
1.5089361388510152,-0.0013315579227696217,-0.13315579227696406,-0.11051930758988016,-0.0026595744680850686,5711.T
1.644693568221466,-0.028000000000000025,-0.11733333333333329,-0.09733333333333338,0.008298755186721962,5711.T
1.7328624844204403,-0.019204389574759895,-0.07133058984910834,-0.06858710562414261,-0.02588555858310626,5711.T
1.232421718051054,-0.08811188811188808,-0.06013986013986017,-0.03916083916083912,-0.019548872180451093,5711.T
3.121167517046092,-0.0015337423312883347,0.030674846625766916,0.033742331288343586,-0.010638297872340385,5711.T
1.5915329641724645,0.016897081413210335,0.02611367127496167,0.015360983102918668,0.010687022900763399,5711.T
1.2207242416116573,0.0226586102719033,0.0226586102719033,-0.01812688821752262,0.01195814648729443,5711.T
0.6371402021920937,-0.00738552437223039,0.002954209748892156,-0.05908419497784345,-0.004444444444444473,5711.T
0.7431259731345116,0.0,0.022321428571428603,-0.04613095238095233,-0.0029673590504450953,5711.T
0.8740405225949008,-0.005952380952380931,0.0029761904761904656,-0.05059523809523814,-0.007429420505200568,5711.T
0.9971213860879692,0.013473053892215647,-0.010479041916167664,-0.046407185628742464,0.0226586102719033,5711.T
0.7874804248473937,0.002954209748892156,-0.03988183161004433,-0.057607090103397374,-0.002936857562408246,5711.T
0.7259428667787339,0.01178203240058906,-0.061855670103092786,-0.030927835051546393,0.0029197080291971655,5711.T
0.8536610834969299,-0.018922852983988325,-0.06695778748180492,-0.042212518195050897,-0.013177159590043952,5711.T
1.039364269355508,-0.01928783382789323,-0.053412462908011826,-0.03115727002967361,-0.013432835820895495,5711.T
0.9415168253020421,-0.016641452344931973,-0.036308623298033305,-0.015128593040847238,-0.001536098310291889,5711.T
0.987422545036727,-0.020000000000000018,-0.018461538461538418,0.004615384615384688,-0.009331259720062213,5711.T
1.1139245614212072,0.006279434850863463,0.03296703296703307,0.031397174254317095,-0.009273570324574987,5711.T
0.7365217688636619,-0.004680187207488307,0.026521060842433775,0.03744149765990645,-0.0031250000000000444,5711.T
0.9123391163814085,-0.0015673981191222097,0.023510971786833812,0.037617554858934144,-0.007788161993769416,5711.T
0.7724691012359506,0.0015698587127157548,0.0219780219780219,-0.009419152276295084,-0.0031250000000000444,5711.T
1.0147040952728157,0.03134796238244508,0.023510971786833812,-0.014106583072100332,0.012307692307692353,5711.T
0.9668697133878192,0.0,-0.001519756838905817,-0.02583586626139822,0.010752688172043001,5711.T
