price_mom20,obv_mom20,divergence,fwd_1,fwd_5,fwd_10,sym,p_sign,o_sign,quad
-0.03280680437424055,-1394200.0,-0.03258147047550786,-0.055276381909547756,-0.10175879396984921,-0.15577889447236182,5711.T,P-,O-,P-O-
-0.08180708180708185,-1686500.0,-0.1876777616836153,-0.0013297872340425343,-0.13297872340425532,-0.1063829787234043,5711.T,P-,O-,P-O-
-0.08637469586374691,-3315600.0,-0.07988785521226872,-0.0013315579227696217,-0.13315579227696406,-0.11051930758988016,5711.T,P-,O-,P-O-
-0.0996398559423769,-5160800.0,-0.020994669016082546,-0.028000000000000025,-0.11733333333333329,-0.09733333333333338,5711.T,P-,O-,P-O-
-0.13829787234042556,-7172200.0,-0.0005176679060830969,-0.019204389574759895,-0.07133058984910834,-0.06858710562414261,5711.T,P-,O-,P-O-
-0.14880952380952384,-7389100.0,-0.0010149277504840695,-0.08811188811188808,-0.06013986013986017,-0.03916083916083912,5711.T,P-,O-,P-O-
-0.22840236686390536,-10364600.0,-0.0015002414124369711,-0.0015337423312883347,0.030674846625766916,0.033742331288343586,5711.T,P-,O-,P-O-
-0.21660649819494582,-10988700.0,0.0019922748020169134,0.016897081413210335,0.02611367127496167,0.015360983102918668,5711.T,P-,O-,P-O-
-0.18872549019607843,-9186000.0,-0.003998486816889912,0.0226586102719033,0.0226586102719033,-0.01812688821752262,5711.T,P-,O-,P-O-
-0.17539585870889163,-9131300.0,0.0004900423591719313,-0.00738552437223039,0.002954209748892156,-0.05908419497784345,5711.T,P-,O-,P-O-
-0.1724137931034483,-9360300.0,0.003483556577617831,0.0,0.022321428571428603,-0.04613095238095233,5711.T,P-,O-,P-O-
-0.18545454545454543,-9924400.0,0.0034860453656278476,-0.005952380952380931,0.0029761904761904656,-0.05059523809523814,5711.T,P-,O-,P-O-
-0.18437118437118438,-10321300.0,0.006479559584073747,0.013473053892215647,-0.010479041916167664,-0.046407185628742464,5711.T,P-,O-,P-O-
-0.1703431372549019,-9045800.0,0.0019858039531908747,0.002954209748892156,-0.03988183161004433,-0.057607090103397374,5711.T,P-,O-,P-O-
-0.16482164821648215,-7844300.0,-0.005998974619339872,0.01178203240058906,-0.061855670103092786,-0.030927835051546393,5711.T,P-,O-,P-O-
