bucket,N,mean_bps,wr,t_stat
Q1(低),3216,59.40710271627133,52.70522388059702,6.436403012206937
Q2,3216,48.28906597072066,53.54477611940298,4.96954226432604
Q3,3216,47.8056056955824,53.3271144278607,4.774226521218042
Q4,3216,50.71680423671601,54.042288557213936,4.782607143110503
Q5(高),3216,57.77403137420427,53.420398009950254,5.139098090497243
