quad,N,mean_bps,wr,t_stat
P+O+,6638,86.25722226159566,52.16932811087677,8.442759362060364
P+O-,1307,156.61576627913607,56.61820964039785,6.8809483349824685
P-O+,1346,84.27489023487568,54.903417533432396,3.746435575360008
P-O-,6661,134.34073915564045,58.45969073712656,13.626230475310134
