日付,3日変化,日経 d1,FX d1,日経 d5,FX d5,日経 d10,FX d10,日経 d20,FX d20,year
2002-03-07,-3.281541721716452,0.0,0.7835702468923955,5.378600038146097,1.2772270947640552,11.005149723440777,3.518255576820062,5.283234789242797,3.6906433028569996,2002
2003-09-22,-3.479459903789861,0.0,0.17845716854358873,5.378600038146097,-1.1153743226589241,11.005149723440777,-1.0172208376485692,5.283234789242797,-1.6864454312439214,2003
2004-03-18,-3.1910041890778507,-1.0549450549450556,-0.1217316717890049,2.4615384615384706,-0.6180388205366261,3.0329670329670266,-2.8560754992130954,4.395604395604402,1.329710793867811,2004
2005-12-16,-3.665446094902325,0.7229707525468365,0.35455176779088937,4.797896812356228,0.6226229890205159,7.689779822543552,2.023524714316638,0.9201445941505071,-1.227947229713,2005
2007-08-16,-3.5107026123173624,-0.7214554579673793,0.16658113753564852,2.6662484316185786,1.7183930619196985,1.7879548306148019,1.648259620421899,1.22333751568382,1.052081889639056,2007
2007-11-09,-3.5306385273186636,-1.5086913742210606,-0.9398164477771864,-0.45916693998032665,0.2891737612817247,-2.6566087241718606,-2.2953197464939623,5.083633978353563,1.0211433363659594,2007
2008-02-29,-3.334887640373574,-1.3162843174125638,-0.2409174213042653,-4.851447912749151,-1.0311262690936185,-9.439638962015795,-4.567792249308356,-4.889056036103801,-4.481058154486384,2008
2008-04-11,-6.683308686021217,-0.6917755572636408,0.20803043112012087,5.495772482705608,2.773653428829115,6.994619523443513,3.417538070264192,4.534973097617212,2.7934618920989696,2008
2008-05-13,-3.37119609278026,1.2134189864382527,0.41101155982317117,-0.1427551748750866,-1.0036350833417584,-0.6423982869379063,-0.4100562447234335,-0.8208422555317618,2.599879105238756,2008
2008-09-15,-3.2203877930822133,0.3426124197002167,1.2172518240298746,1.1563169164882314,1.2556216389363106,-4.282655246252675,-0.3913604027754758,-23.89721627408994,-1.8906300004529975,2008
2008-12-11,-16.21200973159882,1.0059171597633032,-0.5025664706735489,2.6035502958579926,-2.2123910771174815,3.1952662721893565,-1.1100173209680375,0.2958579881656709,-0.18572945614827585,2008
2009-01-09,-3.223382518064666,-5.42350184131235,-1.0401708673642873,-8.492355763865644,0.5864764448255233,-13.179332663765209,-1.7815652997891007,-9.161923892422719,1.7151658462485786,2009
2009-03-19,-3.8187373895505305,-0.7677543186180413,1.5669702538419594,11.77223288547664,4.499735455077847,14.459373000639797,5.4102708051454895,14.459373000639797,5.166760233445755,2009
2009-05-13,-3.128485827459593,0.44028618602092173,0.6605821907041287,2.3665382498624155,-0.4812830246096578,4.678040726472199,0.010479717466815863,10.126582278481022,2.913913440893623,2009
2009-07-08,-3.503220550449626,0.484131253362019,0.2888778214663157,2.3668639053254337,1.5144642038873668,4.948897256589557,0.8590922293864489,10.75847229693383,2.1816866905508103,2009
2009-11-26,-4.229473646449744,0.38043478260869623,1.5738829890666883,11.032608695652169,3.6633818631171655,9.673913043478265,3.6293211057514485,15.217391304347828,7.4042763679637025,2009
2010-05-06,-4.078485465460579,-0.04914004914005066,0.8257183583404659,2.9975429975430012,2.143563312717811,-4.4717444717444765,-1.607397396279131,-5.552825552825558,1.9740165489736894,2010
2013-06-14,-3.394061407484339,3.514376996805102,-1.311083929408885,6.58945686900958,1.7247109636090885,9.464856230031948,3.122703547851291,17.531948881789127,3.7133196821178993,2013
2014-12-11,-3.168777379470078,-1.3884871275672506,1.1027229476326506,0.9256580850448337,0.923462088049054,3.153022852183973,2.3362699611377824,-2.834827885449809,1.6489821273222072,2014
2015-08-24,-4.3544999192115075,-4.01955458989679,0.3969929892727375,2.3356871265616475,2.3904045949826758,-2.933188484519278,0.7433060224681043,-2.1184139054861495,1.8075851000929122,2015
2016-02-04,-3.4967347276184224,-2.0503807850029254,0.12849066301181544,-11.013473930872875,-3.709097138941231,-4.862331575864087,-3.0066815144766057,-0.4686584651435233,-2.6297755696419345,2016
2016-04-29,-4.447439353099735,1.5413652091852859,0.04701457451810054,1.1638880150990794,0.7052186177715081,2.7996225228059224,2.115655853314524,5.819440075495441,3.638928067700986,2016
2016-06-03,-3.7676183592338264,-0.600240096038418,0.976434137639659,-0.7803121248499356,0.42249554032485204,-6.782713085234093,-2.2626983381842214,-5.942376950780314,-3.755515913998686,2016
2016-06-28,-3.1941957976067137,1.764705882352935,0.0681331516449335,1.9607843137254832,-1.0122639672960787,5.555555555555558,1.8979949386801698,6.797385620915031,1.8493284017909284,2016
2016-08-02,-4.142911440516917,-1.897184822521425,0.33703409992069666,2.38678090575275,1.0011895321173636,1.591187270501826,-0.5947660586835823,2.447980416156681,2.0519429024583813,2016
2020-03-09,-4.817708333333326,2.0607934054611032,3.2147742818057434,-13.240597630087581,3.429743990619505,-12.67387944358578,8.657416454954081,-4.327666151468312,6.703146374829005,2020
2020-03-30,-3.039841712384206,-0.4787234042553212,-0.2597161673314141,-1.2234042553191493,1.2893052592523935,1.4361702127659637,-0.04637788702346324,4.893617021276597,-0.5472590668769151,2020
2022-08-01,-3.617722445990479,-1.1785714285714288,1.177722057594388,0.8571428571428674,2.575792113061315,3.0714285714285694,1.2992933667654194,-0.3214285714285725,5.379530430818313,2022
2022-11-10,-3.8671395444004997,3.0623405030987927,-1.5324583185526763,2.0051039008385008,-0.546293011706267,3.426904848705803,-1.6601631784320503,0.43747721472839896,-3.050727208229853,2022
2023-01-13,-3.304347826086962,-1.1886503067484622,0.5161088520488022,1.7254601226993849,1.3215514544885787,4.907975460122693,1.5405067250547466,6.019938650306744,2.7604003753519013,2023
2023-03-13,-3.028979175768165,-2.7124773960216952,0.7808980327376425,-3.544303797468351,-1.4041147319417413,-1.3743218806509971,-1.2163988586874952,0.07233273056057588,0.31536266706710947,2023
2024-05-03,-3.054499366286456,-0.5934718100890191,0.5883121976729022,-1.3288607921558504,1.791083801804172,-0.03870468326667709,1.7453261864296188,-0.6837827377112582,2.8304353510262947,2024
2024-08-01,-3.0192844620479,-5.349143610013174,-1.8880557043385204,-8.35309617918314,-1.3926084627745139,-3.4255599472990728,-0.06025709694698067,1.0540184453228019,-2.9325120514194003,2024
2025-04-14,-3.208773354995942,0.5560433128475317,0.17484962931879622,0.26338893766462146,-1.4897188417960505,5.0921861281826075,-0.6784165617568894,10.330699443956682,3.8257098894950436,2025
2026-01-27,-3.9204545454545547,0.6560449859418949,0.7950588080688714,2.3805060918463017,2.3260398186477405,7.966260543580139,1.4389907352651221,7.478912839737584,2.424600827912471,2026
