日付,輸出 d1,内需 d1,差 d1,輸出 d5,内需 d5,差 d5,輸出 d10,内需 d10,差 d10,輸出 d20,内需 d20,差 d20
2016-06-03,-0.907533092780603,-0.1351929052034204,-0.7723401875771826,-0.35180183156556366,0.4370920325173159,-0.7888938640828794,-7.083716037508736,-6.889737592712474,-0.1939784447962618,-9.595520465644462,-3.27547398881246,-6.320046476832002
2016-06-28,2.0582160511864216,1.027372591012009,1.0308434601744125,1.2423300060538793,2.3294310872206503,-1.0871010811667712,4.312776460961897,2.7518365708483397,1.560939890113557,9.713555179080913,1.3561102802311402,8.357444898849772
2016-08-02,-2.8306077018041202,-2.6209110441851364,-0.20969665761898382,2.7200013596558157,-3.187721333392175,5.90772269304799,2.781154638361816,-3.6946766073808237,6.47583124574264,6.078619559018424,-5.096224847467495,11.174844406485919
2020-03-09,1.2403910861335243,1.3001065840675203,-0.059715497933996,-14.713553762132616,-11.717436006886262,-2.9961177552463547,-6.372178803056534,-1.52423174359454,-4.847947059461996,-1.5496424556512869,0.5872214494114325,-2.1368639050627167
2020-03-30,-1.3721094537304181,-1.7244229570951934,0.3523135033647753,-5.460485420931212,-6.348713599004807,0.8882281780735954,-0.4827548221592086,-2.151253112020158,1.6684982898609484,4.464734542411319,2.6471348430557295,1.817599699355588
2022-08-01,-1.753218337787889,-1.1658427482458993,-0.5873755895419897,0.8814448574838271,-1.021874238505119,1.9033190959889459,2.881880322810597,1.505532722725433,1.3763476000851644,2.5672361518878035,0.5165211834652708,2.0507149684225334
2022-11-10,2.90767890967305,0.6683466494704619,2.239332260202588,2.8925350743106377,1.682285927887206,1.2102491464234315,5.538924083840442,4.716594578407824,0.8223295054326184,2.2440625526193907,2.09299638420634,0.15106616841305098
2023-01-13,-1.5399856464009007,-0.9369324364972506,-0.6030532099036502,1.5726050322224818,0.6900709995234787,0.8825340326990035,5.532763351756786,2.450593577833887,3.082169773922899,7.036056745205428,1.6455202090611043,5.3905365361443245
2023-03-13,-3.2073906533733565,-2.6559065114013682,-0.5514841419719883,-3.7978364347312072,-3.9431822265473375,0.1453457918161304,-1.692702201533145,-2.416872136991982,0.724169935458837,-0.49973877153540336,-1.406435116700735,0.906696345165332
2024-05-03,-0.8032919891617457,-0.8180997247950064,0.014807735633260655,-0.4057389686869679,0.336798274173222,-0.7425372428601899,-0.24714879522308048,-0.4062947711049798,0.15914597588189933,-0.04175358784975047,-0.5275538087069201,0.4858002208571697
2024-08-01,-6.728238487296696,-5.45470441212095,-1.2735340751757454,-8.392945863003886,-7.304395548022479,-1.0885503149814104,1.4821372912749244,-0.9062901607803937,2.388427452055315,3.216168608654491,2.652466765187059,0.5637018434674343
2025-04-14,0.8570138275049103,0.2640085209788311,0.5930053065260792,0.23450080480731228,3.1786615918028542,-2.9441607869955417,6.155375567119465,4.472908643222504,1.682466923896963,11.172293638959838,6.80356507200885,4.368728566950988
2026-01-27,-0.9176815160510629,-1.4206942505836149,0.503012734532552,3.513281823140969,0.8206769998328707,2.6926048233080984,10.976446521317026,6.444857206337545,4.531589314979481,16.631563253037495,5.138543331135754,11.493019921901741
