sector,09:00-09:15,09:15-10:00,10:00-11:30,12:30-13:30,13:30-14:30,14:30-15:30,日中平均,U字度
非鉄金属,0.42571415488676734,0.2261100816738268,0.14627895845085295,0.14382388792682596,0.12180003295805791,0.12549671820030675,0.19820397234943965,0.13178154861671107
電気機器,0.42925270558222944,0.23715603894077145,0.1521291000181082,0.14794557437655637,0.11655819582723824,0.12235367547754417,0.2008992150370746,0.1278576161533304
鉱業,0.31264142601364225,0.1559371299621441,0.09912008777982521,0.10058801698253578,0.09506396778799513,0.08942875554741278,0.14212989734559253,0.10044707379799173
機械,0.341507713341582,0.1771610574006558,0.11166998004186703,0.11731668320139534,0.08391021149014309,0.08174187528568143,0.15221792012688742,0.09430811111223637
電気･ガス業,0.2917075110801963,0.1384328806738524,0.09242167251678268,0.09174869059618976,0.07652396637830902,0.07808883918968405,0.12815392673916903,0.09314948453875044
建設業,0.38325393459651913,0.22074403497746056,0.13719828884348112,0.15851182779240122,0.10973997057685776,0.11468494415842312,0.18735550015752378,0.0904576115850699
ガラス･土石製品,0.33318602195904057,0.18529102439308665,0.1351144400612434,0.13319438849597756,0.09173437508511414,0.09771367107434101,0.16270565351146724,0.08225545802071324
サービス業,0.23632602043189402,0.11750450745259056,0.07792945358536507,0.07332327910768689,0.053185003515923895,0.06179478095424553,0.10334384084128433,0.07573712158538289
精密機器,0.22366382060157228,0.10435892147555056,0.06736420794242189,0.06821514305618928,0.06221375402725563,0.058238832036745326,0.09734244652328915,0.07273618326296952
輸送用機器,0.2563402749226233,0.13177221106758985,0.08603149140471854,0.0890780040234301,0.06641925648766088,0.0669556245977197,0.11609947708395707,0.0725699457367414
医薬品,0.24066436627423318,0.1084841963449279,0.06714996076802514,0.07452058508164093,0.04890004388596179,0.05280252970776421,0.09875361367709219,0.07221286290935776
化学,0.23836300827994333,0.1272650350252133,0.08190588179174638,0.07886982184668727,0.06217853393269458,0.06329533046669691,0.10864626855716362,0.07195934752663287
卸売業,0.2553392384118065,0.13559986453230005,0.08732279713950478,0.08838145829553534,0.06584674982473702,0.06509080067339823,0.11626348481288033,0.07183356124706702
情報･通信業,0.24498297860238707,0.12392261168190216,0.08558695859222282,0.08224280318757589,0.061815183651081095,0.06289470440848828,0.11024087335394289,0.0716960383178618
金属製品,0.2608199080445006,0.12996425986959284,0.08564011239442312,0.09481175698408051,0.061620926037807375,0.07071609268879561,0.1172621760032,0.07095624338256762
小売業,0.24804658572028385,0.11843440524975496,0.07701835338832107,0.08314057629371432,0.054800857049332796,0.059572971915749735,0.1068356249361928,0.07066920252430248
ゴム製品,0.19878317080665567,0.08919587460677073,0.0697865529297511,0.06401686863865863,0.06803327225904775,0.06183626120089241,0.09194200007362939,0.0662928473651154
保険業,0.2026820547803517,0.0965023867659706,0.0698558827795316,0.06690167640126864,0.048599637156648744,0.05481727086528944,0.08989315145817678,0.06184798642155194
不動産業,0.21197972773388268,0.1026948211556275,0.06928825541964628,0.07531805570758764,0.05406442856257742,0.06119345794962794,0.0957564577548249,0.061268537134167675
証券･商品先物取引業,0.20308735810940953,0.10009262906834904,0.07257823105715672,0.07238786497084763,0.050860526359343815,0.058831419695232125,0.09297300487672315,0.058571523931473204
銀行業,0.1944922066388716,0.10479270140769852,0.06810002962493703,0.0648798649044465,0.04617861628008078,0.05025016541383372,0.08811559737831137,0.057491321121906164
その他金融業,0.18282530260070942,0.08044701736115856,0.05444031105112778,0.059840832451549884,0.041664020018383235,0.04987945158265664,0.07818282251093092,0.056511544640133145
石油･石炭製品,0.2028553946602894,0.0977255871820228,0.06351756737310912,0.07122060277536353,0.04605758767581635,0.0523051733541252,0.08894698550345438,0.056359681231843775
陸運業,0.17139187959899158,0.07687119312607374,0.050288034996089734,0.05053965253931078,0.03673968509296319,0.0420954249976221,0.07132097839184186,0.056203999758996065
倉庫･運輸関連業,0.18889327818474697,0.08674160774466022,0.060198235367308,0.06547484835947562,0.0476997915876139,0.05284144050195318,0.083641533624293,0.05539251098387446
その他製品,0.25667787702619443,0.1288788060524841,0.0845017592612605,0.10700320577553238,0.06761374472697418,0.06697429302285068,0.11860828097754939,0.05482287924899018
食料品,0.18094328259728795,0.08238568054745278,0.05363128151640353,0.05830309517534002,0.038400048086924224,0.04364770297790197,0.07621851515021842,0.05399239761225494
海運業,0.20357300075345205,0.0950886048111697,0.06321741464023942,0.07470562899024367,0.04292835781957954,0.04607219061938645,0.0875975329390118,0.050116966696175574
鉄鋼,0.1698267425281043,0.079750242962013,0.05433721212800935,0.06342815681857021,0.05065907724302142,0.04865283387041519,0.07777571092502225,0.04581163138068954
パルプ・紙,0.17917474400636535,0.08231122290468113,0.056191175655024815,0.07969097061940396,0.04941601230375898,0.06969229058427655,0.08607940267891845,0.044742546675917
空運業,0.15206498300718346,0.06823687746153029,0.04668173654662819,0.052602502747919236,0.03351023643318933,0.037172645902655024,0.06504483034985091,0.042016311707
水産・農林業,0.16509890188769416,0.07603439767160225,0.053595251394989385,0.07060644046786706,0.04292280244480213,0.046827190345309966,0.07584749736871083,0.035356605648635006
繊維製品,0.18601203932058172,0.09119948166215928,0.06884353833678447,0.08691959353773702,0.05215843479692,0.05388951243097801,0.08983710001419343,0.033031182338042836
