sector,月,火,水,木,金,avg,range
海運業,-0.40017959130293407,0.7210780500933484,-0.09160034227440786,0.25031701910706783,-0.10846760625619557,0.07422950587337573,1.1212576413962825
銀行業,-0.3461202964486256,0.4888428567918371,0.3987310941996333,0.6408498403015562,0.29800612811540916,0.29606192459196207,0.9869701367501817
ゴム製品,-0.37684198593095547,0.5104346210822629,0.1874304189901196,0.17579340751196973,-0.009337110356861123,0.09749587025930713,0.8872766070132183
証券･商品先物取引業,-0.28318294906112745,0.5931138818160314,0.22316478118836147,0.24886561833192822,0.032129481266101045,0.16281816270825894,0.8762968308771588
非鉄金属,-0.18083084366180732,0.6106426422264186,0.6936238045934553,0.6040594140530933,0.03761556967779294,0.35302211737779055,0.8744546482552626
輸送用機器,-0.34349588753489696,0.46012263591098096,0.24267121725496002,0.24084516273339215,-0.10727221902114192,0.09857418186865885,0.8036185234458779
その他製品,-0.3775316864902371,0.42346655035607067,0.27219561521294944,0.29324237069947195,0.09394070737326309,0.1410627114303036,0.8009982368463078
鉄鋼,-0.38506997158509426,0.38294956350535864,0.1052420587730836,0.22741156516180738,0.10102775992401569,0.08631219515583421,0.7680195350904528
金属製品,-0.2722531626353599,0.482099838389239,0.024007639858470823,0.39882974105703384,0.10625505284934217,0.14778782190374518,0.7543530010245989
保険業,-0.2169184301897053,0.5313921876984706,0.10160690286090433,0.2741087937227405,0.008695719541751162,0.13977703472683228,0.748310617888176
ガラス･土石製品,-0.30878025333229786,0.3524678817859427,0.226876938721546,0.41632136818694887,0.07809792433856505,0.15299677194014097,0.7251016215192467
倉庫･運輸関連業,-0.2519411272175478,0.4710963895950548,0.18488695500746477,0.3732055803254464,0.16835692683162662,0.18912094490840897,0.7230375168126026
鉱業,-0.160423112169098,0.5393994576714396,-0.004595781186480147,0.5493463153795543,0.1833943474249375,0.22142424542407063,0.7097694275486522
機械,-0.19105621141234308,0.47398442808656127,0.2348777845499705,0.5074624821894453,0.1066728289085373,0.22638826246443428,0.6985186936017884
パルプ・紙,0.1736212237754689,0.4930854047533273,-0.19047049397287136,0.09739950808576804,0.17127199514326338,0.14898152755699126,0.6835558987261987
その他金融業,-0.26467585497498347,0.4136354276275708,0.05823381725231619,0.19103874840148802,0.09309281772120032,0.09826499120551836,0.6783112826025542
電気機器,-0.21000924775894309,0.45742801482529727,0.28731251893815024,0.43189599116530125,-0.00749336657042252,0.19182678211987664,0.6674372625842404
石油･石炭製品,-0.27913058516503164,0.06029984951764531,0.04804635182205508,0.3873201973008693,0.25188021995049265,0.09368320668520613,0.666450782465901
化学,-0.31193554053728684,0.326414168872892,0.10754832796613853,0.3372384873279357,0.18360661757839924,0.12857441224161573,0.6491740278652225
卸売業,-0.1547984880545135,0.4727068219215077,0.0944238533838155,0.3012040085111161,0.18145336059895115,0.1789979112721754,0.6275053099760212
サービス業,-0.3034875426781205,0.3153985465668142,-0.035179913755097277,0.1456903095086522,0.004314526013410712,0.025347185131131867,0.6188860892449347
医薬品,-0.2676234247927965,0.24629087364859664,0.023287281728766283,0.1162466374911064,0.13505997486117824,0.05065226858737022,0.5139142984413931
繊維製品,-0.08142078813496635,0.2985155754110068,0.21972901208531345,0.4031538347202566,0.24419689851259826,0.21683490651884174,0.48457462285522296
情報･通信業,-0.12457047722975186,0.344057881301398,-0.0608753326452514,0.17704145061710863,0.08109767286028906,0.0833502389807585,0.46862835853114987
不動産業,-0.12820086539043732,0.3348006269118308,0.06333560654974668,0.2780621884677345,0.2500745365357398,0.15961441861492287,0.46300149230226817
電気･ガス業,-0.1987400701980213,0.26248629583983335,0.08270051169755781,0.21205980977234626,0.10750720857216621,0.09320275113677648,0.46122636603785466
空運業,-0.27619745343092605,0.17059804127869532,0.0813530140302376,0.055445712020885524,-0.09145613453230327,-0.012051364126682174,0.4467954947096214
精密機器,-0.1386612738998064,0.28951965953983855,0.25483749936417666,0.288020919266421,0.06454589564825289,0.15165253998377654,0.4281809334396449
建設業,-0.010462258868065863,0.33819143614572916,0.38754637334589576,0.2959478356477656,0.2107950594321595,0.24440368914069682,0.3980086322139616
水産・農林業,-0.07837685940945671,0.12066538270109763,0.06582117475381145,0.3044792213178499,0.16532029584077465,0.11558184304081538,0.3828560807273066
小売業,-0.12406550198971752,0.15812656541909992,0.057763467944411735,0.08538669884513064,0.22155763069377396,0.07975377218253973,0.3456231326834915
食料品,-0.07963106212742944,0.20699108489858606,-0.026093140004508502,0.020944280574168122,0.05940993129019079,0.0363242189262014,0.2866221470260155
陸運業,-0.040184929529756344,0.09096865349796696,-0.044613099033217744,0.1425561267913452,-0.004996055490230826,0.02874613924722145,0.18716922582456294
