label,N,mean,std,t_stat,p_val,win_rate,sharpe
B単独: 空売り急増Top10% Long,58051,11.9,1045.1,2.75,0.0059,44.8,0.08
B単独: 空売りカバーTop10% Short,56746,21.9,936.5,5.56,0.0,56.8,0.17
A強気 × B空売り急増 Long (ダブル強気),20673,18.5,1036.4,2.57,0.0102,44.8,0.13
A弱気 × Bカバー Short (ダブル弱気),12876,19.0,876.4,2.46,0.0139,55.5,0.16
A強気のみ (全銘柄),204740,-0.0,767.4,-0.0,1.0,45.0,-0.0
A弱気のみ (全銘柄) Short,130266,0.0,784.4,0.0,1.0,53.9,0.0
A中立 × B空売り急増 Long,27416,13.9,1070.7,2.15,0.0318,44.4,0.09
A強気 × B空売り増Top20% Long,41107,16.7,929.6,3.65,0.0003,45.3,0.13
LS両建て (A強気→空売増Long / A弱気→カバーShort),33549,18.7,978.1,3.5,0.0005,48.9,0.14
