date,on,intra,full,regime,lme_prev
2025-09-25,159.73140285727422,244.46192683478694,409.0122910829523,Pre,3.267123630359725
2025-11-27,124.93661573453997,-116.05764282038078,7.752665070213112,Pre,1.1123932610200837
2025-12-04,141.68628012974546,73.55849365745588,216.33655620909425,Pre,2.723194257514572
2025-12-18,7.675028745652483,-78.75111884878068,-73.00372507639412,Pre,1.0629141922712693
2026-02-12,188.53030095951073,104.51559270247378,294.8172709258856,Pre,1.06106870229008
2026-02-19,157.65452995929687,121.19535214683266,281.13447695888493,Pre,1.4964267382635121
2026-02-26,192.1711939840398,-74.91816826175057,115.82067219152779,Pre,1.1708980674497882
2026-03-26,385.9549157101383,22.350695555803934,407.37436103124156,Post,1.575356626007851
2026-04-09,273.2252993570905,103.81781879653698,402.31813453680803,Post,3.0579551445836906
2026-04-23,116.27975773084722,-161.07931519622642,-49.91517347320803,Post,1.7025292563231487
