sig,label,N,r_1d_net,wr_1d,std_1d,r_3d_net,wr_3d,std_3d,r_5d_net,wr_5d,std_5d,r_10d_net,wr_10d,std_10d,sharpe_5d
S10,vol≥1.5x × 価格↓（吸収逆張り）,20912,-0.032156130824821244,49.52180566182097,2.5771614479780682,0.34267834197445407,52.52008416220352,4.585702963093206,0.6433960456514017,53.10348125478195,5.978850725557181,1.4447889246215244,55.67309085639762,8.248405098921666,0.7639693672766392
S9,5MA≥1.3×20MA × 価格↑,18713,-0.010851724708266258,48.965959493400305,2.335920564327425,0.3319303585422486,52.65323571848448,4.685238045403763,0.6579808319042624,53.92507882220916,6.150880471245115,1.1655298464723085,55.22628442583347,8.124008185295486,0.759436074004778
S8,5MA≥1.3×20MA,37118,0.004967502821256003,49.393825098335036,2.3199740916408196,0.34723128282686383,52.78032221563662,4.568103520007411,0.6238092774006364,53.820248935826285,5.966569155528825,1.1600800429138056,55.15829990241787,8.115273949170595,0.7422366908031504
S2,vol≥1.5x × 価格↑,24144,-0.006821111910414808,48.703611663353215,2.656750817268749,0.13582612202218816,50.405897945659376,5.072492625605917,0.46260967904868494,51.52004638833665,6.4905370862429,1.0152396312558791,53.36863170182606,8.57261755169122,0.5059986377066432
S12,vol≥1.5x × 当日+1%超,17138,-0.01923642631541954,48.05694946901622,2.849447670687668,0.11690399744146106,50.03500991947718,5.440048732747326,0.4809361854268527,50.986112731940715,6.957021124126152,1.0774836484810457,53.054265388911745,9.118274826964921,0.49077157469558236
S1,vol≥1.2x × 価格↑,41543,-0.030375315307752837,48.308981055773536,2.3842877796627207,0.10437062043519346,50.34301807765448,4.737533657553267,0.4089399102417859,51.7463832655321,6.07414962273162,0.9654090704931604,53.55835212531219,8.541594267533352,0.4779574990573254
S3,vol≥2.0x × 価格↑,12413,-0.009844697634262803,48.40892612583582,2.9545333079551295,0.0797776140352795,49.48843953919278,5.425952921690949,0.3716015845956903,50.51156046080722,6.869517842108432,0.9221329629905582,52.190491643680026,8.899232874285662,0.3840312532885875
S7,vol≥1.5x × 3日連続↑ × 価格↑,5040,-0.05060582141726711,48.154761904761905,2.8080091384390315,0.057822471234485924,49.36507936507937,5.139733895785499,0.3055253575266514,50.21825396825397,6.183192656358377,0.8652054720789286,52.84113645458183,8.405798105139503,0.3507920567273248
S5,vol≥1.5x × 2日連続↑ × 価格↑,10888,-0.022848004847495194,48.66825863335782,2.713039869590696,0.015818957051623627,49.357090374724464,5.111360668129336,0.25781969724411397,50.1285819250551,6.340455048342777,0.7678008612716108,52.45143385753932,8.281680909225141,0.28867616981833516
S4,vol≥1.2x × 2日連続↑ × 価格↑,16453,-0.04958002496811391,48.14927368868899,2.4636077352093686,0.004134018289812887,49.42563666200693,4.812815954110955,0.2400803843112682,50.50750622986689,5.9724761385311975,0.7650897704372518,52.72248422857842,8.229589459866197,0.28537605006662736
S11,vol≥3.0x × 価格↑（強）,5640,-0.03965434782485914,47.87234042553192,3.279987950005669,0.050930278399248054,48.705673758865245,5.8983345443687165,0.28133533186067444,49.769503546099294,7.295155230099359,0.7702346148597599,50.785994998213646,9.11180706207373,0.27378207315869085
S6,vol≥2.0x × 2日連続↑ × 価格↑,6366,-0.008881481598948292,48.696198554822494,2.997257839124963,-0.013171042584917343,48.71190700596921,5.465364696099873,0.19593814225807013,49.355953502984605,6.732749945351557,0.706156042957548,52.04937490109195,8.555559348622799,0.20660544797771258
