sector,N,mean,wr,std,sharpe
非鉄金属,433,2.4675590906020215,58.198614318706696,9.009079968399014,1.944475107432111
銀行業,855,1.64663449065299,63.2748538011696,6.185791062793716,1.8898060257289784
水産・農林業,56,0.5481320711690587,51.78571428571429,2.430079207477649,1.6013270948864482
鉄鋼,305,0.8831960082622139,57.70491803278689,4.260106004278359,1.4718107137466305
金属製品,225,0.9835238588308275,57.333333333333336,5.361371882571892,1.3023395679019265
建設業,839,0.9773018193841547,54.23122765196663,5.489429792609148,1.263911718502251
ガラス･土石製品,400,1.0084204455108834,56.25,5.969567278238562,1.1992619630503472
卸売業,908,0.7919320675507852,53.63436123348018,5.040743303206784,1.1153434355075986
機械,1516,1.089562935855342,54.15567282321899,6.93813999090043,1.1148707749943052
電気機器,2110,1.0780686610538621,54.45497630331754,7.163076718917181,1.0684693956065558
鉱業,102,0.8508805117134932,55.88235294117647,5.852457237112541,1.0321566048380548
電気･ガス業,399,0.6898438663480784,55.639097744360896,4.788565405983452,1.0227291905248108
不動産業,564,0.716634272869091,52.659574468085104,5.560253082371433,0.9149940775981191
その他製品,411,0.7313738962958239,51.82481751824818,5.678291958838414,0.9144016587652144
精密機器,429,0.7546734927075254,54.07925407925408,6.015600580941215,0.8906260047636889
輸送用機器,660,0.5585241013807115,52.27272727272727,5.252476613843102,0.7549063165769314
空運業,50,0.32287140114250684,50.0,3.297381402904442,0.6951454146582096
その他金融業,335,0.4666948305773461,54.02985074626866,4.842543053757208,0.6841869211459572
ゴム製品,114,0.4736027043644379,53.50877192982456,5.003544578658069,0.6719727602218841
化学,1545,0.45362908764345994,54.11003236245955,4.962599187883806,0.6489436134964925
食料品,936,0.37680537887258325,54.700854700854705,4.154459884790057,0.643899061518732
小売業,1798,0.3687828626814831,51.50166852057843,4.563989837590963,0.5736425143527828
保険業,210,0.4775500822772892,52.38095238095239,6.257758232190705,0.5417705732340213
倉庫･運輸関連業,75,0.25689383997519527,56.00000000000001,3.584547766999708,0.5087853370196825
情報･通信業,2225,0.3474804822255592,49.842696629213485,7.210995630406264,0.34209793397983546
証券･商品先物取引業,262,0.1776477010530869,50.38167938931297,6.83470940186607,0.184524826602403
陸運業,729,0.08861587754481257,48.28532235939643,3.6990683624323983,0.1700726399962265
医薬品,583,0.04312853407985178,50.60034305317325,6.352157629920848,0.04820129412582854
パルプ・紙,105,0.010616830962527309,49.523809523809526,4.212059619138347,0.017894339025764157
石油･石炭製品,99,0.012055572411249438,56.56565656565656,5.67354214723592,0.015085121717260888
サービス業,1330,-0.07258042071245105,48.1203007518797,6.616600319528576,-0.07787532065827846
海運業,115,-0.15152682175647822,51.30434782608696,4.132557663315739,-0.2603070078605746
繊維製品,189,-0.16676002347060215,46.03174603174603,4.272194256931643,-0.277112568619634
