combo,k,n,full_sharpe,full_t,mean_bp,h1_sharpe,h2_sharpe,h2_t
三菱重工+日本郵船+トヨタ+ホンダ,4,589,1.143018689207132,1.7474739425850125,6.205914325584721,0.20425081826957853,2.2153465846290388,2.3969138098268354
アドバン+三菱電機,2,406,1.142962252966696,1.4507568645268973,10.262333771098985,1.6101748659438964,0.6714388420515276,0.6026348037265048
三菱重工+日本郵船+ホンダ,3,439,1.142396404239256,1.5078176308612037,6.445003069368548,0.7313171901857063,1.6447657229357555,1.5367920906563197
トヨタ+ホンダ,2,285,1.142235878328498,1.2147249647817755,5.043511508274985,-2.7353225625555813,4.494335010018585,3.385580855104753
三菱重工+ホンダ,2,282,1.141903951863628,1.2079636333441426,7.004318485263974,0.8827743130631026,1.4732380899512272,1.102001599229176
三菱商事+三菱重工+日本郵船+ホンダ+三菱電機,5,805,1.1415638626992355,2.0403180991874765,7.078378925901416,1.1792313315747793,1.1014144743047565,1.3928457782423695
三菱マテ+アドバン+ホンダ+三菱電機,4,741,1.1415567048983672,1.9575205177210575,8.611218077552238,0.8845379432663892,1.378354195786644,1.672428335279607
三菱商事+三菱重工+トヨタ+ホンダ+三菱電機,5,798,1.1404210818720733,2.0293941885690554,7.105117407341974,0.6659660434499465,1.6338924659449146,2.0559362671533923
三菱商事+日本郵船+三菱電機,3,523,1.1403692583290568,1.6428430516988726,7.118312088921987,1.7478501899680692,0.5528871205783736,0.5637503811373034
三菱マテ+アドバン+日本郵船+トヨタ+三菱電機,5,913,1.1399286188345013,2.16976538008459,8.159369913307126,1.087142801495638,1.1892528119909709,1.6015187095683874
三菱商事+アドバン+日本郵船+トヨタ+ホンダ+三菱電機,6,1012,1.1395236662653065,2.2835647746889687,7.778352842263336,0.957929289440371,1.3140032515423554,1.8619646346810337
三菱商事+三菱重工+日本郵船+トヨタ+ホンダ+三菱電機,6,955,1.139217437860217,2.2177267730380863,6.831436885515442,0.7897675065177899,1.4976590841914874,2.0626552333275163
三菱重工+トヨタ+ホンダ,3,432,1.1390976886825068,1.4914289663819513,6.484131951761689,-0.11074587850154775,2.6109825570437115,2.4173001314666003
三菱商事+トヨタ+三菱電機,3,516,1.1386720668275663,1.629383249638524,7.160205190338092,1.0665089580894815,1.2057081689510507,1.2199774013621036
三菱商事+日本郵船+トヨタ+三菱電機,4,673,1.137350923668292,1.8586676766945054,6.758996155754541,1.1003771425617677,1.1714977471198165,1.3547405734751634
アドバン+三菱重工+トヨタ+三菱電機,4,703,1.135945012258132,1.8972942961304167,9.041506294004943,1.2813443634712243,0.9813869279137207,1.1598753805572217
アドバン+三菱重工+日本郵船+三菱電機,4,710,1.1356663939134075,1.906249217920881,8.992098970390447,1.8040620812349948,0.42446039696166954,0.5037917856514332
三菱マテ+三菱重工+日本郵船+三菱電機,4,706,1.1355478796630505,1.900673548979454,7.4729556513166395,1.7334787679623849,0.5349672529279169,0.6331611811202427
三菱マテ+三菱重工+トヨタ+三菱電機,4,699,1.1346513469459933,1.8897343200656074,7.507432540111306,1.099177495152048,1.1683038430703248,1.376859283202218
アドバン+日本郵船+トヨタ+ホンダ,4,646,1.132985135286772,1.81401218761808,7.7445114372641655,0.3800485362998869,1.8528805410149796,2.0977243099168317
三菱マテ+三菱重工+日本郵船+トヨタ+三菱電機,5,856,1.1316166996177843,2.0856237312213586,7.128310607647376,1.2168506851848169,1.0454605260915493,1.3624772323297751
三菱マテ+アドバン+日本郵船+ホンダ+三菱電機,5,898,1.1314845147344714,2.135927526081351,8.056849810773452,1.0636141620201787,1.194858095224599,1.5949211984912277
三菱マテ+アドバン+トヨタ+ホンダ+三菱電機,5,891,1.1311813482341209,2.127016295664989,8.088484608061522,0.5636593116723945,1.6550333187966697,2.201779887595537
三菱商事+日本郵船+トヨタ+ホンダ+三菱電機,5,808,1.1277741197964382,2.019424096700538,6.386482676193774,0.5223932158755993,1.6983362823060015,2.150374492698681
三菱商事+日本郵船+ホンダ+三菱電機,4,658,1.1259503848773607,1.8194156670733814,6.587159288826689,1.0602057408371255,1.1878313181159568,1.3572268734236825
三菱マテ+アドバン+日本郵船+トヨタ+ホンダ+三菱電機,6,1048,1.1257753995390125,2.295789816558599,7.691773206480124,0.7758117449557651,1.452264477397273,2.0941659199309175
アドバン+三菱重工+ホンダ+三菱電機,4,688,1.125355888069693,1.859447137785844,8.926926342893356,1.3001290700082069,0.9400444617425184,1.0983160902218927
三菱商事+トヨタ+ホンダ+三菱電機,4,651,1.1239911402226677,1.806563002459611,6.614653560301411,0.3839581710642393,1.8151893924148526,2.064574098907166
三菱商事+ホンダ+三菱電機,3,501,1.1233863175304406,1.5839728107456308,6.946531491895429,0.9532962893925397,1.2819649577364984,1.2794188480578492
アドバン+三菱重工+日本郵船+トヨタ+三菱電機,5,860,1.1233684598607334,2.075253626768221,8.38409006894631,1.3947807179901883,0.8364663012573421,1.0926533626144466
三菱マテ+三菱重工+ホンダ+三菱電機,4,684,1.123260357348092,1.8505814830327365,7.358540562518946,1.0970007341730084,1.1475728477352978,1.3368819099554732
三菱マテ+三菱重工+日本郵船+ホンダ+三菱電機,5,841,1.122323996688162,2.0502932234436124,7.0004521752334234,1.1315014115757271,1.111935814088689,1.4372108794259304
三菱マテ+三菱重工+日本郵船+トヨタ+ホンダ+三菱電機,6,991,1.1222294152839425,2.225451863144593,6.774275953267321,0.851306635053576,1.3901177409749454,1.9502583849484416
三菱マテ+三菱重工+トヨタ+ホンダ+三菱電機,5,834,1.121193897299485,2.0396867756295762,7.02538241616255,0.6478770789060817,1.588816350257082,2.0438144132367184
アドバン+三菱重工+日本郵船+ホンダ+三菱電機,5,845,1.1141636131095394,2.0402202558469855,8.279128826649682,1.327895441742379,0.8887561969134167,1.1514698083155657
アドバン+トヨタ+三菱電機,3,556,1.1140872239904056,1.6548411789211697,8.979199103206469,1.122684998392753,1.1034831339866333,1.159011718965164
アドバン+三菱重工+トヨタ+ホンダ+三菱電機,5,838,1.1139977264192331,2.031449559753708,8.314621138695987,0.8968475422016321,1.3423659755954058,1.7309227133888094
アドバン+日本郵船+三菱電機,3,563,1.1137838450029118,1.6647723011021514,8.917666155727426,1.6550826437358186,0.5716983777744113,0.6047713982128365
三菱マテ+日本郵船+トヨタ+三菱電機,4,709,1.1134978617827314,1.8677220009247373,6.682778077353283,0.9066251589870191,1.300725873487083,1.5438307440169818
三菱マテ+三菱電機,2,402,1.1127891473826794,1.4054831316235379,7.607024706264967,1.3489291812904152,0.9102647831932167,0.8129531143860649
三菱マテ+日本郵船+三菱電機,3,559,1.1118420637683002,1.6559557748165723,6.998501729028387,1.4897123462970407,0.7750781602019994,0.8170041169637302
三菱マテ+トヨタ+三菱電機,3,552,1.1101678537997302,1.643076999124244,7.036143337382472,0.6697733761530459,1.5017585942349436,1.5716447880098008
アドバン+三菱重工+日本郵船+トヨタ+ホンダ+三菱電機,6,995,1.1083971944450628,2.202453194780782,7.861096531493057,1.0297068503800786,1.19000366088478,1.6728719471977627
三菱マテ+日本郵船+トヨタ+ホンダ+三菱電機,5,844,1.1067654261293516,2.0254733661435553,6.338345078655498,0.40874106954004086,1.7320641237512553,2.2414028578596352
アドバン+日本郵船+トヨタ+三菱電機,4,713,1.101955150515578,1.8535675325455767,8.199962462820686,1.1873280892172202,1.0156708801979384,1.2088901496481161
三菱マテ+日本郵船+ホンダ+三菱電機,4,694,1.1017644816775327,1.828387453426762,6.518207573585925,0.8204600724688607,1.3541323507908494,1.5890061595723664
アドバン+ホンダ+三菱電機,3,541,1.1000336074069872,1.6117746309270817,8.831758041789188,0.9780607790755547,1.2190660113221294,1.2641878089850676
三菱マテ+トヨタ+ホンダ+三菱電機,4,687,1.0998870072008504,1.816043177689435,6.54355853242633,0.11558736238456482,1.9657578015686492,2.296724794208113
三菱マテ+ホンダ+三菱電機,3,537,1.0946428150434553,1.597935713596796,6.83332871780313,0.6060591566343229,1.5205272861845227,1.5709779437547697
アドバン+日本郵船+ホンダ+三菱電機,4,698,1.0902135360374074,1.8144249567898572,8.068939305467485,1.1179975349157236,1.061144935921807,1.2487834916721081
アドバン+トヨタ+ホンダ+三菱電機,4,691,1.089875377192448,1.8047439485833736,8.109852808863327,0.6379756640151201,1.5351361378367772,1.798807436451947
アドバン+日本郵船+トヨタ+ホンダ+三菱電機,5,848,1.0869906426618137,1.9939922279930073,7.61562125652466,0.7520390119214293,1.416094887067433,1.8368555831150724
三菱重工+日本郵船+トヨタ+三菱電機,4,656,1.0756518449801196,1.7354950358404815,6.858082904402284,1.1850812970616622,0.9541985688350816,1.0886177526620209
三菱重工+日本郵船+トヨタ+ホンダ+三菱電機,5,791,1.0705304236290312,1.8966490833575327,6.4606523069907205,0.7065553823019969,1.4765105838112813,1.8509039700787917
三菱重工+日本郵船+三菱電機,3,506,1.070206365996959,1.5165003609830203,7.25884425883654,1.9744569290569596,0.030689574182242413,0.030750405905328605
三菱重工+三菱電機,2,349,1.0691104503655615,1.25815752023626,8.07689587496544,2.277191486748086,-0.3447567147485123,-0.28729726229042696
三菱重工+トヨタ+三菱電機,3,499,1.0688266906911572,1.504032749443145,7.304135973305703,1.1755589913482218,0.9498385226176753,0.9460618137337992
三菱重工+日本郵船+ホンダ+三菱電機,4,641,1.061406395419425,1.6928186867068242,6.6840074641389275,1.1778818967959666,0.932222904238882,1.0521363251401463
三菱重工+トヨタ+ホンダ+三菱電機,4,634,1.0596960693693092,1.6808373190722958,6.713308265333295,0.6501245483793089,1.521149545740172,1.706087389065399
三菱重工+ホンダ+三菱電機,3,484,1.0498755485338511,1.4549907475651913,7.087417871703926,1.3255148380515653,0.7376296218971312,0.7228459656719374
日本郵船+トヨタ+ホンダ+三菱電機,4,644,1.0342550020082146,1.6533709139249517,5.817751166967365,0.3165412326623438,1.7457947279402009,1.9734259879484741
日本郵船+トヨタ+三菱電機,3,509,1.0290607334524078,1.4625126379931586,6.159446290737172,0.9752188875345194,1.0816362251832061,1.088055487623661
日本郵船+ホンダ+三菱電機,3,494,1.0082288794142609,1.4116347382159204,5.912357411357032,0.8003937535709708,1.2160516530702836,1.2039272061540955
トヨタ+ホンダ+三菱電機,3,487,1.0048890169984246,1.396954657016777,5.939411123036202,-0.07560842091079847,2.0834625250196033,2.050124973669626
日本郵船+三菱電機,2,359,1.0001797088467084,1.1937819098135842,6.432398249773291,1.8050825046408832,0.1646731598544558,0.13917422169058244
トヨタ+三菱電機,2,352,0.9968732119885472,1.178178212115098,6.480169395957012,0.6768904767969529,1.3245570527739794,1.1069467587772128
ホンダ+三菱電機,2,337,0.9643805889643638,1.1152266535330142,6.132243402379891,0.5352565681585842,1.399754926782099,1.146291538693742
