or_min,dir,stop,n,full_sharpe,full_t,mean_bp,wr,h1_sharpe,h1_t,h2_sharpe,h2_t
60,long,orrange,2263,0.6075954682379007,1.8207760518303615,4.637994935085121,51.5687140963323,0.5037150182079471,1.0671265655355553,0.7026709864959323,1.4892752249155428
30,long,orrange,2617,0.5518035964279969,1.7782225676596535,4.517944805397974,50.286587695834925,0.7903768092153828,1.8006851812237945,0.34516376967209755,0.7866739268066335
60,long,none,2263,0.5375999317595667,1.6110210368293805,4.257403102740911,52.09898365002209,0.34816491866821264,0.737591734350465,0.7109002725758418,1.506716775958753
30,long,none,2617,0.44232511532026464,1.4254211233793366,3.872335797067322,51.50936186473061,0.6419146807721305,1.4624496060604828,0.27647405119624335,0.6301209646693371
15,long,orrange,2872,0.4009843687564185,1.3536905295832566,3.3715837411321337,48.74651810584958,0.7745065408245356,1.8488515399592724,0.06335567060187526,0.15123852799581
15,long,none,2872,0.2054236140394729,0.6934933691814873,1.929382767778798,51.21866295264624,0.6191833424894213,1.4780741232475214,-0.13806836221531749,-0.3295877964176874
60,both,orrange,4184,-0.02907613328780284,-0.11847650073143899,-0.21518537421202863,49.115678776290636,-0.39974934244662025,-1.1517768036327112,0.2767314293233765,0.7973317458886165
15,both,orrange,4636,-0.08702020989432874,-0.37324291256056,-0.7304431630704784,47.10957722174288,0.18386814540279103,0.5576515850719174,-0.3221487134434569,-0.9770411306813326
30,both,orrange,4540,-0.12486713620749713,-0.5299999241508028,-1.0093146986208037,48.01762114537445,-0.07185632575031296,-0.2156640043559515,-0.16980729132238273,-0.5096464372903617
15,short,orrange,2952,-0.16180111836618685,-0.5537827521656332,-1.2858647228809774,46.78184281842818,-0.22306248693595868,-0.5398454535724941,-0.11365029998258938,-0.27505116878018865
60,both,none,4184,-0.21806216122979072,-0.8885377415461945,-1.6924275044443589,49.45028680688336,-0.6245503984730691,-1.799484289975796,0.11987071878694854,0.34537721185125736
30,both,none,4540,-0.3615296763407245,-1.5345166619376969,-3.1589749408808547,49.096916299559474,-0.27697204087915667,-0.831282407038173,-0.43365526105049557,-1.3015392748183763
15,both,none,4636,-0.4007550939371544,-1.7188995368572728,-3.8094476167950844,49.46074201898188,-0.0546311871049255,-0.16569029951699152,-0.6911076561937574,-2.0960524678568726
15,short,none,2952,-0.41775717418660513,-1.4298214993447336,-3.751750306201075,49.017615176151764,-0.4062669928475336,-0.9832284757422133,-0.43066246314751055,-1.0422692580364878
60,short,orrange,2312,-0.45790872201116606,-1.3869875422420004,-3.2121624751194005,47.015570934256054,-0.9260615833669321,-1.9834374772111136,-0.11428151914523066,-0.24476800689771908
30,short,orrange,2701,-0.4945710180938052,-1.619163423918357,-3.7273428416854157,46.46427249166975,-0.7719687750727902,-1.7867605208979624,-0.2840337332522216,-0.6576537883868023
60,short,none,2312,-0.6843542796512807,-2.072882246460417,-5.086248927304156,47.318339100346016,-1.1115952434875735,-2.3808132256246184,-0.3709932053554887,-0.7945927576624173
30,short,none,2701,-0.7329066164072336,-2.399444251723772,-6.052682208420624,47.57497223250648,-0.8398034680964545,-1.9437673265559854,-0.6596439480272877,-1.5273444334914383
