range_lo,range_hi,n,sharpe,t,mean_bp,wr
0,50,34,0.30251990665118705,0.11112023363263983,1.0236329217040459,47.05882352941176
50,100,1001,-0.3266184046897112,-0.6509646744625631,-1.4337264138194536,47.55244755244755
100,150,1264,0.512779567410242,1.1484285438592,3.2361573654166325,48.892405063291136
150,200,933,-0.2864697236955643,-0.5512127830736622,-2.3299218774988257,47.266881028938904
200,300,853,-0.2494328411726385,-0.45891037763165393,-2.4571916276795442,48.06565064478312
300,500,397,-0.3182160439123718,-0.3994082720918817,-4.130085768114227,48.11083123425693
500,10000,58,-1.4326660811713716,-0.6873195630694713,-23.49981725295403,48.275862068965516
