code,entry_date,car0,d5,d10,d20,sector,surprise
130A0,2024-05-08,-0.1453167376091189,-2533.6370295270094,-3038.673605104618,-2964.028960192645,医薬品,
13320,2021-11-08,0.0434721012837012,-616.4496172478307,-1104.7459532637804,-658.4453225001218,水産・農林業,
13320,2022-05-13,-0.0526662999263685,116.44025562080552,-166.11303751115858,-354.89248258648854,水産・農林業,
13320,2023-08-07,0.0566532186368335,529.3076674827479,567.0317644263812,62.91065234411697,水産・農林業,
13320,2023-11-07,-0.0949516075313393,255.11160751587212,58.85464064629087,730.541876572759,水産・農林業,
13320,2024-02-07,0.050926577981912,404.5106527289155,216.5835250585335,-8.408704271425371,水産・農林業,
13320,2024-05-15,-0.0423901830138174,-124.07320151350709,-440.8210119993372,-593.9601805427342,水産・農林業,
13320,2024-08-07,-0.0666310807836232,321.1812505353739,20.160885348907694,859.5843083064136,水産・農林業,
13320,2024-11-07,-0.0442255134186274,662.8636670005494,366.9790667998896,351.8726328923594,水産・農林業,
13320,2025-05-15,-0.0111942651538204,-0.5562843993933697,-72.01772813283603,-185.26761064429408,水産・農林業,
13320,2025-05-22,0.0079134381252073,-57.51410333957318,-29.15997870639009,214.24081743267155,水産・農林業,
13320,2025-08-06,0.0615483404597401,30.77978446095697,433.8700390243444,809.973230226384,水産・農林業,
13320,2025-11-07,0.0500790370604022,168.99687797759856,842.6989589963507,504.23463090444767,水産・農林業,
13320,2026-02-09,0.037948953079627,503.9975298474353,341.57183788490863,54.77712160314785,水産・農林業,
13320,2026-05-15,0.119443140013441,419.1374516597812,189.3777794193685,,水産・農林業,
13320,2026-05-21,-0.0176908905965054,-102.67861471646268,,,水産・農林業,
13330,2024-11-13,0.0257911401425965,337.94148562893866,366.02035743282136,-152.14820748021717,水産・農林業,-0.4643333333333333
13770,2022-07-15,0.0839284925173458,-582.9012386047073,-688.2723622428299,-1023.2135710268532,水産・農林業,
14070,2021-04-07,0.0369022885310218,499.01496529846656,326.4388978616328,-274.336084363731,建設業,
14070,2021-04-15,-0.0425268494230315,362.1505464160113,1129.6467006991584,-611.7637628645057,建設業,
14070,2021-07-16,-0.0070662193923886,726.8435138641216,1229.528622925653,-99.05164868922344,建設業,
14070,2021-10-18,0.0922926482621289,1288.570070306847,1658.7335759374355,1314.7987212441435,建設業,
14070,2022-01-17,-0.1429375242530073,1267.895083464543,1044.8366698297484,3456.778227831879,建設業,
14070,2022-03-28,0.0134157839555002,-41.41375361522037,1028.1510590532882,398.1689330901605,建設業,
14070,2022-04-15,0.0184687482300782,-262.53387404328475,-55.62289091699535,-1016.9673738805152,建設業,
