code,date,date_ts,am_ret,pm_ret,pm1_ret,pm2_ret,lme_ret,sector,dow,am_q5
285A0,2024-12-18,2024-12-18,472.22222222222274,565.7894736842106,467.1052631578942,94.28032683846732,-1.3528748590755368,半導体,2,4
285A0,2024-12-19,2024-12-19,544.3940375891132,611.2469437652801,305.6234718826412,302.67062314540016,0.6857142857142895,半導体,3,4
285A0,2024-12-20,2024-12-20,22.222222222221255,-617.4200661521501,-110.25358324145529,-507.5292805354159,1.2485811577752637,半導体,4,2
285A0,2024-12-23,2024-12-23,-929.9719887955182,-172.83950617283938,-123.45679012345734,-43.77736085053208,0.39237668161435924,半導体,0,0
285A0,2024-12-24,2024-12-24,-218.3406113537123,-95.60229445506718,-25.49394518801762,-76.628352490421,0.16750418760469454,半導体,1,1
285A0,2024-12-25,2024-12-25,560.5095541401273,-12.062726176115257,-193.003618817853,190.76923076922992,,半導体,2,4
285A0,2024-12-26,2024-12-26,-517.2413793103448,-56.249999999999915,-43.75000000000018,-12.554927809165228,1.17056856187292,半導体,3,0
285A0,2024-12-27,2024-12-27,43.80475594493171,192.90603609209757,6.22277535780924,186.56716417910556,0.0,半導体,4,2
285A0,2024-12-30,2024-12-30,182.3708206686936,-173.75674056321122,-197.72318753744744,18.326206475258733,-0.22038567493113392,半導体,0,3
285A0,2025-01-06,2025-01-06,47.33727810650956,88.23529411764675,223.52941176470688,-132.33601841196818,1.2749445676274895,半導体,0,2
285A0,2025-01-07,2025-01-07,276.83615819209086,16.51982378854555,-38.546255506607395,49.723756906077114,0.21893814997262506,半導体,1,3
285A0,2025-01-08,2025-01-08,1168.0440771349865,134.32835820895494,-59.70149253731294,195.19519519519469,-0.8192244675040983,半導体,2,4
285A0,2025-01-09,2025-01-09,-620.3007518796989,-14.955134596211783,-29.910269192422454,15.000000000000568,0.6057268722466924,半導体,3,0
285A0,2025-01-10,2025-01-10,194.8051948051943,-146.98677119059255,-142.08721215090648,-4.970178926441138,3.1198686371100237,半導体,4,3
285A0,2025-01-14,2025-01-14,110.83123425692732,-204.8975512243878,-109.94502748625679,-96.00808489135915,-0.26274303730950965,半導体,1,3
285A0,2025-01-15,2025-01-15,-487.06240487062405,-117.647058823529,-80.21390374331583,-43.10344827586188,0.8956796628029506,半導体,2,0
285A0,2025-01-16,2025-01-16,-553.4658785599145,216.27774615822437,-68.29823562891302,280.64146620847555,-0.8877284595300239,半導体,3,0
285A0,2025-01-17,2025-01-17,22.753128555177415,147.55959137343842,215.6640181611813,-61.1450806003333,2.16016859852477,半導体,4,2
285A0,2025-01-20,2025-01-20,-330.39647577092546,-239.5892755276674,-159.7261836851116,-86.90614136732333,,半導体,0,0
285A0,2025-01-21,2025-01-21,-74.54128440366969,131.88073394495348,-11.467889908256534,149.3394600804132,0.979886539453334,半導体,1,2
285A0,2025-01-22,2025-01-22,487.8048780487809,32.573289902280145,54.28881650380024,-21.59827213822907,-1.0725229826353377,半導体,2,4
285A0,2025-01-23,2025-01-23,-133.3333333333331,-263.7244348762113,-139.93541442411163,-125.54585152838472,1.032524522457412,半導体,3,1
285A0,2025-01-24,2025-01-24,93.50935093509261,-136.23978201634856,-261.5803814713902,123.0425055928408,-0.7153806847215116,半導体,4,3
285A0,2025-01-27,2025-01-27,-424.71042471042495,-154.3739279588341,-62.89308176100627,-92.05983889528201,-0.7205352547606791,半導体,0,0
285A0,2025-01-28,2025-01-28,263.4730538922159,-52.35602094240788,-46.538685282140335,-5.844535359439407,0.6220839813374734,半導体,1,3
285A0,2025-01-29,2025-01-29,-63.58381502890143,0.0,29.13752913752843,-29.052876234747504,2.266872746007209,半導体,2,2
285A0,2025-01-30,2025-01-30,305.7025279247494,154.10958904109594,34.24657534246478,113.70096645821448,-1.2594458438287104,半導体,3,4
285A0,2025-01-31,2025-01-31,112.93054771315703,72.62569832402255,55.86592178770999,22.234574763757564,-1.479591836734695,半導体,4,3
285A0,2025-02-03,2025-02-03,69.04487917146041,62.6780626780632,22.79202279202197,34.09090909090917,1.0875194199896354,半導体,0,2
285A0,2025-02-04,2025-02-04,-72.22222222222241,-207.86516853932625,-89.88764044943865,-124.645892351275,1.2295081967213184,半導体,1,2
285A0,2025-02-05,2025-02-05,-79.50028392958552,-45.845272206304074,0.0,-57.24098454493398,-0.15182186234817818,半導体,2,1
285A0,2025-02-06,2025-02-06,-144.0092165898621,58.44535359438963,40.911747516072516,17.4621653084972,0.4561581348200727,半導体,3,1
285A0,2025-02-07,2025-02-07,11.75088131609936,-41.03165298944944,-29.308323563892458,-11.757789535566943,-1.6145307769929396,半導体,4,2
285A0,2025-02-10,2025-02-10,206.12485276796156,264.67203682393637,120.82853855005737,136.3636363636367,0.8717948717948731,半導体,0,3
285A0,2025-02-12,2025-02-12,138.8888888888884,214.63951568519545,55.035773252614106,153.17286652078766,1.499482936918306,半導体,2,3
285A0,2025-02-13,2025-02-13,252.14592274678037,83.8135149292829,-15.715034049240684,94.38909281594077,0.5094243504839557,半導体,3,3
285A0,2025-02-14,2025-02-14,-56.41025641025643,-176.34854771784282,25.933609958506132,-201.75892395240535,0.6588950836289964,半導体,4,2
285A0,2025-02-17,2025-02-17,1128.2051282051286,-569.4444444444447,120.37037037037068,-681.6102470265329,,半導体,0,4
285A0,2025-02-18,2025-02-18,761.9047619047615,438.0530973451324,668.1415929203549,-219.73466003316733,1.1077542799597273,半導体,1,4
285A0,2025-02-19,2025-02-19,-223.99999999999974,127.15340442986056,159.9671862182106,-32.297133629390906,-0.8466135458167323,半導体,2,1
285A0,2025-02-20,2025-02-20,-279.3522267206483,-99.91673605328933,0.0,-99.91673605328933,-0.050226017076848706,半導体,3,0
285A0,2025-02-21,2025-02-21,226.98072805139137,-274.9999999999997,-120.83333333333334,-156.05229860818247,-1.4070351758794009,半導体,4,3
285A0,2025-02-25,2025-02-25,661.8962432915931,823.5294117647052,432.7731092436982,378.72683319903234,-0.46607975142413105,半導体,1,4
285A0,2025-02-26,2025-02-26,-134.51191391237515,-155.09887553315284,-120.20162853819349,-35.32182103610726,-0.3121748178980255,半導体,2,1
285A0,2025-02-27,2025-02-27,763.3587786259533,-109.65688008489516,-254.6869472939517,141.45810663764857,-3.131524008350728,半導体,3,4
285A0,2025-02-28,2025-02-28,-650.6469500924217,476.9412692156094,173.43318880567614,298.33397907787605,-2.370689655172409,半導体,4,0
285A0,2025-03-03,2025-03-03,-424.99999999999983,-718.8081936685287,-472.9981378026071,-258.0140734949177,-2.759381898454749,半導体,0,0
285A0,2025-03-04,2025-03-04,29.166666666666785,173.91304347825985,198.75776397515477,-20.30869212022779,-0.7945516458569779,半導体,1,2
285A0,2025-03-05,2025-03-05,-97.3236009732359,-81.49959250203787,-40.74979625101838,-36.839950880065416,0.97254004576659,半導体,2,1
