label,am_q5,target,n,mean_bps,t,wr
非鉄_全日,0,pm_ret,762,18.13887353676993,3.162805905068508,55.38057742782152
非鉄_全日,1,pm_ret,757,8.966312472811332,1.791954873838562,51.38705416116248
非鉄_全日,2,pm_ret,757,1.6994596445694579,0.34129524035179176,50.59445178335535
非鉄_全日,3,pm_ret,757,3.3178093140882354,0.7093193082214523,53.76486129458389
非鉄_全日,4,pm_ret,758,-11.506330378271995,-1.9056315201489644,47.229551451187334
非鉄_全日_pm1,0,pm1_ret,762,8.571579025671058,2.37540401625858,53.018372703412076
非鉄_全日_pm1,1,pm1_ret,757,-2.438954251481257,-0.8743134092449188,49.00924702774108
非鉄_全日_pm1,2,pm1_ret,757,-3.3894436148707086,-1.1312317539946082,49.00924702774108
非鉄_全日_pm1,3,pm1_ret,757,-2.262803702046307,-0.6788376716076389,46.3672391017173
非鉄_全日_pm1,4,pm1_ret,757,-11.883271814563168,-3.176123707503566,44.253632760898284
非鉄_LME+1%,0,pm_ret,127,-19.044474506691085,-1.7406884848992488,44.09448818897638
非鉄_LME+1%,1,pm_ret,140,13.863580392316827,0.9034593107030671,52.85714285714286
非鉄_LME+1%,2,pm_ret,163,-0.3895593061899903,-0.03546657356196279,52.760736196319016
非鉄_LME+1%,3,pm_ret,140,-5.079172487503552,-0.3520493654050992,50.0
非鉄_LME+1%,4,pm_ret,134,-3.0483880359524957,-0.2773853099248374,52.23880597014925
非鉄_LME-1%,0,pm_ret,140,56.921761747531555,3.5781738851999507,60.71428571428571
非鉄_LME-1%,1,pm_ret,130,-3.2989161748653806,-0.3254633929123107,47.69230769230769
非鉄_LME-1%,2,pm_ret,144,-6.929263261841432,-0.7640436655307249,46.52777777777778
非鉄_LME-1%,3,pm_ret,148,1.7692522428436348,0.20624632522439376,53.37837837837838
非鉄_LME-1%,4,pm_ret,137,-13.775572283084935,-0.752754387758169,49.63503649635037
非鉄_曜日_月,0,pm_ret,125,35.55828950065828,2.2134551156674003,57.599999999999994
非鉄_曜日_月,1,pm_ret,147,-13.438669044982008,-1.1243900215814877,48.29931972789115
非鉄_曜日_月,2,pm_ret,151,-19.492613204630068,-1.4911065445242047,45.033112582781456
非鉄_曜日_月,3,pm_ret,134,-9.883471855192086,-0.7014586751034403,57.46268656716418
非鉄_曜日_月,4,pm_ret,118,-12.965756794889279,-0.6698497685979047,49.152542372881356
非鉄_曜日_火,0,pm_ret,177,-14.294852378754761,-0.9364996055006252,50.282485875706215
非鉄_曜日_火,1,pm_ret,153,-5.116668984818285,-0.39042775599332585,47.712418300653596
非鉄_曜日_火,2,pm_ret,145,5.035851859670412,0.3792072685189295,48.96551724137931
非鉄_曜日_火,3,pm_ret,141,-2.388313587131587,-0.2666409978058926,51.06382978723404
非鉄_曜日_火,4,pm_ret,147,-37.244332348235226,-2.8471336591607215,42.17687074829932
非鉄_曜日_水,0,pm_ret,146,41.871428594396676,3.4084294270115914,61.64383561643836
非鉄_曜日_水,1,pm_ret,137,10.06724264326151,1.0232961296555134,51.82481751824818
非鉄_曜日_水,2,pm_ret,142,12.424430910042634,1.191391529797462,52.112676056338024
非鉄_曜日_水,3,pm_ret,148,11.467403714167096,1.2066466241380263,55.4054054054054
非鉄_曜日_水,4,pm_ret,199,-6.955523752643749,-0.7399241191440641,47.23618090452261
非鉄_曜日_木,0,pm_ret,158,22.676600874552733,2.504019721335246,56.32911392405063
非鉄_曜日_木,1,pm_ret,144,18.426763313542462,1.8520276910831484,55.55555555555556
非鉄_曜日_木,2,pm_ret,154,-1.204742130946289,-0.11412644827395459,52.5974025974026
非鉄_曜日_木,3,pm_ret,170,4.094545212872023,0.4160861962725688,54.11764705882353
非鉄_曜日_木,4,pm_ret,161,-30.69217754551631,-2.0240118974278705,43.47826086956522
