or_min,exit,vol_ratio>=,dir,N,mean_bps,wr,pf,sharpe,maxdd,t_stat
60,stop_1130,1.0,short,291,13.225649001865593,57.0446735395189,1.4202350928176746,1.8293134400121926,-1037.7028949789924,1.9657774519061348
60,1130,1.0,short,291,13.025255851464609,57.0446735395189,1.4112491861973133,1.8127927949055531,-1074.427096227616,1.9480243916971862
60,1130,1.0,both,639,10.444946523755778,55.55555555555556,1.3501288904016893,1.6036714512132584,-1161.848759770613,2.55367459866301
60,stop_1130,1.0,both,639,10.376950589234568,55.55555555555556,1.3470585174188656,1.5868441299818985,-1223.1934041624281,2.52687889636404
60,1130,1.0,long,348,8.287274068688909,54.310344827586206,1.2929140263224017,1.407201902989155,-1109.803938567301,1.653658263157817
60,stop_1130,1.0,long,348,7.994849330396558,54.310344827586206,1.2796874787777404,1.3559610107876945,-1065.1040662812215,1.5934430768220598
60,1130,1.3,short,159,10.789054299086162,57.23270440251572,1.291687180433292,1.321618286712286,-911.2806163664987,1.0497945914498208
60,stop_1130,1.3,short,159,10.755783162959313,57.23270440251572,1.2905263508390377,1.3014702603530865,-1026.2876289892197,1.0337905081884633
15,1530,1.0,long,559,11.381142516277333,54.56171735241503,1.2017617836953305,1.0379222519043338,-3007.0527912820585,1.5458610560445374
30,1530,1.0,long,520,10.615667655658317,54.230769230769226,1.199214981752935,1.0162508197753868,-2588.8342010374035,1.4598300875810746
15,stop_1530,1.0,long,559,9.98207797088601,52.41502683363149,1.1778446461984624,0.9794475633139632,-2676.4014404458235,1.458770001112113
30,stop_1130,1.0,long,439,7.627903571909737,54.66970387243736,1.1872193176249153,0.9489079513955337,-2101.4519975160397,1.2524375373286964
60,1130,1.3,both,379,6.796643138351665,54.089709762532976,1.2003335082884699,0.9440881527698309,-1498.138938812865,1.157795566905387
30,stop_1130,1.0,both,822,7.686541840654072,52.919708029197075,1.187654150845289,0.9412622809128859,-2129.228501733861,1.6999897153841421
30,stop_1130,1.0,short,383,7.7537538510424895,50.91383812010444,1.1881469024659352,0.9330580810969415,-1726.7183353592075,1.150291194282439
60,stop_1130,1.3,both,379,6.691613236761568,54.089709762532976,1.196628991153463,0.9238434325860361,-1564.110000044838,1.132968174237372
30,1130,1.0,short,383,7.09087426175921,51.174934725848566,1.1691612319112679,0.8380769486212155,-1700.5690454762064,1.033196704107341
15,stop_1130,1.0,short,431,6.591422769012505,50.580046403712295,1.1543238104887519,0.7941686933052452,-1779.2509314801746,1.0386067183603782
30,1130,1.0,both,822,6.633635641065192,53.04136253041363,1.1578139737652142,0.7866165642781743,-2003.7900038421776,1.4206880444914665
30,stop_1530,1.0,long,520,7.709548461214977,52.69230769230769,1.1403647140454094,0.7524277573365628,-3003.439573650855,1.0808519486693642
30,1130,1.0,long,439,6.2347235870200715,54.66970387243736,1.1479655326683353,0.7414567682772935,-2663.7170134209714,0.978628419680959
60,1530,1.0,long,449,6.682122722453872,51.89309576837417,1.1265786304437344,0.6746119270514319,-1626.114441061147,0.9004858966177888
15,stop_1130,1.0,both,925,5.434448816388926,51.24324324324324,1.122557554253017,0.6639300357198094,-2466.8549686014658,1.2720169903871914
15,1130,1.0,short,431,5.562844448250929,50.81206496519721,1.1270661115591152,0.6462567474955991,-2225.147148348679,0.8451687977539958
60,1130,1.3,long,220,3.9112187085480956,51.81818181818182,1.1233286238834372,0.6105178403406195,-1186.2366318421923,0.5704392881956292
60,stop_1530,1.0,long,449,5.856904922470842,51.224944320712694,1.1105416463212896,0.598902846304836,-1654.1847723438336,0.7994278560993185
60,stop_1130,1.3,long,220,3.7543267901004733,51.81818181818182,1.1177987404920677,0.5867668910883761,-1252.2076930741653,0.5482475131315929
15,1130,1.0,both,925,5.013303899474209,51.67567567567568,1.1113013622560972,0.5832424826978242,-2698.0811042355353,1.1174285054040431
15,stop_1130,1.0,long,494,4.425024173512889,51.821862348178136,1.0966912626324619,0.5474136212991121,-2936.475125107747,0.7664411323422274
15,1130,1.0,long,494,4.533846457120433,52.42914979757085,1.0982522686904028,0.5281258132712837,-3406.4429352017232,0.7394360143655033
15,stop_1130,1.3,long,303,3.6736372577653076,52.8052805280528,1.0745636086558952,0.42604322339185324,-2060.6919270826056,0.4671697413555553
15,1130,1.3,long,303,3.598455561293879,52.8052805280528,1.072926367372135,0.40107184086526537,-2274.9752950765887,0.43978783812197886
30,stop_1130,1.3,long,277,3.1095583562733196,53.42960288808665,1.0692434492252754,0.37650471650366063,-2736.3267575388727,0.39473899870680074
15,1130,1.5,long,213,3.0644317445698137,53.051643192488264,1.0603490002154699,0.3403198549868502,-2432.525577996017,0.3128792910132707
30,1530,1.3,long,304,3.7741758156013314,50.6578947368421,1.0595097928594746,0.32468927981897366,-2496.593421220713,0.35661899460294233
60,1130,1.5,long,159,1.9361364133987669,50.314465408805034,1.059234664186977,0.29644297161571936,-1382.1414076147125,0.23547209614484063
30,1130,1.3,long,277,2.1296170849683715,53.42960288808665,1.046409465350729,0.2475125843078202,-2902.6280694507686,0.25949972314902364
60,1530,1.5,long,188,2.6991763958271138,47.87234042553192,1.0414756387740904,0.23548055522243413,-2588.841227210304,0.20339192437378467
60,stop_1130,1.5,long,159,1.5212240786064832,50.314465408805034,1.0459573479592692,0.2325034315380541,-1448.1124688466857,0.18468331391612233
15,stop_1130,1.5,long,213,1.7906066440918225,53.051643192488264,1.0344001275537902,0.19947578692455822,-2117.8383489181074,0.18339171774059904
