,top30_annual
2016-12-30,0.06122686555693905
2017-01-31,0.01821937190156411
2017-02-28,0.02306142385956517
2017-03-31,-0.030218274582898427
2017-04-28,0.011950201963717969
2017-05-31,0.003798481444581018
2017-06-30,0.04908585556064307
2017-07-31,0.01756955037795125
2017-08-31,0.018473658762298326
2017-09-29,0.026397509094087165
2017-10-31,0.04195801493554118
2017-11-30,0.04992140895123478
2017-12-29,0.032953778274175685
2018-01-31,0.011612871401057073
2018-02-28,-0.009872203229701892
2018-03-30,-0.03561336820836516
2018-04-27,0.042770779328151286
2018-05-31,-0.038393576233390264
2018-06-29,-0.006796558370538659
2018-07-31,0.012293074798816278
2018-08-31,-0.015359281789315197
2018-09-28,0.04222181466536147
2018-10-31,-0.059318828184754785
2018-11-30,-0.023443369285150412
2018-12-28,-0.09318666123566523
2019-01-31,0.08257046791876914
2019-02-28,0.017516156111030915
2019-03-29,-0.0334803551391303
2019-04-26,0.010795563681358072
2019-05-31,-0.06180795788686426
2019-06-28,0.03241330476177661
2019-07-31,0.01634316867745437
2019-08-30,-0.03208755440937486
2019-09-30,0.05547764438664344
2019-10-31,0.0552029491312267
2019-11-29,0.011502122140541398
2019-12-30,0.005955923010972824
2020-01-31,-0.029318985498281616
2020-02-28,-0.09308657958591675
2020-03-31,-0.13608774529367837
2020-04-30,0.0348670168744108
2020-05-29,0.04647311606604112
2020-06-30,-0.036476541239714354
2020-07-31,-0.054219102637870095
2020-08-31,0.11088778419009065
2020-09-30,-0.02185640860772656
2020-10-30,-0.028069641931627677
2020-11-30,0.04859071605449117
2020-12-30,0.051987924165951695
2021-01-29,0.05070249089992166
2021-02-26,0.08182820028317374
2021-03-31,0.08437402988870926
2021-04-30,-0.03928047236485887
2021-05-31,0.01509984115604008
2021-06-30,-0.0036205116795324176
2021-07-30,-0.008974243556334714
2021-08-31,0.021483501619870782
2021-09-30,0.03109287530744754
2021-10-29,-0.017434940278163155
2021-11-30,-0.03870135950271989
2021-12-30,0.0940421167737739
2022-01-31,0.03029905200666425
2022-02-28,0.03185288342866864
2022-03-31,-0.014067328148814636
2022-04-28,-0.009752640179524954
2022-05-31,0.04363599865771298
2022-06-30,0.00752376946736597
2022-07-29,0.03765746448010495
2022-08-31,0.019353729895756937
2022-09-30,-0.06448129308287616
2022-10-31,0.0471803229033743
2022-11-30,0.06292150897688305
2022-12-30,-0.0063244454040097845
2023-01-31,0.03205473346682617
2023-02-28,0.0723331542674251
2023-03-31,-0.02835621702573477
2023-04-28,0.004353147473613589
2023-05-31,-0.01769246435197335
2023-06-30,0.06091280263544627
2023-07-31,0.04770779317656388
2023-08-31,0.056992704028057735
2023-09-29,0.008736717875530558
2023-10-31,-0.027246087747104002
2023-11-30,0.040899916851844194
2023-12-29,0.014010527799070251
2024-01-31,0.10243306787261201
2024-02-29,0.012311459381145093
2024-03-29,-0.011654146633615648
2024-04-30,-0.02142466064196079
2024-05-31,-0.025172478399438623
2024-06-28,0.020482446093597853
2024-07-31,0.014283429109234603
2024-08-30,-0.017314244706404372
2024-09-30,-0.003946206069153158
2024-10-31,0.007787117039571848
2024-11-29,-0.01590197156587271
2024-12-30,0.048523623235985816
2025-01-31,-0.003995358321825093
2025-02-28,0.007363227385343163
2025-03-31,-0.022755337153789156
2025-04-30,-0.011676631175139316
2025-05-30,0.017067217119563362
2025-06-30,-0.00448124236326416
2025-07-31,0.0438667429921585
2025-08-29,0.057925361898625655
2025-09-30,-0.01338083410591303
2025-10-31,0.0011975505026874907
2025-11-28,0.05451511410324131
2025-12-30,0.03237710659079174
2026-01-30,0.04191502902616611
2026-02-27,0.10019462400189387
2026-03-31,-0.11325991657891026
2026-04-30,-0.012136515283365427
2026-05-29,0.012557546477551427
2026-06-30,-0.012511820255165075
2026-07-31,0.04466803096075212
