date,高配当Q5,高配当Q5×質,低配当Q1,無配,市場EW
2016,4.760303519879372,3.7077063414973965,1.5498713874338321,4.833074469189791,3.6543098535630314
2017,19.782084077698347,17.197189582908457,22.884584350886115,9.543018247760093,21.81246385668516
2018,-15.290310335983847,-18.100293900517894,-24.964678663730844,-26.09823459467503,-21.58080733731824
2019,23.405058820329614,16.958341467362704,14.762632159262434,15.930984547208627,17.541113226963432
2020,-11.481242546943982,-10.879254871880894,15.742290683448768,1.4251988889449452,2.7626842208836377
2021,22.978912197638813,20.349983016586904,2.3251257884357335,-10.415801134194814,5.148520499337361
2022,18.786592277019597,6.755071729885387,-8.650262634700677,-16.375765916020292,-0.5095201321207776
2023,29.501890133641684,16.163241921639425,8.997626582020434,-12.331169524954365,12.603321261222256
2024,17.7607993928534,20.05810056363959,6.677636682816934,-13.441062975118223,12.559468422276755
2025,27.246426683463866,25.164683587977343,12.186531849809178,4.129564250061746,21.831480625020426
2026,13.8686038453812,7.775571785985669,7.264522962050424,7.185525560498496,14.648360607620647
