,top10,top20,top30,top50,topall
2016-12-30,0.07073219818588176,0.057672062139786255,0.06122686555693905,0.05441043762826496,0.04769492044103431
2017-01-31,0.02601498734360874,0.018097758752296918,0.007039345595134736,0.018271613239252592,0.010324861834606493
2017-02-28,0.05464500341015692,0.042350716646744016,0.030883992772795955,0.025424205223699533,0.020853596507397647
2017-03-31,-0.03732181648492643,-0.027570680370416094,-0.02844754438083499,-0.031054994223728417,-0.025440707342211474
2017-04-28,-0.018509824547952917,0.015316035010159434,0.024111863016113802,0.025435561432774055,0.02239507089467385
2017-05-31,0.01586447611836695,0.012267266545637631,0.01193737073049388,-0.000698925830692438,0.03647156963302986
2017-08-31,-0.025329815691863936,-0.01780201141386137,-0.011482569378518149,0.0019894437569308934,0.0025261186955458123
2017-09-29,0.05753127258692801,0.040146699862829205,0.03310566460642702,0.03361239239820405,0.040242018004494486
2017-10-31,0.028467262375067647,0.031025524640408777,0.027106784016928367,0.027474446731120584,0.04385594146682039
2017-11-30,0.005168951229884646,-0.004458259024346596,0.00413830857048485,0.0014513868132487863,0.004585786899629135
2017-12-29,0.016033616708483512,0.01686411424189798,0.03290044494084235,0.03708977418862713,0.029019142542945384
2018-01-31,0.02185486566213211,0.010290467659796163,0.0075293391837061305,0.00918002600746071,0.014116151000210592
2018-02-28,0.0017241389425333665,-0.009380295772660044,-0.011846804712705373,-0.014977725758677157,-0.04093896509631068
2018-03-30,-0.026285280552790193,-0.03125622653120133,-0.02946260478951016,-0.030827193070217772,-0.03064275988608469
2018-04-27,0.0443214619571607,0.05968999236782106,0.040303710452904075,0.04595268326780131,0.048458376569973816
2018-05-31,-0.033016817382506766,-0.03487308947827556,-0.03691542417256717,-0.03684762600802119,-0.02726283623820189
2018-06-29,0.011568658645941126,-0.008314142681051467,-0.011515150788143573,-0.021137959082668217,-0.016522825144522704
2018-07-31,0.043694299679211186,0.04575035922430272,0.03425729624804616,0.021803772668365067,0.03148915973703837
2018-08-31,0.0028057332290497136,-0.0004985647571493845,-0.007734304242489987,-0.004780090599570959,0.002490052508720075
2018-09-28,0.008870372928801546,0.0024341933417942416,0.02106385502699689,0.02838302857485872,0.03697838235706159
2018-10-31,-0.046755297558151034,-0.04419722856288038,-0.03904842052421592,-0.055763053032219866,-0.08168994612797773
2018-11-30,0.014864019257043561,-0.011725424622213222,0.006839061148469802,0.00961962928501711,0.019555160010557522
2018-12-28,-0.08174710959836955,-0.08737657314807662,-0.0930933279023319,-0.09352887158891585,-0.10966416111270517
2019-01-31,0.07583666803317966,0.10419455891830946,0.09792449244961618,0.09236350563967281,0.0832483404266075
2019-02-28,0.03551981515627756,0.0200374868289063,0.016782427681717664,0.01025012060561806,0.011986368161111113
2019-03-29,-0.06913293912329618,-0.04359158789781167,-0.039684982112596835,-0.03731152943547109,-0.03084095225104334
2019-04-26,0.022090772954323136,0.02562582802656973,0.029033312605501422,0.023047076233718374,0.02859213889072147
2019-05-31,-0.06994640305646045,-0.06604043765882672,-0.08689077821969915,-0.07050283150593167,-0.07194589968598825
2019-06-28,0.03942149802492431,0.05680632367393145,0.05805376900999143,0.04968704140498308,0.058120435676658096
2019-07-31,0.0674593492070532,0.022717643486558775,0.021596482874640024,0.028916217181205676,0.021596482874640024
2019-08-30,-0.032318121479333856,-0.0420481515609236,-0.04271724912598264,-0.04327553232536404,-0.046376743876131124
2019-09-30,0.05394847877278465,0.05922758313898332,0.05974979012999932,0.06402390784388996,0.06652843945989527
2019-10-31,0.05033142795040075,0.06494290016605266,0.05732462055976533,0.05743092882836553,0.06928949056210215
2019-11-29,0.015972416984841423,0.0030840315263089635,0.015508783381081526,0.024475292844109375,0.02021704705108198
2019-12-30,0.006687112226900807,-0.00027653587488222494,0.006089256344306158,0.008094686054236116,0.009981708420512337
2020-01-31,-0.017235781924034282,-0.022361928687413393,-0.029183104313581752,-0.03213405985373867,-0.03714959990884378
2020-02-28,-0.10588506699658334,-0.09802258534521227,-0.10274527561212007,-0.10318603223322155,-0.10180342325013945
2020-03-31,-0.13748264207332717,-0.12188599656044433,-0.14236468355074808,-0.13552953810983567,-0.12715644574325616
2020-04-30,0.022225071195706853,0.027737142561704297,0.03748181640515703,0.05172266818776999,0.0474775448480667
2020-05-29,0.030795536383071608,0.061241026690280385,0.05391099682139345,0.08131511115282232,0.07276994665743206
2020-06-30,-0.009115009387135517,-0.023161069513635214,-0.04104618191155439,-0.03666590653806524,-0.04097951524488772
2020-08-31,0.12595592540596787,0.12736291866821023,0.12289932682420329,0.1213995961093345,0.11590900516311238
2020-09-30,-0.034734973449548935,-0.03707441732712041,-0.028397568593126133,-0.02226012988517159,-0.0047225279491181415
2020-10-30,-0.007975830491992032,-0.01935304533090437,-0.024401636224845962,-0.027674079841024858,-0.02806236001231181
2020-11-30,0.0688736137328271,0.056518721185577596,0.05905944763013238,0.058801897296977115,0.06402245542900789
2020-12-30,0.05916239414866915,0.05146332080131113,0.052147924165951695,0.047209597566830505,0.044557044485415476
2021-01-29,0.06420157188844225,0.05619416437368323,0.05709574450403444,0.046921998280449656,0.04009097408674198
2021-02-26,0.1142615839026418,0.11322181883910129,0.09642363771441595,0.08520427176652484,0.06664523081224738
2021-03-31,0.051160834498354006,0.08350628717014634,0.07315071511524464,0.08542006963512803,0.0819746677483546
2021-04-30,-0.036705759825359285,-0.038716205381441084,-0.04244180362588982,-0.037415594781124904,-0.03597997534624551
2021-05-31,-0.010588695887141527,0.004002901474773881,0.011285142919243887,0.012973396026706802,0.009794398856574876
2021-06-30,0.02985762833840098,0.017364504928946603,0.005726060078157241,0.009040382687644018,0.00490854975522035
2021-07-30,-0.026716197583803825,-0.008223705065383917,-0.020084992478998052,-0.015843151657986446,-0.019456487140005627
2021-08-31,0.06761788940255975,0.04184577913757516,0.03537049272573029,0.029862221840384142,0.02883029699074809
2021-09-30,0.004722298125741635,0.02704671794182569,0.029450253553239176,0.036523330770896985,0.036498136988026494
2021-10-29,-0.028121775373634892,-0.036819017867943005,-0.029148633433873458,-0.016920356161633964,-0.012165993310748795
2021-11-30,-0.037373937763951426,-0.031093725156980365,-0.04461642497393464,-0.04450321098393654,-0.05041966335383599
2021-12-30,0.1768736404732668,0.10663834276176834,0.09414878344044057,0.07942053744952315,0.07002029039803193
2022-01-31,0.0293831727825764,0.024844415594240953,0.02720906811610437,0.03319023421790778,0.027602659108918362
2022-02-28,0.07187981836770146,0.039700637573660144,0.04945591140125436,0.04071976661059752,0.025252181060331075
2022-03-31,-0.008070440226572726,-0.014715199242055008,0.00479611167618853,-0.0030862742183916216,0.005789565752226717
2022-04-28,-0.0658941613737966,-0.029972064424461087,-0.015970370312134385,-0.003949253420497077,-0.0027676766616180916
2022-05-31,0.04183202869092167,0.04011191354056985,0.04006064903302071,0.024233583230240434,0.009327098409874024
2022-07-29,0.04228502279491312,0.05024854497581328,0.04268386739174279,0.04099578622106371,0.04273720072507613
2022-08-31,0.10709706651731493,0.07207153226541092,0.06692592025365728,0.04835721695187933,0.046688833238168366
2022-09-30,-0.12575129645756686,-0.08804379812467075,-0.07082893527950868,-0.0675396203835074,-0.06179328445977814
2022-10-31,0.03940344425909861,0.04712119670759459,0.04731109469528864,0.045879345920850086,0.04655743005362561
2022-11-30,0.13818988454042835,0.0875149453461069,0.07637022420527799,0.062414902739619395,0.049490537994568796
2022-12-30,-0.0013490733412343204,-0.003970868201878842,-0.006151112070676451,0.0002891468552455693,-0.013001306416850456
2023-01-31,0.045523350039691796,0.03673248166472371,0.032416925381964404,0.04471982521459133,0.04754036058162291
2023-02-28,0.07442136378322645,0.058723926863199404,0.06652843118712261,0.06302488519276844,0.05096492917278328
2023-03-31,-0.06639849149756342,-0.036395598848342106,-0.0254743090777644,-0.014606624463989764,-0.015978201231769646
2023-04-28,-0.011610569563045568,-0.01180907491849403,-0.0023215030476737212,0.005029539274301581,0.020973595351648236
2023-05-31,-0.07463917064115409,-0.04243073214228291,-0.02058912159688441,-0.0035316239341514873,0.006381925320701226
2023-06-30,0.07171856525726886,0.07237817437639842,0.07056720619274405,0.07622101108451827,0.07005760843216476
2023-07-31,0.0052122537954746384,0.011511027008504721,0.012448519635859176,0.01838479082837803,0.012772616936321856
2023-08-31,0.02270452894486401,0.026673639636802308,0.019049846658574055,0.01785839274022568,0.020630435870987396
2023-09-29,0.012314885348049361,0.0011235349476932054,0.0016737133034007848,0.009807677780416428,0.0223005810002664
2023-10-31,-0.009210217297172585,0.010962048940911679,0.001850614839398564,-0.012730105428330665,-0.01462627090185329
2023-11-30,0.03053012847331145,0.046290327876732956,0.044950438957128094,0.032956072073638015,0.04264827288529687
2023-12-29,0.010230174314833631,0.006201890085747137,0.014170527799070251,0.00968718957265072,0.0011368202607075937
2024-01-31,0.11766822943424997,0.11107514745355707,0.11626607368189569,0.10172044368657024,0.09158083207528507
2024-02-29,0.03442948502039616,0.02025832074167844,0.022675410646320397,0.027049055194851835,0.02266094905875431
2024-03-29,-0.009850567075694493,-0.011306268557447435,-0.0047301569087625376,0.004884020132239673,0.02404502392791184
2024-04-30,-0.02229119358037687,-0.02340495984787627,-0.018785571443291484,-0.012605778826117318,0.00010847824404476724
2024-05-31,-0.03173455377213586,-0.018082477930981344,-0.013777860370855054,-0.01649482541839801,-0.018455276936609234
2024-06-28,0.033789662540263714,0.013169304345292107,0.0035382031518581573,0.002531523365274742,0.0018364189640012695
2024-07-31,0.027098074523713746,0.038848377013151185,0.02876864961557545,0.027449157617795837,0.029956816185098174
2024-08-30,-0.012958604318357828,-0.03181142833477442,-0.04096737063812968,-0.040083910498945566,-0.03105117240115949
2024-09-30,0.05003397737885844,-0.004585975922551505,-0.01000756992870488,-0.017129962381405718,-0.015247845757734402
2024-10-31,-0.027851191846019453,-0.01365004537096954,-0.008438744192087316,0.00355709680510356,0.013206214837566375
2024-11-29,-0.020835223557155013,-0.0013282959828917762,-0.003911096174025927,0.006317803776822213,0.003721991639318471
2024-12-30,0.04881585136349971,0.046442235450645575,0.04869695656931915,0.05086542845669237,0.048366886065227085
2025-01-31,0.01909202359085256,0.005874608226615845,0.0017746073528458358,-0.0019177451012778257,0.001143854153986156
2025-02-28,-0.016688412398969794,-0.01434691453949953,0.003997411885534714,0.01020367991145705,-0.008182214239828357
2025-03-31,-0.07282677304045433,-0.04267244173843835,-0.039573238732104665,-0.028607141090042452,-0.0022262605202455913
2025-04-30,0.012645588878755368,-0.001636565061696051,-0.004743089429533794,0.0028151111628091897,-0.0056347314183519265
2025-05-30,0.02944363450621104,0.039472846906570824,0.05230972772391315,0.039380247280491686,0.039663414311570354
2025-06-30,-0.004960503416703792,-0.0046417057743510775,-0.008789438460487296,-0.0028297507386461874,-0.008931207705595572
2025-07-31,0.04383468902720378,0.033059326049975246,0.046860915138353054,0.048453611365751395,0.04554801209598781
2025-08-29,0.10266185634537388,0.08080680723654902,0.07427507641290965,0.07682821816752464,0.0732344821515382
2025-09-30,-0.005504449609573206,-0.009979266267379544,-0.009406076564878931,0.002296598891397114,0.009506177444231772
2025-10-31,0.0024140251485060228,-0.007919649108346619,-0.014975040777498368,-0.0058062211340675395,0.001863881199459315
