分位,年率,Sharpe,MDD,勝率,N月
Q1,4.6958311361588345,0.3341237391178688,-28.779007580107553,57.647058823529406,85
Q2,5.501940331620014,0.4131881185530256,-27.71780475048019,63.52941176470588,85
Q3,7.607451577975977,0.5476057259979404,-26.759734207291373,67.05882352941175,85
Q4,6.537916209623718,0.46008358219456674,-32.03825223474587,63.52941176470588,85
Q5,13.86079980054733,0.8919193919897329,-28.505968398637627,64.70588235294117,85
市場EW,7.9734218406451784,0.5694023480173324,-24.77747826580119,65.88235294117646,85
