entry,exit,thresh,label,full_n,full_sharpe,full_t,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
11:00,15:25,300,Full,14,6.7406405692842055,1.588784218694004,7,4.004111556208731,0.6673519260347883,7,8.76081093876145,1.4601351564602416
10:30,15:25,300,Full,11,4.545378565770074,0.9496555962344733,5,7.0110613734140586,0.9875713916506083,6,2.055773473732139,0.3172127337600756
11:00,15:25,200,Full,87,4.2912307971098835,2.521396983504773,43,4.630798419153438,1.912889281835972,44,3.8868056727450795,1.6241229218596072
11:15,15:25,250,Full,53,3.211366834926087,1.4727450860102227,26,2.3066537110298637,0.7409157110656944,27,4.2302482049201195,1.3846737576783936
11:00,11:25,300,Full,14,2.7216601106458267,0.641501440107531,7,9.427655872568538,1.571275978761423,7,-10.299425564023066,-1.7165709273371776
11:25,15:25,250,Full,50,2.70806877758944,1.206269707804691,25,1.550402544445869,0.4883309005530398,25,4.0633862330632535,1.279846363510585
11:25,15:25,200,Full,101,2.3619221777389585,1.495291968282302,50,3.0259319152814754,1.3478572027009468,51,1.692493850558375,0.7613983249902192
11:15,15:25,200,Full,105,2.3097546542719405,1.4909402183033824,52,2.210562375553676,1.0041629081990573,53,2.4048855581384894,1.1028896947074969
11:00,15:25,250,Full,40,1.870133718966761,0.7450791080633332,20,0.8692819435372915,0.24489244437973864,20,3.149527091098426,0.8872787404748543
10:30,15:25,200,Full,72,1.8565753108355154,0.9923812465556903,36,2.4647221960964285,0.9315774259617318,36,1.0951679335055684,0.4139345708440365
10:30,15:25,150,Full,165,1.8347199571177097,1.4846069411573242,82,1.6175713283964166,0.9227203444872144,83,2.056901190636221,1.180462527334933
11:25,15:25,150,Full,216,1.8124226523675129,1.677977320844923,108,1.4658772578684602,0.9596419276709315,108,2.1459307424866174,1.4048414376539589
11:00,15:25,150,Full,208,1.4151953770589643,1.2857241408005537,104,2.193848240515168,1.4093633745880234,104,0.6754907614659863,0.4339461233012093
11:15,15:25,300,Full,22,1.4110418307659482,0.41691830049159234,11,-1.4806400248949794,-0.30934674973811493,11,8.089453098143471,1.6901110202306626
11:15,15:25,150,Full,217,1.303173148012659,1.2092935020169824,108,1.7528853153633859,1.1475328060327505,109,0.8076367443627839,0.5311645079001058
11:25,15:25,300,Full,25,0.33845127425531024,0.10660213126100815,12,-0.6494057296228491,-0.14171194822546343,13,1.8821530948068435,0.42749038576296977
10:30,15:25,250,Full,31,-0.25136705196750575,-0.08816352139632076,15,2.805062913150127,0.6843652753921085,16,-3.9047079363470014,-0.983893918277561
11:00,11:25,200,Full,87,-0.703772875265544,-0.41351558297962715,43,1.7835075022766347,0.7367309211880374,44,-2.9318396010946293,-1.2250851471024427
11:15,11:25,200,Full,105,-1.9113984467859808,-1.2338023920614711,52,-0.3491039727310009,-0.1585828404564258,53,-3.0677481567435967,-1.40688101210494
11:15,11:25,300,Full,22,-2.25625246785351,-0.666651352119608,11,0.13388395961986224,0.027972070897793713,11,-4.398168040236621,-0.918899236258156
11:00,11:25,150,Full,208,-2.3712810719445647,-2.1543409258151587,104,0.8518055346963328,0.5472135677855605,104,-5.1128873982870955,-3.2846010514594024
11:15,11:25,150,Full,217,-2.3736532185901518,-2.2026569666971714,108,-0.9583204290191893,-0.6273679865718558,109,-3.6206336190990505,-2.381209235462251
10:30,11:25,300,Full,11,-2.508980795264412,-0.5241956458832375,5,3.7950434107846314,0.5345661809173421,6,-9.126107970465632,-1.4081890319585946
10:30,11:25,150,Full,165,-2.6106642139552685,-2.112480543983292,82,-0.28308473796964556,-0.16148162517035552,83,-5.040865377611916,-2.892969633495305
11:15,11:25,250,Full,53,-2.84896687185419,-1.3065470799214207,26,-3.6798829937705833,-1.182007993627609,27,-2.2281723542034286,-0.7293406053246548
10:30,11:25,250,Full,31,-3.7803206470101816,-1.325895250148851,15,-0.2984373515699892,-0.07281125829192987,16,-7.569409588606757,-1.9073119374324963
11:00,11:25,250,Full,40,-3.828773980691377,-1.525420066799155,20,-1.7293029899663548,-0.4871759265616033,20,-6.603520602258482,-1.8603311777287237
10:30,11:25,200,Full,72,-4.124967371197907,-2.2048878049491623,36,-1.4741405427799728,-0.5571727533933685,36,-6.937478217660305,-2.6221202985509704
