sym,name,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
6920.T,レーザー,10,2.1890847853813704,0.43607612729107587,10,6.918906951227448,1.3782792555716086
6146.T,ディスコ,8,6.860452593423848,1.2223553867998471,8,11.200347141843153,1.9956124579861827
6857.T,アドバン,8,2.057538039321309,0.3666001144473785,9,1.6279346016492346,0.3076507219029196
5706.T,三井金属,11,5.62152056536025,1.1744914943816338,11,1.4042085175794465,0.29337808891029343
5711.T,三菱マテ,3,-10.423752704670262,-1.137324661777432,4,13.140663957748886,1.6555680425939678
5713.T,住友鉱山,6,0.719609633952515,0.11103817718386777,7,-3.0701308288623643,-0.5116884714770608
