sig,h,split,n,ndays,raw_bp,abn_bp,t,hit,net_abn_bp
newhigh,1,全,10339,842,-15.229802143148431,-9.090857400106064,-1.889300591291052,0.47789921655866135,-19.090857400106064
newhigh,1,IS,5532,510,-15.696846670670958,-8.304939633433293,-1.6814234643434662,0.4774041937816341,-18.304939633433296
newhigh,1,OOS,4807,332,-14.692317157449528,-9.99530863481248,-1.0629688228761105,0.4784688995215311,-19.995308634812478
newhigh,5,全,10323,838,8.218889764044548,3.04969935915152,0.9667505976446281,0.47331202169911846,-6.95030064084848
newhigh,5,IS,5532,510,-15.04953511954879,-6.435423577242968,0.7505612595823156,0.4745119305856833,-16.435423577242968
newhigh,5,OOS,4791,328,35.086125509408426,14.001838804806765,0.6088755125932653,0.47192652890836984,4.001838804806764
newhigh,10,全,10260,833,51.46369108581887,19.492924509614497,1.0125518221678458,0.47066276803118906,9.492924509614497
newhigh,10,IS,5532,510,12.665671546793588,2.9416145805026015,-0.09943378953975654,0.47993492407809113,-7.0583854194974
newhigh,10,OOS,4728,323,96.85934338909465,38.85879729469213,1.1582281265095482,0.45981387478849406,28.85879729469213
newhigh,20,全,10126,823,103.88431010837185,27.980968010300856,0.5642138077015794,0.47965633023898874,17.980968010300856
newhigh,20,IS,5532,510,9.891909627664091,1.5321340883349654,0.12906583007374128,0.49168474331164136,-8.467865911665035
newhigh,20,OOS,4594,313,217.06801917656406,59.830108031266306,0.6010023531285205,0.4651719634305616,49.830108031266306
volsurge,1,全,37682,940,-7.2696238931423185,-4.940503298729909,-2.683656207143778,0.47062257841940447,-14.94050329872991
volsurge,1,IS,20914,591,-7.319472225828119,-5.10581181089024,-2.5118050431636183,0.47035478626757193,-15.10581181089024
volsurge,1,OOS,16768,349,-7.207450227243534,-4.734321152778026,-1.2074221177233864,0.47095658396946566,-14.734321152778026
volsurge,5,全,37592,936,15.960404002302162,-1.6575686718929437,-1.4410850785344396,0.45507022770802297,-11.657568671892943
volsurge,5,IS,20914,591,-3.5564773167212183,-10.021350366850815,-2.5988969424497874,0.46284785311274745,-20.021350366850815
volsurge,5,OOS,16678,345,40.434325090325615,8.83050725857528,0.526076402608697,0.44531718431466605,-1.1694927414247216
volsurge,10,全,37403,931,79.3778412510304,19.44859660510492,0.30571404187096746,0.4507392455150656,9.44859660510492
volsurge,10,IS,20914,591,26.178948690377606,-11.186751809728625,-2.4061831079467075,0.4602180357655159,-21.186751809728626
volsurge,10,OOS,16489,340,146.85322720612123,58.30526934134292,2.8826403374505603,0.4387167202377342,48.30526934134292
volsurge,20,全,36905,921,160.92260507585283,40.48570017174853,1.0442780182670466,0.449966129250779,30.48570017174853
volsurge,20,IS,20914,591,65.5408808925974,-11.311331009551289,-2.3185464819225903,0.45510184565362916,-21.311331009551292
volsurge,20,OOS,15991,330,285.6686109271819,108.22900016084894,3.279368670149836,0.4432493277468576,98.22900016084893
goldencross,1,全,9437,881,-4.8199875952846725,0.022012608856491353,0.343328960698243,0.4900921903147187,-9.97798739114351
goldencross,1,IS,5687,537,-7.38019332104415,-0.34721494443033357,0.3084964786166478,0.48988922103042026,-10.347214944430334
goldencross,1,OOS,3750,344,-0.9373502719795637,0.5819585010010704,0.18200790389325688,0.4904,-9.41804149899893
goldencross,5,全,9388,877,16.650608476541983,-0.05335534288211488,-0.37180929126642726,0.46602045164039196,-10.053355342882115
goldencross,5,IS,5687,537,7.423928663275573,1.1153188524611444,-0.5363282334401498,0.47599788992438896,-8.884681147538856
goldencross,5,OOS,3701,340,30.828432874825165,-1.849153815975092,-0.07378004864203798,0.4506890029721697,-11.849153815975091
goldencross,10,全,9324,872,58.304346454290666,4.828388487812158,0.04264670440530916,0.4588159588159588,-5.171611512187842
goldencross,10,IS,5687,537,27.250396609689528,0.5337207879794486,-0.9879620568718999,0.47019518199402144,-9.466279212020552
goldencross,10,OOS,3637,335,106.86189739359412,11.543751481749084,0.6753887505317577,0.4410228210063239,1.5437514817490832
goldencross,20,全,9202,862,121.53328952312646,0.05316601350686493,-0.7852283616927254,0.45044555531406216,-9.946833986493136
goldencross,20,IS,5687,537,50.997943829818716,1.823205084027354,-0.9046389858693993,0.46263407772111836,-8.176794915972646
goldencross,20,OOS,3515,325,235.65406077713524,-2.810621239423447,-0.3450315722325386,0.43072546230440967,-12.810621239423448
gapup,1,全,15943,927,-4.188491303628907,-15.40190816250406,-3.447419844475149,0.45443141190491126,-25.40190816250406
gapup,1,IS,7073,580,26.622457561449263,-11.792033125213239,-2.3471236666489985,0.4556765163297045,-21.79203312521324
gapup,1,OOS,8870,347,-28.757357292659112,-18.280447749737203,-2.6473534158796914,0.45343855693348367,-28.280447749737203
gapup,5,全,15882,923,147.25884122012104,32.01641779127093,0.03581697649245835,0.4677622465684423,22.01641779127093
gapup,5,IS,7073,580,120.8497477172908,-9.862504385928478,-0.864476991829199,0.4544040718224233,-19.862504385928478
gapup,5,OOS,8809,343,168.46346357742812,65.64221147492758,1.2593595389644094,0.4784879100919514,55.64221147492758
gapup,10,全,15767,918,268.26507595858527,79.22370792660621,0.844324601896538,0.46730513096974696,69.22370792660621
gapup,10,IS,7073,580,227.77108883397085,5.509399240266339,-0.8060883542260047,0.4522833309769546,-4.490600759733661
gapup,10,OOS,8694,338,301.20894195034947,139.1939523869791,2.1924818760563247,0.47952610996089257,129.19395238697908
gapup,20,全,15333,908,403.864487898492,131.4837845879433,-0.09371487944030721,0.4655318593882476,121.48378458794326
gapup,20,IS,7073,580,224.74695620216613,-15.527274584451076,-1.6386501153932276,0.44337621942598615,-25.527274584451078
gapup,20,OOS,8260,328,557.2420062626702,257.36867823520055,1.491421745594456,0.48450363196125906,247.36867823520055
pullback,1,全,58500,843,1.3624585038915924,2.01743812259981,0.9964716437558233,0.4944273504273504,-7.98256187740019
