date,ret,gap,o2c,dd20,dd20_prev,fwd1,fwd2,fwd3,fwd5,fwd10,fwd20,nx_gap,nx_o2c,vix,vix_20d_max
2018-10-30,6.1765313874109555,0.5634956778162845,5.581820422422095,-16.147303989769092,-21.712554935751747,5.672705870650896,7.342782486710875,13.181607002153694,11.858888196610051,5.4912970330446065,7.574164074480061,4.518366300493918,1.229236413109416,20.8,21.7
2018-10-31,5.672705870650892,4.518366300493918,1.229236413109416,-10.70771402561823,-16.147303989769092,1.5804238211750254,7.10580946104864,5.988491385448258,6.920465773131013,0.5593523339696649,2.1825148303052266,1.8981126402305226,-0.30119217963910605,20.3,21.7
2018-12-27,5.403281685348684,6.28066388504428,-0.8113121874828145,-18.70741720737209,-22.874713677982406,0.6919755203279143,-4.665572119090234,0.201138807877288,2.140177976981672,3.868626611180548,13.853918638211704,-0.9929780066805404,1.702057237479798,25.25,25.95
2019-01-07,5.104882921253741,4.460276092577913,0.6172755610370511,-16.96049755014226,-22.500181285033282,2.0238427509092327,1.9351468378240977,2.4904602008531285,6.89264680687296,6.660067213164544,14.4420260406525,0.7447571987479008,1.2660420591733932,21.35,25.95
2020-03-24,11.173755860994083,5.016350515195588,5.849376666057958,-23.377072914163787,-33.685265924848686,7.625831206683209,2.758659557109322,6.031736544149546,3.5057092611855856,6.19521709065447,13.974604758383702,7.435321182263211,0.19414694998547996,46.7,81.95
2020-03-25,7.6258312066832,7.435321182263211,0.19414694998547996,-17.168576138988644,-23.377072914163787,-4.522308069544234,-1.481145041725529,-3.891950915164566,-8.770422509293674,-0.25995726934270325,6.5862787035007475,-2.7930505503593244,-1.775220800219873,51.45,81.95
2020-04-06,5.299386661183709,-0.6359085200728791,5.9804391105918535,-10.5132152067549,-18.734235638342454,6.074881271485277,7.224410141568538,8.665485471023683,7.879373934038858,17.81150833438656,29.204966635094888,5.203924175231608,0.8180169785677388,42.11,81.95
2024-08-06,11.560491587808944,11.028307796770058,0.5019674336055922,-27.417391301109372,-34.93878731991686,1.851301999581878,1.1131446064286399,0.3791403035589447,7.206103642123263,10.94225061216223,1.1126167517687247,-3.008158971446239,5.00198562263949,24.36,31.0
2025-04-08,9.528132132050954,6.98572821940287,2.4349654731138375,-24.375260739672534,-30.954050079890315,-6.1162110396625335,5.775838483913542,4.796773399573184,8.776507356580133,3.896710234720824,21.138556436565636,-4.647605366129361,-1.5382720296817582,39.5,39.5
2025-04-10,12.666776293615566,14.91668013730765,-1.9386867720285532,-20.007297946115266,-29.0006293910287,-0.9256037091015523,2.3179972062232768,2.836818800659202,2.160135346974923,3.340238979253929,20.63848192105999,-6.102834033848332,5.525071472970241,35.2,39.5
