code,date,upper_limit,adv20,ret,nx_gap,nx_o2c,d1,d2,d3,d5,d10,mkt_ret,broad_rally
13050,2025-04-10,False,874654731.75,8.27202227082919,-5.179063360881543,2.34359868293628,-2.9568411386593203,-2.0752984389348024,-0.9733700642791552,-0.27548209366391185,1.78145087235996,6.355123062876405,True
13060,2025-04-10,False,7440193612.25,8.42696629213483,-5.329385640266469,2.30648944487881,-3.1458179126572907,-2.29459659511473,-1.2583271650629164,-0.5921539600296077,1.70244263508512,6.355123062876405,True
13080,2025-04-10,False,1410490208.25,8.2520325203252,-5.069470521967705,2.25474683544304,-2.9290274126924523,-1.6898235073225685,-1.0138941043935412,-0.3004130679684566,2.06533984228314,6.355123062876405,True
130A0,2024-02-09,True,4631127700.0,20.15193922431028,9.31780366056572,-18.63013698630137,-11.048252911813645,5.65723793677205,-9.816971713810316,1.33111480865225,-21.597337770382694,-0.301955951733269,False
130A0,2024-02-14,True,10550174666.666666,18.78039655817434,5.19685039370079,-18.862275449101798,-14.645669291338583,-19.968503937007874,-4.094488188976378,-12.94488188976378,-29.007874015748033,-0.9405141093008504,False
130A0,2024-02-19,True,7649665783.333333,19.83471074380165,2.46305418719212,-9.262820512820513,-7.027914614121511,-9.22824302134647,-16.978653530377667,-22.627257799671593,-32.34811165845649,1.3568698717102192,False
130A0,2024-03-06,False,5227971229.411765,10.29126213592233,6.60211267605634,-9.578860445912468,-3.609154929577465,-7.350352112676056,-24.823943661971832,-18.221830985915492,-32.0862676056338,0.953962672845901,False
130A0,2024-03-12,False,4298571320.0,12.70491803278689,-1.2467532467532467,-2.261967385586533,-3.4805194805194803,-7.012987012987013,-13.142857142857142,-15.792207792207792,-0.7792207792207793,0.88363705076562,False
13200,2024-08-06,False,2478837137.0,9.87538940809969,-2.495038276155373,4.710671706891538,2.0981003685851998,1.304224553444854,2.211511199319535,5.982421321236178,10.547207258293167,8.69411367780768,True
13200,2025-04-10,False,2201147848.0,8.662843344400844,-4.888888888888889,2.6869158878504673,-2.3333333333333335,-1.3333333333333333,-0.6666666666666666,-0.4166666666666667,1.5277777777777777,6.355123062876405,True
13210,2020-03-25,False,16521538617.0,8.00214822771214,-3.0333167578319244,-1.2307692307692308,-4.226752859273993,-2.3868722028841374,-1.6907011437095971,-6.7628045748383885,0.09945300845350571,6.519716509041607,True
13260,2026-02-03,False,3715277383.5,8.796875,2.03935085451673,2.2378606615059815,4.32284934654603,2.03935085451673,0.48829527502513287,3.20264253913543,-0.10053138015223323,2.041482435355834,True
13280,2026-02-03,False,3498272806.0,9.002728099424068,1.8075639599555062,2.3490849494673585,4.199110122358176,1.9187986651835374,0.4727474972191324,3.2814238042269186,-0.11123470522803115,2.041482435355834,True
13290,2024-08-06,False,2939525869.0,9.96923076923077,-1.9585898153329602,4.59474885844749,2.54616675993285,0.55959709009513,-0.5036373810856184,5.28819250139899,9.65304980414102,8.69411367780768,True
13290,2025-04-10,False,1942137045.5,8.44645550527903,-5.285118219749652,2.93685756240822,-2.5034770514603615,-1.3908205841446453,-0.6954102920723226,-0.6954102920723226,1.39082058414465,6.355123062876405,True
13300,2020-03-25,False,2982873160.0,8.02139037433155,-3.217821782178218,-1.227621483375959,-4.405940594059406,-2.0297029702970297,-1.7821782178217822,-6.782178217821782,-0.297029702970297,6.519716509041607,True
13300,2025-04-10,False,3038914904.5,9.00900900900901,-5.289256198347108,2.559627690517743,-2.8650137741046833,-1.7079889807162534,-0.9641873278236914,-0.7162534435261708,1.1294765840220387,6.355123062876405,True
13320,2017-02-06,False,1465233120.0,8.60805860805861,-1.0118043844856661,0.34071550255537,-0.6745362563237775,-2.360876897133221,-3.204047217537943,-1.6863406408094435,-5.227655986509275,0.5710380759627638,False
13320,2017-05-15,False,1269911380.0,10.0,-1.6835016835016836,1.54109589041096,-0.16835016835016836,-1.6835016835016836,-1.5151515151515151,-1.1784511784511784,-2.0202020202020203,-0.0604668241784233,False
13320,2021-02-05,False,793258095.0,9.07079646017699,1.01419878296146,2.81124497991968,3.85395537525355,3.44827586206897,4.46247464503043,3.44827586206897,1.82555780933063,0.9747453924127424,False
13320,2026-05-14,False,1824071495.0,10.96583719949388,-2.280501710376283,2.33372228704784,0.0,0.0,3.53477765108324,1.55834283542379,0.53211706575447,-0.5485814605849021,False
13330,2017-07-20,False,735922305.0,8.17500256752593,-1.1013006740719644,-0.16319477776711144,-1.2626981866514764,-2.0506978068926234,-3.4747935061236115,-2.6867938858824645,-3.7975885312826354,0.6889483215236256,False
13330,2020-03-23,False,908636155.0,8.63199633978954,2.76568861434789,0.81967213114754,3.60803032430156,5.8963919696757,9.60269549347185,8.98497823950583,5.67176751368805,2.189460561675353,True
13330,2022-06-16,False,640720755.0,9.78921505237295,-1.4134275618374559,1.82795698924731,0.3886925795053,0.97762073027091,2.32037691401649,1.61366313309776,0.27090694935218,0.2230377515009308,False
13430,2020-03-23,False,1633888117.5,13.89337641357027,9.21985815602837,6.88311688311688,16.73758865248227,27.65957446808511,17.5886524822695,17.09219858156028,8.08510638297872,2.189460561675353,True
13430,2020-03-24,False,1665249426.5,16.73758865248227,9.72053462940462,-0.33222591362126247,9.35601458080194,0.72904009720535,0.8505467800729,2.0048602673147,-1.3973268529769138,4.995309917817357,True
13430,2020-03-25,False,1795675228.0,9.35601458080194,-6.666666666666667,-1.3095238095238095,-7.888888888888889,-7.777777777777778,-8.277777777777779,-11.38888888888889,-6.666666666666667,6.519716509041607,True
13460,2024-08-06,False,1655411054.5,10.040410320174075,-0.2824858757062147,2.492917847025496,2.2033898305084745,1.4124293785310735,2.175141242937853,6.101694915254237,10.59322033898305,8.69411367780768,True
13460,2025-04-10,False,1258949879.5,8.504842615012107,-4.9093444909344495,2.610736286300968,-2.426778242677824,-1.2552301255230125,-0.502092050209205,-0.33472803347280333,1.6178521617852162,6.355123062876405,True
13480,2024-08-06,False,881828903.0,12.88371050862648,-1.9849146486701073,4.59700283515593,2.52084160381104,1.11155220325526,2.18340611353712,5.99444223898372,9.50774116712981,8.69411367780768,True
13560,2016-06-24,False,708970970.0,15.16754850088183,-3.0627871362940278,-0.9478672985781991,-3.9816232771822357,-4.134762633996937,-7.656967840735069,-8.422664624808576,-1.9908116385911179,-7.1689066889246815,False
13560,2018-02-06,False,520015059.0,9.13338997451147,-6.928766056831452,6.48264324550397,-0.8952899961074348,-3.1529778123783574,0.38925652004671,3.97041650447645,-3.2697547683923704,-6.526322377806258,False
13560,2018-12-25,False,571127863.5,9.74025974025974,-2.0710059171597632,-0.9063444108761329,-2.9585798816568047,-12.396449704142011,-11.65680473372781,-13.964497041420119,-17.514792899408285,-5.462655973538026,False
13560,2020-03-09,False,1182544298.5,11.441475348137,1.82370820668693,-4.742951907131012,-3.005741303613644,0.20263424518744,8.57818304626815,24.2823370482945,5.03208375548801,-7.451977027670519,False
13560,2020-03-12,False,1741967911.0,8.35861139197843,12.28615863141524,-2.3545706371191137,9.64230171073095,14.46345256609642,6.53188180404355,0.46656298600311,-20.902021772939346,-4.919134597005012,False
13560,2020-03-13,False,2007159612.5,9.64230171073095,-1.5602836879432624,6.05187319884726,4.39716312056738,-2.8368794326241136,-2.6950354609929077,-6.666666666666667,-28.0,-6.554301111260966,False
13560,2024-08-02,False,784283190.75,12.37700673226308,15.52995391705069,2.51296370163542,18.4331797235023,-0.5069124423963134,-6.267281105990784,-3.8940092165898617,-16.774193548387096,-5.587651058444518,False
13560,2024-08-05,True,860199525.65,18.4331797235023,-15.019455252918288,-1.1446886446886446,-15.992217898832685,-20.85603112840467,-18.11284046692607,-24.571984435797667,-31.51750972762646,-11.76349206708661,False
13560,2024-09-30,False,1053627090.95,8.35411471321696,-1.5822784810126582,-2.075416544869921,-3.624856156501726,-0.5753739930955121,-3.1933256616800922,-7.220943613348677,-6.3003452243958575,-2.413282533599324,False
13560,2025-04-07,False,729006113.4,15.33494753833737,-12.31630510846746,-1.4365522745411015,-13.57592722183345,-6.997900629811057,-22.043386983904828,-19.47749008630744,-22.299976673664567,-7.721704342570278,False
13560,2026-03-09,False,1168038389.0,8.14285714285714,-3.3025099075297226,-2.0491803278688523,-5.284015852047556,-7.067371202113606,-4.227212681638045,-2.642007926023778,-0.9247027741083224,-3.153613363481411,False
13570,2016-06-24,False,20772655227.85,16.29032258064516,-2.912621359223301,-2.2857142857142856,-5.1317614424410545,-5.6865464632454925,-8.599167822468793,-9.986130374479888,-3.606102635228849,-7.1689066889246815,False
13570,2016-11-09,False,14938485655.9,10.45828437132785,-11.560283687943262,-1.6038492381716118,-12.97872340425532,-13.687943262411348,-16.45390070921986,-18.43971631205674,-22.4822695035461,-4.404787459236921,False
13570,2018-02-06,False,24274198469.3,9.71025841816758,-6.423982869379015,6.254767353165523,-0.5710206995003569,-2.9978586723768736,1.4989293361884368,3.854389721627409,-4.139900071377587,-6.526322377806258,False
13570,2018-03-23,False,37763588805.15,9.22294843863471,1.928191489361702,-3.3268101761252447,-1.4627659574468086,-6.648936170212766,-5.784574468085107,-9.840425531914894,-10.904255319148936,-3.8570251861425966,False
13570,2018-12-25,False,38073800258.1,10.22889842632332,-2.336145360155743,-0.19933554817275748,-2.5308241401687215,-9.798831927319922,-9.27968851395198,-9.928617780661908,-14.73069435431538,-5.462655973538026,False
13570,2020-03-09,False,57811957515.55,10.50269299820467,2.4370430544272947,-4.9167327517842985,-2.5995125913891144,1.949634443541836,11.04792851340374,31.76279447603574,12.67262388302193,-7.451977027670519,False
13570,2020-03-12,False,79777403388.45,8.92430278884462,15.21580102414045,-2.7936507936507935,11.99707388441843,18.65398683247988,17.11777615215801,22.457937088515,-11.558156547183614,-4.919134597005012,False
13570,2020-03-13,False,94416620119.3,11.99707388441843,-2.612671456564337,8.78604963112005,5.94382756368387,4.57217504898759,7.96864794252123,6.13977792292619,-22.01175702155454,-6.554301111260966,False
13570,2020-03-26,False,180593109206.7,8.90233362143475,-6.428571428571429,2.54452926208651,-4.0476190476190474,-5.238095238095238,-3.8095238095238093,6.66666666666667,-10.476190476190476,-1.9376803316935876,False
