H,short_ratio,N,net,wr,sharpe,chg,doc_type
H4決算前ドリフト,,483,1.6033382388110777,67.70186335403726,2.593145794149009,,FYFinancialStatements_Consolidated_IFRS
H4決算前ドリフト,,1154,1.5982558996218974,64.64471403812824,2.495618890431191,,FYFinancialStatements_Consolidated_JP
H4決算前ドリフト,,1217,1.1356097926386683,59.9835661462613,1.8458904597538655,,3QFinancialStatements_Consolidated_JP
H1空売り残高×吸収,<0.5%,994,1.6051745364715264,60.66398390342053,1.7624779244435596,,
H4決算前ドリフト,,133,0.7842622386488504,61.65413533834586,1.2747853128881677,,DividendForecastRevision
H4決算前ドリフト,,484,0.7009640625818393,54.75206611570248,1.2115757582860147,,3QFinancialStatements_Consolidated_IFRS
H3信用買残変化率,,5459,0.6042838535670149,54.552115772119436,0.8808359628511208,<-20% (急減),
H1空売り残高×吸収,0.5〜1.5%,3379,0.9183584645485842,54.33560224918615,0.8685594783155633,,
H4決算前ドリフト,,857,0.5678228114760665,55.542590431738624,0.8559360799129634,,2QFinancialStatements_Consolidated_JP
H1空売り残高×吸収,1.5〜3%,1061,0.8990496741198698,52.403393025447684,0.7390348959430861,,
H1空売り残高×吸収,3〜5%,507,0.9741517885893962,54.043392504930964,0.7093539534460513,,
H1空売り残高×吸収,5%+,403,1.0327002927657214,48.883374689826304,0.6500500777169846,,
H4決算前ドリフト,,496,0.4299437477272041,51.61290322580645,0.6407602739890244,,EarnForecastRevision
H3信用買残変化率,,7365,0.44634586614684807,52.342158859470466,0.6011745210393762,+10〜+20%,
H3信用買残変化率,,9380,0.37257194839829855,52.42004264392324,0.5360776586939844,-20〜-10%,
H3信用買残変化率,,9826,0.33349865198685774,51.64868715652351,0.4819807586775646,-10〜-5%,
H3信用買残変化率,,2612,0.34506602418722027,50.80398162327718,0.46803070332118424,+50%+(急増),
H3信用買残変化率,,27300,0.2667932681383474,51.35531135531135,0.3716544159676759,-5〜+5% (横ばい),
H3信用買残変化率,,5815,0.257358161467826,51.71109200343938,0.34955784334029216,+20〜+50%,
H3信用買残変化率,,7355,0.23903705109239262,52.46770904146839,0.3310316500981937,+5〜+10%,
H4決算前ドリフト,,347,-0.10317451204591149,51.29682997118156,-0.1701200251111615,,2QFinancialStatements_Consolidated_IFRS
H4決算前ドリフト,,946,-0.7726532977838794,52.64270613107822,-0.8229780089277544,,1QFinancialStatements_Consolidated_JP
H4決算前ドリフト,,395,-1.152589456147614,50.37974683544304,-1.2605023794025578,,1QFinancialStatements_Consolidated_IFRS
