label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
Base (全条件) 30min,55469,6.86,2.86,93.96,17.2,0.0,50.9,3.74
+60min保有,51464,10.65,6.65,122.21,19.78,0.0,51.3,6.69
+9:00-10:30限定,27829,16.1,12.1,142.09,18.9,0.0,52.0,10.47
+SBG+MUFG限定,16793,24.69,20.69,156.29,20.47,0.0,52.3,16.28
+SBG単独,11655,31.08,27.08,181.49,18.49,0.0,50.9,18.35
+tick_ratio<1.5 (SBG最終),7783,23.59,19.59,166.84,12.47,0.0,49.6,14.44
+tick_ratio<1.5 (SBG+MUFG最終),11362,18.38,14.38,143.09,13.69,0.0,50.7,12.35
