label,n,mean_bps,se,t,wr,slot,sector,cond
寄り30分|非鉄|全日,3792,10.405758213978105,2.364166014478705,4.40144987714518,50.342827004219416,寄り30分,非鉄,全日
寄り30分|非鉄|LME+1%,705,8.278573266136604,5.471979540314789,1.5129028179188622,50.212765957446805,寄り30分,非鉄,LME+1%
寄り30分|非鉄|LME-1%,699,10.511922722833498,5.063113202775296,2.0761776997345214,51.645207439198856,寄り30分,非鉄,LME-1%
寄り30分|非鉄|月,672,-4.047977559777096,5.40689081948372,-0.7486701128105301,45.68452380952381,寄り30分,非鉄,曜日_月
寄り30分|非鉄|火,765,11.411331990609384,5.517685863739997,2.06813730835966,50.98039215686274,寄り30分,非鉄,曜日_火
寄り30分|非鉄|水,773,20.908366875792918,5.268607034231606,3.968480993162982,51.746442432082794,寄り30分,非鉄,曜日_水
寄り30分|非鉄|木,788,12.579806677617382,5.288859927792058,2.3785479005622063,53.42639593908629,寄り30分,非鉄,曜日_木
寄り30分|非鉄|金,794,9.287344883889888,4.918087759248468,1.888405684999221,49.24433249370277,寄り30分,非鉄,曜日_金
寄り30分|半導体|全日,1659,3.48071886950753,3.2046047893913205,1.0861616636879128,46.23267028330319,寄り30分,半導体,全日
寄り30分|半導体|LME+1%,313,-0.06882697009199112,7.590444454977454,-0.009067581022460108,42.81150159744409,寄り30分,半導体,LME+1%
寄り30分|半導体|LME-1%,299,10.527014688797388,7.5198933086015725,1.399888835757303,51.17056856187291,寄り30分,半導体,LME-1%
寄り30分|半導体|月,303,-1.8014346146245854,8.557413187845345,-0.21051158511117368,45.87458745874587,寄り30分,半導体,曜日_月
寄り30分|半導体|火,330,-3.172341158620071,6.534342640611309,-0.4854874213212805,42.12121212121212,寄り30分,半導体,曜日_火
寄り30分|半導体|水,337,1.3057442887901405,6.917116489012761,0.18877003023791805,47.47774480712167,寄り30分,半導体,曜日_水
寄り30分|半導体|木,343,6.967507929025904,6.3320156951291295,1.1003617591133932,48.68804664723032,寄り30分,半導体,曜日_木
寄り30分|半導体|金,346,13.113667139048275,7.507993469087952,1.7466274035852727,46.82080924855491,寄り30分,半導体,曜日_金
寄り30分|ALL|全日,5451,8.298137543921841,1.912411278372971,4.339096740206259,49.09190974133187,寄り30分,ALL,全日
寄り30分|ALL|LME+1%,1018,5.712034686628205,4.450106760469065,1.2835725060281757,47.93713163064833,寄り30分,ALL,LME+1%
寄り30分|ALL|LME-1%,998,10.516444263738512,4.199297504723868,2.5043341777781567,51.503006012024045,寄り30分,ALL,LME-1%
寄り30分|ALL|月,975,-3.3498211368220088,4.5758493273877745,-0.73206543685177,45.74358974358974,寄り30分,ALL,曜日_月
寄り30分|ALL|火,1095,7.016252411389548,4.331797123434091,1.6197093749919937,48.31050228310502,寄り30分,ALL,曜日_火
寄り30分|ALL|水,1110,14.956940018297479,4.234495260083686,3.532165960672698,50.45045045045045,寄り30分,ALL,曜日_水
寄り30分|ALL|木,1131,10.877756747673194,4.154428403134662,2.618352199658934,51.9893899204244,寄り30分,ALL,曜日_木
寄り30分|ALL|金,1140,10.448667252560766,4.11264271481059,2.540621195936293,48.50877192982456,寄り30分,ALL,曜日_金
前場前半|非鉄|全日,3794,0.36889109865018654,1.8322214349009103,0.2013354344750021,49.07749077490775,前場前半,非鉄,全日
前場前半|非鉄|LME+1%,705,5.0609861721244345,3.8991522751285532,1.297970895983429,50.78014184397163,前場前半,非鉄,LME+1%
前場前半|非鉄|LME-1%,699,-10.414287293928119,4.000620846250518,-2.6031677817428385,43.63376251788269,前場前半,非鉄,LME-1%
前場前半|非鉄|月,675,6.791877593839007,4.582082768620741,1.482268640006134,52.2962962962963,前場前半,非鉄,曜日_月
前場前半|非鉄|火,765,0.4370097578873804,4.112004267124526,0.1062765818073861,46.79738562091503,前場前半,非鉄,曜日_火
前場前半|非鉄|水,773,6.4355516147023195,4.22689060372278,1.5225261824931757,52.91073738680466,前場前半,非鉄,曜日_水
