,basket
2024-11-07,0.001952063131950016
2024-11-08,0.0032565839861026036
2024-11-11,0.0010130293111589661
2024-11-12,0.0008907167947686997
2024-11-13,0.013511543893107955
2024-11-14,0.001015999865394797
2024-11-15,0.0014744598999367343
2024-11-18,0.0005874697754082754
2024-11-19,0.0006186040227048285
2024-11-20,0.00032093302366840494
2024-11-21,-0.00054328313784691
2024-11-22,0.0014704781830309067
2024-11-25,0.000251757893504071
2024-11-26,0.0004348603070727542
2024-11-27,0.0
2024-11-28,0.0005639096991851356
2024-11-29,0.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,0.0001090322580645209
2024-12-05,0.00028245551726975636
2024-12-06,0.0001090322580645209
2024-12-09,-0.0018034677419354738
2024-12-10,0.0023457682069023137
2024-12-11,0.0
2024-12-12,0.0
2024-12-13,0.0
2024-12-16,0.0005810302129767464
2024-12-17,0.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.0
2024-12-23,0.0012470237120547018
2024-12-24,0.0012470237120547018
2024-12-25,0.0012470237120547018
2024-12-26,0.0012470237120547018
2024-12-27,0.0012470237120547018
2024-12-30,0.0
2025-01-06,0.0
2025-01-07,-0.005849136719878211
2025-01-08,-4.541942043721157e-05
2025-01-09,-4.541942043721157e-05
2025-01-10,-4.541942043721157e-05
2025-01-14,-0.005702324558297019
2025-01-15,0.0005269158494069537
2025-01-16,0.0011216351603721454
2025-01-17,-0.0043100463248778274
2025-01-20,0.001099251119251119
2025-01-21,0.001099251119251119
2025-01-22,-0.009399781181619282
2025-01-23,0.0
2025-01-24,0.0
2025-01-27,0.0023326579959142813
2025-01-28,0.0007599131935282449
2025-01-29,0.0007068959416816684
2025-01-30,0.0007068959416816684
2025-01-31,0.0007068959416816684
2025-02-03,0.011486184023813989
2025-02-04,-0.0009154281771472583
2025-02-05,-0.0008086201872952385
2025-02-06,-0.0006714191765082663
2025-02-07,-0.0006642908316380841
2025-02-10,-0.0006739774952744604
2025-02-12,-0.001443240851354679
2025-02-13,-0.00013657608153718335
2025-02-14,0.0006943659572352551
2025-02-17,-0.002645071659240178
2025-02-18,0.0011566783710078889
2025-02-19,4.6620310657704636e-05
2025-02-20,8.169160389421813e-05
2025-02-21,-0.00033671860029340175
2025-02-25,0.011252476895862392
2025-02-26,-0.00015124897912559407
2025-02-27,-0.0003000083665352559
2025-02-28,0.0005549970734703613
2025-03-03,-0.001335002312460041
2025-03-04,0.0007811267197980216
2025-03-05,0.003139247622929849
2025-03-06,0.000949034092011012
2025-03-07,0.011588120958415651
2025-03-10,-0.007623373819163306
2025-03-11,0.0010540559694955849
2025-03-12,0.004803303780502802
2025-03-13,0.004803303780502802
2025-03-14,0.004803303780502802
2025-03-17,0.005268639300436022
2025-03-18,0.004803710349734566
2025-03-19,0.00024901401007148616
2025-03-21,0.00024901401007148616
2025-03-24,0.00024901401007148616
2025-03-25,0.00024901401007148616
2025-03-26,-0.0008083385393425534
2025-03-27,-0.0022047690387016227
2025-03-28,-0.0022047690387016227
2025-03-31,-0.0053730762025317865
2025-04-01,-0.002835216637150552
2025-04-02,-0.004701570480530989
2025-04-03,-0.010750099392603747
2025-04-04,0.0001451029348025208
2025-04-07,0.014014268634814295
2025-04-08,0.004280784817195166
2025-04-09,0.0025700912382533737
2025-04-10,0.004029950592694938
2025-04-11,0.004327275049565424
2025-04-14,0.0018958844769765672
2025-04-15,0.0013569618332405725
2025-04-16,0.0011340089757500757
2025-04-17,0.00293823239114715
2025-04-18,0.005487392550143288
2025-04-21,0.0
