,body/range 平均,body/range 中央,ATR CV 中央,BO 追従率(%),MAE 80%q (ATR),反転ラグ(本)
1,0.5437896570670322,0.525,0.11433025261080043,50.141807686673744,2.945208523918672,1.0
3,0.4968119987217434,0.5,0.1482762880871848,50.84962719738591,2.7696103362307385,1.0
5,0.4849987818249387,0.4959677419354839,0.1942609725756978,50.88184382877817,2.759379594661759,1.0
10,0.4725118078036534,0.4787037037037037,0.24405581280788896,56.215232610095846,2.947561396905105,1.0
15,0.4676366415630974,0.46848580341227397,0.21880946675421217,59.48225168288267,3.228696071198878,1.0
30,0.46026478846095764,0.459722506207196,0.13065520015952603,60.023313336637344,3.3972547049358024,1.0
