sym,name,sector,pattern,condition,gross_n,gross_mean,gross_med,gross_std,gross_wr,gross_sharpe,net_mean,net_wr,net_sharpe
5713.T,住山,非鉄,曜日効果_日次,月曜_日次,62,-0.10888753759529192,-0.136446331109763,1.554430736166908,48.38709677419355,-1.112005850045433,-0.1488875375952919,48.38709677419355,-1.520502864342325
5713.T,住山,非鉄,曜日効果_前場,月曜_前場,62,-0.2483433334327704,-0.15089807262150812,1.2503672623639845,37.096774193548384,-3.152936196273986,-0.2883433334327704,35.483870967741936,-3.6607712410391438
5713.T,住山,非鉄,曜日効果_後場,月曜_後場,62,0.17947275357900824,-0.12331616976465343,1.350754215736849,48.38709677419355,2.1092228366194816,0.1394727535790082,46.774193548387096,1.6391296788430945
5713.T,住山,非鉄,曜日効果_日次,火曜_日次,68,-0.13430461628115875,-0.07246376811594346,2.358088325638479,47.05882352941176,-0.904130546963353,-0.1743046162811588,47.05882352941176,-1.173408125649289
5713.T,住山,非鉄,曜日効果_前場,火曜_前場,68,0.052887928944518714,0.05413253023077713,1.8013050989024817,52.94117647058824,0.4660897504693957,0.012887928944518656,51.470588235294116,0.11357849902043779
5713.T,住山,非鉄,曜日効果_後場,火曜_後場,68,-0.17282620236732496,-0.132096385945768,1.2102595723740615,44.11764705882353,-2.2668946163476638,-0.212826202367325,44.11764705882353,-2.7915591834784292
5713.T,住山,非鉄,曜日効果_日次,水曜_日次,70,0.3088473030329072,0.1418491577313441,2.218648618030274,54.285714285714285,2.2098131726064807,0.2688473030329072,52.85714285714286,1.9236117842950495
5713.T,住山,非鉄,曜日効果_前場,水曜_前場,70,0.17162771803070687,-0.16501600640255742,2.072430074642035,45.714285714285715,1.3146429369585344,0.13162771803070686,45.714285714285715,1.0082488528227016
5713.T,住山,非鉄,曜日効果_後場,水曜_後場,70,0.11806068473862245,0.1289820403374664,1.2369130818331948,51.42857142857142,1.5151875229718876,0.07806068473862242,51.42857142857142,1.0018286427226664
5713.T,住山,非鉄,曜日効果_日次,木曜_日次,70,-0.07093993225271698,0.0,2.278509922229521,48.57142857142857,-0.49424253175287086,-0.11093993225271699,48.57142857142857,-0.772924800572738
5713.T,住山,非鉄,曜日効果_前場,木曜_前場,70,-0.022461752947575825,0.16323256649380946,1.82498902411439,54.285714285714285,-0.19538159909327563,-0.06246175294757586,54.285714285714285,-0.5433181106367565
5713.T,住山,非鉄,曜日効果_後場,木曜_後場,70,-0.0018450401888624108,-0.06299399021006957,1.1959299867041377,44.285714285714285,-0.024490651892269476,-0.04184504018886243,42.857142857142854,-0.5554417290581191
5713.T,住山,非鉄,曜日効果_日次,金曜_日次,70,0.3054243430047617,0.008534267579035637,2.6651984381096185,50.0,1.8191745373580028,0.26542434300476175,50.0,1.580925742980845
5713.T,住山,非鉄,曜日効果_前場,金曜_前場,70,0.08693938864241124,-0.0633281682186182,1.8024693537743643,48.57142857142857,0.7656829260441599,0.046939388642411234,48.57142857142857,0.41339936941899147
