sym,ma,slope_filter,fwd,n_event,event_mean_pct,event_wr,event_t,n_base,base_mean_pct,base_wr,edge_pct
8035.T,5,all,1,100,-0.05720094726102598,49.0,-0.19773043216495456,50,0.7834965793050193,68.0,-0.8406975265660452
8035.T,5,all,5,100,1.26347466683892,53.0,2.058250887146439,50,0.6209661602037599,52.0,0.6425085066351601
8035.T,5,all,10,100,2.728745906638766,57.99999999999999,2.5966485363177356,50,2.280417353760436,54.0,0.44832855287832984
8035.T,5,all,20,94,5.7976490481128256,55.319148936170215,3.3028803121071433,46,6.055454566777256,52.17391304347826,-0.2578055186644308
8035.T,5,up,1,28,0.14102645377994463,46.42857142857143,0.25729861713450985,12,-0.3783728787986912,50.0,0.5193993325786358
8035.T,5,up,5,28,2.1200152261254135,57.14285714285714,1.9237929666029918,12,-1.445753081213492,41.66666666666667,3.5657683073389057
8035.T,5,up,10,28,2.0656202832342543,60.71428571428571,0.9886667319837145,12,2.931521708968455,58.333333333333336,-0.8659014257342008
8035.T,5,up,20,27,6.465326683811074,59.25925925925925,2.0158112474960896,8,3.06236321377142,50.0,3.4029634700396536
8035.T,10,all,1,72,0.16855642631167525,51.388888888888886,0.4856222307847198,78,0.2733163018552275,58.97435897435898,-0.10475987554355223
8035.T,10,all,5,72,1.998393654723721,56.94444444444444,2.629874768833791,78,0.17322348146118044,48.717948717948715,1.8251701732625407
8035.T,10,all,10,72,3.8332918384323684,58.333333333333336,2.8880055131009925,78,1.4217749485226636,55.12820512820513,2.411516889909705
8035.T,10,all,20,66,7.456484375720651,60.60606060606061,3.4061202830255626,74,4.478404754010763,48.64864864864865,2.9780796217098873
8035.T,10,up,1,15,0.5062675008970374,53.333333333333336,0.5236493380830722,14,0.6611990743428077,71.42857142857143,-0.15493157344577024
8035.T,10,up,5,15,2.522056029691254,46.666666666666664,1.3182085224194315,14,-0.5379791957666572,50.0,3.060035225457911
8035.T,10,up,10,15,4.109020475276817,60.0,1.5690342413377558,14,0.7979887948159927,50.0,3.3110316804608244
8035.T,10,up,20,15,6.947280247767523,66.66666666666666,1.805979135894831,13,6.151609899135846,53.84615384615385,0.7956703486316767
8035.T,20,all,1,47,-0.36589269108584366,51.06382978723404,-0.7827665433113471,103,0.49176398757459244,57.28155339805825,-0.857656678660436
8035.T,20,all,5,47,0.32161496589849814,44.680851063829785,0.2979973291860165,103,1.3813579737558308,56.310679611650485,-1.0597430078573327
8035.T,20,all,10,47,1.2033152411769534,55.319148936170215,0.7104496023361754,103,3.207180990452247,57.28155339805825,-2.0038657492752936
8035.T,20,all,20,40,-1.4439631486862008,32.5,-0.6278893934650859,100,8.812884465418074,63.0,-10.256847614104275
8035.T,20,up,1,24,-0.440384376756478,45.83333333333333,-0.7043703876056912,24,1.834598045960351,79.16666666666666,-2.274982422716829
8035.T,20,up,5,24,1.2277871721260638,50.0,1.0715372058492072,24,3.722213336811879,79.16666666666666,-2.494426164685815
8035.T,20,up,10,24,2.6004414613724625,62.5,2.0326373219898053,24,3.5940113346261153,70.83333333333334,-0.9935698732536529
8035.T,20,up,20,24,-1.220948126348883,37.5,-0.5742975674238492,24,3.392253696216755,58.333333333333336,-4.613201822565638
8035.T,25,all,1,40,-0.09706637142059049,55.00000000000001,-0.2036919603027275,110,0.33943080996338165,55.45454545454545,-0.43649718138397214
8035.T,25,all,5,40,0.253963537953609,47.5,0.2479859709494494,110,1.338520301599415,54.54545454545454,-1.084556763645806
8035.T,25,all,10,40,1.6989713374049857,52.5,1.0758918811602416,110,2.899423680506354,58.18181818181818,-1.2004523431013683
8035.T,25,all,20,38,-0.2765283120968044,34.21052631578947,-0.114922879360316,102,8.176843102490567,61.76470588235294,-8.453371414587371
8035.T,25,up,1,29,0.19828189505792906,55.172413793103445,0.37031319452760614,20,1.5217382460251194,75.0,-1.3234563509671904
8035.T,25,up,5,29,1.8915740568943566,58.620689655172406,1.8421060024867735,20,3.1047459233135712,65.0,-1.2131718664192146
8035.T,25,up,10,29,2.1600918570150642,51.724137931034484,1.6889872133946477,20,2.866162890083518,75.0,-0.7060710330684539
8035.T,25,up,20,29,-2.3527231601273164,31.03448275862069,-1.1030136713465715,20,3.0745839651532743,70.0,-5.42730712528059
8035.T,50,all,1,13,-0.7735726213469569,46.15384615384615,-1.014218666321539,123,0.315644424239731,55.28455284552846,-1.0892170455866879
8035.T,50,all,5,13,-4.004458849713415,15.384615384615385,-2.289449740855005,123,1.529501881851931,56.91056910569105,-5.533960731565346
8035.T,50,all,10,13,-2.5688201338302923,46.15384615384615,-0.8846723480424641,123,3.8937657260448537,62.601626016260155,-6.462585859875146
8035.T,50,all,20,11,4.902450288511127,45.45454545454545,0.7842319107064204,115,8.151370160768888,61.73913043478261,-3.248919872257761
8035.T,50,up,1,9,-0.7252176631236746,44.44444444444444,-0.9048428277666718,55,0.295303484155101,52.72727272727272,-1.0205211472787756
8035.T,50,up,5,9,-0.8985553395020754,22.22222222222222,-0.55731376686005,55,1.8161656541680422,58.18181818181818,-2.7147209936701175
8035.T,50,up,10,9,3.0051241769955377,66.66666666666666,1.2815791324654084,55,3.321699266548129,65.45454545454545,-0.3165750895525914
8035.T,50,up,20,7,14.845181785541644,71.42857142857143,1.9670168029923172,53,5.526322561835909,62.264150943396224,9.318859223705736
8035.T,75,all,1,12,0.18890387801219582,58.333333333333336,0.2857443569614148,99,0.3513827007943872,54.54545454545454,-0.1624788227821914
8035.T,75,all,5,12,3.6892040282056198,58.333333333333336,2.062407049551036,99,1.7383420313175513,56.56565656565656,1.9508619968880685
8035.T,75,all,10,12,6.737999804546381,83.33333333333334,2.9073917018075117,99,5.353245535771956,66.66666666666666,1.384754268774425
8035.T,75,all,20,6,9.914102013294945,83.33333333333334,3.6091841303127015,95,12.657806221249231,74.73684210526315,-2.743704207954286
8035.T,75,up,1,11,0.1760144277689557,54.54545454545454,0.2430955425834067,61,0.43133645097642576,52.459016393442624,-0.25532202320747005
8035.T,75,up,5,11,3.4353606233623593,54.54545454545454,1.7710913055995823,61,1.3390345827140124,49.18032786885246,2.096326040648347
8035.T,75,up,10,11,7.081986639431388,81.81818181818183,2.8208138464049863,61,3.0842936559188225,55.73770491803278,3.997692983512566
8035.T,75,up,20,5,10.732901251932772,80.0,3.3422016265286705,57,5.738310017311409,59.64912280701754,4.994591234621362
8035.T,100,all,1,7,0.7996885931014728,57.14285714285714,0.6274600838236164,84,0.35985874208831453,55.952380952380956,0.43982985101315825
8035.T,100,all,5,7,4.004631221639589,85.71428571428571,2.779779130246036,84,1.937743779236271,54.761904761904766,2.066887442403318
8035.T,100,all,10,7,8.662606173102153,100.0,4.813790390123332,84,4.941566120695018,64.28571428571429,3.721040052407135
8035.T,100,all,20,5,17.298079050758354,100.0,5.660639597613472,76,11.20742539785974,68.42105263157895,6.090653652898613
8035.T,100,up,1,2,,,,70,0.4422694473273707,55.714285714285715,
8035.T,100,up,5,2,,,,70,2.353886742658484,57.14285714285714,
8035.T,100,up,10,2,,,,70,5.868238606774747,67.14285714285714,
8035.T,100,up,20,0,,,,62,9.576271755564187,62.903225806451616,
8035.T,200,all,1,0,,,,58,0.5803458213980114,53.44827586206896,
8035.T,200,all,5,0,,,,58,2.44908647594882,58.620689655172406,
8035.T,200,all,10,0,,,,58,5.438656830237149,72.41379310344827,
8035.T,200,all,20,0,,,,48,7.548181151275189,66.66666666666666,
8035.T,200,up,1,0,,,,57,0.45220204851675555,52.63157894736842,
8035.T,200,up,5,0,,,,57,2.257885541960388,57.89473684210527,
8035.T,200,up,10,0,,,,57,5.232271254666972,71.9298245614035,
8035.T,200,up,20,0,,,,47,7.116894049553451,65.95744680851064,
6146.T,5,all,1,123,0.22972664857755734,52.03252032520326,0.6319012870516995,79,-0.06283099480494497,50.63291139240506,0.29255764338250234
6146.T,5,all,5,123,1.1033287522313893,49.59349593495935,1.6284617464846018,79,-0.7189311224770517,50.63291139240506,1.822259874708441
6146.T,5,all,10,121,1.74817377027271,48.760330578512395,1.5840947440695994,78,-0.8797547468363337,38.46153846153847,2.627928517109044
6146.T,5,all,20,116,4.400849545608905,59.48275862068966,2.6313375245063075,73,1.4410089298641917,43.83561643835616,2.959840615744713
6146.T,5,up,1,38,-0.12647797007336373,44.73684210526316,-0.18283971509111177,28,-0.40764429430479665,39.285714285714285,0.28116632423143295
6146.T,5,up,5,38,0.9864279417561773,47.368421052631575,0.7252355636730827,28,0.9593825336871012,50.0,0.02704540806907607
6146.T,5,up,10,36,-1.1833000710434174,36.11111111111111,-0.48648657986744187,27,-1.322124036233309,37.03703703703704,0.1388239651898917
