ma,slope,fwd_days,n_event,event_mean%,event_wr%,n_base,base_mean%,base_wr%,edge%,wr_edge%
5,all,1,2647,0.29607308902908086,53.30562901397809,1318,0.19111747414016106,54.24886191198786,0.1049556148889198,-0.943232898009768
5,all,5,2612,1.320393125382477,57.77182235834609,1305,0.22784364507691404,57.31800766283525,1.0925494803055629,0.4538146955108431
5,all,10,2576,2.29761822798471,60.75310559006211,1294,1.4722785408359642,62.13292117465224,0.825339687148746,-1.3798155845901263
5,all,20,2417,4.271602921536155,61.108812577575506,1212,3.2344506306195493,62.87128712871287,1.0371522909166053,-1.762474551137366
5,up,1,828,0.07859946232662775,55.193236714975846,345,0.453634039740864,62.31884057971015,-0.3750345774142363,-7.125603864734302
5,up,5,819,0.7059851179609535,59.0964590964591,342,1.4357663611831668,63.1578947368421,-0.7297812432222133,-4.061435640383003
5,up,10,801,0.6888322057582321,58.30212234706617,338,2.6148801188099298,66.86390532544378,-1.9260479130516976,-8.561782978377614
5,up,20,770,3.2635480129996455,58.311688311688314,320,3.9853003736006003,64.6875,-0.7217523606009548,-6.3758116883116855
10,all,1,1845,0.5036647678383285,54.363143631436316,2120,0.05015886835612889,52.971698113207545,0.4535058994821996,1.391445518228771
10,all,5,1830,1.7188735076610193,58.08743169398907,2087,0.28781230536882474,57.21130809774797,1.4310612022921947,0.8761235962411007
10,all,10,1801,2.7175361874629913,61.13270405330372,2069,1.4159063864231523,61.285645239246016,1.301629801039839,-0.15294118594229644
10,all,20,1665,4.938866904233353,60.78078078078078,1964,3.065888508205318,62.4745417515275,1.872978396028035,-1.693760970746716
10,up,1,647,0.6786488751171695,58.11437403400309,541,0.24432038421102262,55.45286506469501,0.4343284909061469,2.6615089693080805
10,up,5,639,1.5640820770217756,58.37245696400626,533,-0.14980233852351885,57.03564727954972,1.7138844155452944,1.33680968445654
10,up,10,629,1.7939481898621792,57.5516693163752,532,1.0447290292168947,59.02255639097744,0.7492191606452845,-1.4708870746022455
10,up,20,597,5.192555172600528,57.28643216080402,523,3.2996645143272456,59.847036328871894,1.8928906582732825,-2.5606041680678757
20,all,1,1359,0.4045834665519633,55.114054451802794,2606,0.1864042081859522,52.83960092095165,0.2181792583660111,2.27445353085114
20,all,5,1349,1.3826606688309429,56.93106004447739,2568,0.7324741269748681,57.982866043613704,0.6501865418560747,-1.0518059991363131
