code,last_date,adv,ret12m,ret3m,n_days
13120,2023-03-07,636675.0,0.13643533123028395,0.07644422310756971,532
13130,2023-02-28,423550.0,-0.12567567567567572,-0.01581989656221483,527
13230,2022-07-22,2375750.0,0.12993762993763003,-0.11482084690553751,380
13270,2021-11-04,1085272.5,0.5367445054945055,0.1314791403286979,206
13440,2021-10-08,732920.0,0.15855181023720344,0.05215419501133778,188
13520,2022-05-18,1188500.0,0.2767295597484276,0.4853658536585366,334
13850,2023-07-20,1282690.0,0.26476190476190475,0.015290519877675823,624
13860,2023-07-20,710322.0,0.14805898284682506,0.015077605321507814,624
13870,2023-07-20,185430.0,0.2243093922651933,0.021198156682027625,624
13880,2023-07-20,66460.0,,,624
13890,2023-07-20,637650.0,0.0731382978723405,-0.0012376237623762387,624
13900,2023-07-20,510077.5,-0.010471204188481686,-0.02409638554216864,624
13910,2023-07-20,585568.0,0.0714285714285714,0.021671826625387025,624
13920,2023-07-20,299110.0,0.0726978998384491,0.0060606060606061,624
13930,2023-07-20,1914690.0,0.10461596670450235,0.09426536731634183,624
13940,2023-07-20,318870.0,0.10507738256855825,0.03299492385786795,624
14000,2023-12-29,4748800.0,-0.019607843137254943,-0.19354838709677424,735
14130,2022-04-22,44914450.0,-0.12635514018691585,0.1350169985429821,320
14400,2024-03-28,,,,792
14480,2022-03-28,78408500.0,0.581267217630854,-0.0060606060606061,301
14600,2021-10-08,95845.0,0.1020833333333333,,188
14670,2023-06-09,2000600.0,,,596
14680,2023-06-09,186220.0,-0.24269662921348312,,596
14700,2021-06-28,2782695.0,0.31702979101823026,0.18812675491375863,119
14710,2022-03-18,147607.5,0.00907715582450841,0.029320987654321007,296
14920,2024-04-12,458772.5,0.22782826700094017,0.09901823281907429,803
15520,2024-02-09,2563616215.0,-0.679835390946502,-0.365415986949429,761
15670,2021-10-08,48105.0,,,188
15740,2021-10-08,33720.0,,0.07951807228915664,188
15750,2022-11-11,536132.0,-0.011889035667106973,-0.02983138780804151,455
