,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2024-11-05,0.0,0.0,0.0,0.0,0.008709310291905267
2024-11-06,0.0,0.0,0.0,0.0,0.006274355417467644
2024-11-07,0.0052947608200456,0.0025134917077544,0.0,0.0,0.018857250612860588
2024-11-08,0.0109650874728642,0.0,0.0,0.0020612484715461,0.0023335813514674397
2024-11-11,0.0,0.0,0.0,0.0040521172446358,0.0018001800180018623
2024-11-12,0.0,0.0,0.0,0.0035628671790747,-0.0043633633087643954
2024-11-13,0.050177097652704,0.0,0.0,0.0038690779197278,0.0042174238937543245
2024-11-14,0.0,0.0,0.0,0.0040639994615791,0.009530961163878061
2024-11-15,0.0,0.0,0.0,0.0058978395997469,-0.010984043102287054
2024-11-18,0.0,0.0,0.0,0.0023498791016331,0.008132529962920673
2024-11-19,0.0,0.0,0.0,0.0024744160908193,0.004265725156359146
2024-11-20,0.0,0.0,0.0,0.0012837320946736,0.008064516129032251
2024-11-21,-0.0026915340547422,0.0,0.0,0.0005184015033546,0.013788575180564644
2024-11-22,0.005290956328096,0.0,0.0,0.0005909564040276,0.00853286653135323
2024-11-25,0.0,0.0,0.0,0.0010070315740162,-0.001107408142003988
2024-11-26,0.001739441228291,0.0,0.0,0.0,0.0006524078315006676
2024-11-27,0.0,0.0,0.0,0.0,0.0025896768628670404
2024-11-28,0.0,0.0022556387967405,0.0,0.0,-0.018431204457779685
2024-11-29,0.0,0.0,0.0,0.0,0.0041368782634245175
2024-12-02,0.0,0.0,0.0,0.0,0.00754447655053514
2024-12-03,0.0,0.0,0.0,0.0,0.0
2024-12-04,0.0,0.0,0.0,0.000436129032258,0.005460408008903484
2024-12-05,0.0006936930368209,0.0,0.0,0.000436129032258,-0.0002998201079352225
2024-12-06,0.0,0.0,0.0,0.000436129032258,0.005640183934492319
2024-12-09,-0.0076499999999999,0.0,0.0,0.000436129032258,-0.008403361344537785
2024-12-10,0.0089469437953511,0.0,0.0,0.000436129032258,-0.004278728606356974
2024-12-11,0.0,0.0,0.0,0.0,0.0060975609756097615
2024-12-12,0.0,0.0,0.0,0.0,-0.002450244748038815
2024-12-13,0.0,0.0,0.0,0.0,0.00084767692181309
2024-12-16,0.0023241208519069,0.0,0.0,0.0,0.0065132435953103585
2024-12-17,0.0,0.0,0.0,0.0,-0.006079027355623102
2024-12-18,0.0,0.0,0.0,0.0,-0.013602155564426033
2024-12-19,0.0,0.0,0.0,0.0,0.0
2024-12-20,0.0,0.0,0.0,0.0,0.005077367956504929
2024-12-23,0.0,0.0,0.0,0.0049880948482188,0.0018653375051283878
2024-12-24,0.0,0.0,0.0,0.0049880948482188,0.0071428571428571175
2024-12-25,0.0,0.0,0.0,0.0049880948482188,0.0
2024-12-26,0.0,0.0,0.0,0.0049880948482188,0.0
2024-12-27,0.0,0.0,0.0,0.0049880948482188,0.0
2024-12-30,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.009077603388141528
2025-01-07,-0.0125565767079989,-0.0108399701715138,0.0,0.0,-0.002473696053408488
2025-01-08,0.0,0.0,0.0,-0.0001816776817488,0.0014791441932367258
2025-01-09,0.0,0.0,0.0,-0.0001816776817488,0.004106141064547791
2025-01-10,0.0,0.0,0.0,-0.0001816776817488,-0.004878923763360284
2025-01-14,-0.0226276205514392,0.0,0.0,-0.0001816776817488,0.005616310812437852
2025-01-15,0.0,0.0,0.0,0.0021076633976278,0.009311623333603868
2025-01-16,8.953616448410563e-05,0.0,0.0,0.0043970044770044,-0.004579391496004298
2025-01-17,-0.0216371897765157,0.0,0.0,0.0043970044770044,0.004562460706952343
2025-01-20,0.0,0.0,0.0,0.0043970044770044,0.006458251466162413
2025-01-21,0.0,0.0,0.0,0.0043970044770044,0.0
