code4,name_ja,sector33_nm,pbr,per,roe,divy,mcap,tv_avg
4222,児玉化学工業,化学,0.3286020470649987,0.3983456394077177,77.69817425467991,1.6638935108153077,99.53027403551745,120637800.0
7236,ティラド,輸送用機器,0.1582780374804956,1.0030388965218509,16.51592236668551,37.7867746288799,83.99815449089901,394474007.6923077
350A,デジタルグリッド,電気･ガス業,0.5952380952380952,2.471415152398536,22.59272683339374,0.0,49.26785714285714,233770261.53846154
5801,古河電気工業,非鉄金属,0.5502504128564947,3.1664676703844994,16.66103747205507,6.437768240343347,2394.86037437945,74397660130.76923
8057,内田洋行,卸売業,0.29360371320699896,2.1077753043338747,13.876138690770427,14.2721217887726,207.88610913621562,623585092.3076923
3110,日東紡績,ガラス･土石製品,0.6364751648858644,2.6452490107553124,23.156284128770448,4.184514003294893,1148.0929966760687,18519585684.615383
1414,ショーボンドホールディングス,建設業,0.618309742812301,4.357429031263911,14.156139559365366,13.791748526522593,657.8321015728633,792112061.5384616
7102,日本車輌製造,輸送用機器,0.6280591568568972,4.429706253557376,14.177852348993289,1.2569832402234637,516.5660953316608,149795653.84615386
2986,ＬＡホールディングス,不動産業,0.6818507450466678,3.0459927764824215,20.48482420114194,12.682926829268293,204.20747963402653,672158084.6153846
5989,エイチワン,金属製品,0.5559140318657865,4.019894375224324,13.234602443348328,4.081632653061225,460.9583560827915,205040915.3846154
8053,住友商事,卸売業,0.3901187104953271,3.0335210082349877,12.678236019356499,9.907529722589167,18472.7217247679,17621289119.23077
9505,北陸電力,電気･ガス業,0.42299641843806685,3.487765590243154,12.068610224173117,2.749065317791951,1908.9955263035488,711345952.3076923
5802,住友電気工業,非鉄金属,0.6393600145554614,4.746928954367006,13.033796484584299,6.847487772343264,18125.850019047186,54026450550.0
2220,亀田製菓,食料品,0.7699681689136874,3.215376324770972,23.15011365130652,5.267358339984039,819.7543107156464,223205661.53846154
3539,ＪＭホールディングス,小売業,0.7407156487472195,5.205316405475104,14.239089686197543,3.50609756097561,335.8923252374016,323478561.53846157
7241,フタバ産業,輸送用機器,0.6307829810765105,5.470361902637595,10.987926034103298,4.383282364933741,920.0032857299014,252806923.07692307
3321,ミタチ産業,卸売業,0.6802842393387959,5.71000935453695,11.878868997824995,5.242463958060288,121.98176695583948,204045707.69230768
