year,base_mean_pct,q1_mean_pct
2016,-0.10195795633714151,-0.2132146020102759
2017,0.5672891106466623,0.1507460733274507
2018,-0.5564372483296772,-0.3237490855208164
2019,-0.7178483883105843,-0.38292814699066363
2020,0.6701995541870761,0.38062091724032127
2021,-0.05953213048509008,-0.12190694986045766
2022,-0.4116254102014787,-0.0623532850954758
2023,0.11152341908019249,0.2667854865909972
2024,0.6946275309427047,-0.2930589869311524
2025,1.0188173527155544,0.8395642558570557
2026,1.4708564580740557,0.547482154497524
